Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34)
1.4868644964716233e-12,0.1122453720269129,0.0,0.0,0.0,0.0,0.9999999997602315,4.718273337071149e-10,3.854770887535752e-12,1.7831737393265124e-16,3.854454912132805e-12,1.4073233540236106e-16,2.0956134990962026e-16,8.411984830651727e-32,3.5739961973011746e-30,2.5610014466503983e-34,2.0582235294870136e-41,1.7303353361637206e-51,5.731316827988583e-54,3.0876909656911073e-52,1.5154493852057258e-55,8.164478597633364e-56,8.56063944858823e-61,3.889135754105638e-61,9.184515992321062e-63,3.0494094501722345e-49,1.7906777515012577e-68
2.2302970598152313e-12,0.11224537204036937,0.0,0.0,0.0,0.0,0.9999999996403469,7.077409890583805e-10,5.782311606311108e-12,3.789244500473912e-16,5.781640174564211e-12,2.990619481412432e-16,4.453155965663512e-16,3.2066881625800857e-31,1.023204042368588e-29,9.435503311936605e-34,9.177226755517726e-41,8.596674204485232e-51,2.942981958025017e-53,1.718466501890253e-51,8.998492572670114e-55,4.8411251294777346e-55,5.905339159551743e-60,2.280780318908489e-60,6.329839602191144e-62,1.7014154198312093e-48,9.85298551494801e-68
2.9737296231588392e-12,0.11224537205382584,0.0,0.0,0.0,0.0,0.999999999520462,9.436545775122614e-10,7.70994499449812e-12,6.464005324951283e-16,7.708799636120556e-12,5.101734704317229e-16,7.59652392966638e-16,8.626987887979704e-31,2.1611760968593263e-29,2.39555875118528e-33,2.6786627475447083e-40,3.640019781853242e-50,1.255334309174046e-52,6.472297531848929e-51,4.0628134472403027e-54,2.1882487654688012e-54,2.8712003045523398e-59,1.0249331947020106e-59,3.0727027841290224e-61,6.41929996381607e-48,6.519767787858575e-67
4.460594749846055e-12,0.1122453720807388,0.0,0.0,0.0,0.0,0.9999999992806922,1.4154815974159042e-09,1.1565429249114558e-11,1.338290106520732e-15,1.156305801728897e-11,1.0562802961817296e-15,1.5727511557154968e-15,3.4888151260891676e-30,5.920746905285653e-29,8.396665157741337e-33,1.1324885357773833e-39,3.2884588693338424e-49,1.1597252739667185e-51,4.698884277078686e-50,4.206860505078008e-53,2.2720700429168536e-53,3.360822728224939e-58,1.052958200931123e-58,3.584073029498455e-60,4.672080156949391e-47,1.2838239159620436e-65
5.947459876533271e-12,0.11224537210765176,0.0,0.0,0.0,0.0,0.9999999990409217,1.887308371313878e-09,1.5421254252235357e-11,2.276080719026798e-15,1.5417221549242426e-11,1.7965061060712802e-15,2.6748172430257037e-15,9.448950847435769e-30,1.2422172055669263e-28,2.1023435555806248e-32,3.213935678252965e-39,1.299506341502629e-48,4.661886315451978e-51,1.7249207333975873e-49,1.8850357900391806e-52,1.0188787859115952e-52,1.6750393401831853e-57,4.672653462259838e-58,1.7825489412702297e-59,1.7197873808290919e-46,6.661465019033206e-65
7.434325003220487e-12,0.11224537213456477,0.0,0.0,0.0,0.0,0.9999999988011508,2.3591348816342803e-09,1.927744431892452e-11,3.4773366103489984e-15,1.9271283481017358e-11,2.744733500521048e-15,4.086484148928868e-15,2.1223711989723313e-29,2.267772123339393e-28,4.4697142361819776e-32,7.602827106525732e-39,4.1061960468264027e-48,1.4875236256097352e-50,5.127005338566074e-49,6.585231338186211e-52,3.561504916817441e-52,6.449365677970475e-57,1.616294353936702e-57,6.849270564064874e-59,5.1243080533636735e-46,2.8214321875672866e-64
1e-11,0.11224537218839084,0.0,0.0,0.0,0.0,0.9999999983874102,3.173299204770472e-09,2.593240798814378e-11,6.1827014197492935e-15,2.5921454816835238e-11,4.880416166116958e-15,7.265651110513241e-15,7.092529256571098e-29,5.377987908956072e-28,1.4258988392719563e-31,3.0450972143411447e-38,2.8108687876701205e-47,1.0556913587867045e-49,3.4642286774077617e-48,7.071921857010215e-51,3.826501237890734e-51,1.1060261299277253e-55,1.6275023051717855e-56,1.1611585808680993e-57,3.507990309940035e-45,4.2971110242467943e-63
1.0408055256594918e-11,0.11224537218839084,0.0,0.0,0.0,0.0,0.999999998321607,3.302787094985526e-09,2.6990942410788668e-11,6.686792775759935e-15,2.6979096324579477e-11,5.278373408746653e-15,7.858020125463157e-15,8.225925243604697e-29,6.029099848994986e-28,1.6481629750708606e-31,3.586749291436402e-38,3.416214697870919e-47,1.285211515961096e-49,4.209599323679458e-48,8.745760205013085e-51,4.732244988612382e-51,1.3836136223811508e-55,2.0085767131666566e-56,1.452257254956075e-57,4.2654535276753663e-45,5.360833060986388e-63
1.635551576334378e-11,0.11224537229604326,0.0,0.0,0.0,0.0,0.9999999973625125,5.190088312277229e-09,4.2422382146646656e-11,1.631373652851807e-14,4.239348646703666e-11,1.2879460576539626e-14,1.9170432117284523e-14,5.283931031499711e-28,2.364706035663562e-27,1.0598870277488911e-30,3.190082775475093e-37,5.967472339971466e-46,2.3126547421662913e-48,7.439486931537761e-47,2.8634518509231965e-49,1.5493167603147016e-49,8.511184840396081e-54,5.705544514653883e-55,8.762135623020158e-56,7.791533496424585e-44,2.6128410510035578e-61
2.2302976270092644e-11,0.11224537240369603,0.0,0.0,0.0,0.0,0.9999999964034088,7.0773852466719925e-09,5.785975044758991e-11,3.0221726848458635e-14,5.780622905823683e-11,2.386275230943581e-14,3.551258356176178e-14,1.7423138261810736e-27,5.937053164381775e-27,3.4856409224309086e-30,1.2022080347502903e-36,3.268959279131646e-45,1.2752713505823432e-47,3.865729621853642e-46,1.88664457662495e-48,1.0212197883478961e-48,6.587451752863351e-53,3.57444152529639e-54,6.745954533110205e-55,4.108409888355514e-43,2.0844163413412867e-60
3.419789728359037e-11,0.11224537261900278,0.0,0.0,0.0,0.0,0.9999999944851732,1.0851966270617747e-08,8.875225790578021e-11,7.087692956901946e-14,8.862678250248489e-11,5.5979562635116586e-14,8.327879949831549e-14,9.937647813253898e-27,2.213873661325297e-26,2.04583249386172e-29,8.622730914167898e-36,4.972041344310203e-44,1.9633038001178826e-46,5.674575877432143e-45,4.836187053850634e-47,2.6189314561079397e-47,2.8002613308979716e-51,7.530804145495384e-53,2.825287878823933e-53,6.362402084461566e-42,9.44388730602215e-59
5.7987739310585826e-11,0.11224537304962082,0.0,0.0,0.0,0.0,0.9999999906485907,1.840107693983275e-08,1.506082940434483e-10,2.03543059231889e-13,1.5024822344119716e-10,1.6085638071636643e-13,2.3912015222626885e-13,8.685658954690459e-26,1.1660488418055736e-25,1.9351620502036363e-28,9.782619943374567e-35,1.4526654839130378e-42,5.786428665496783e-45,1.5348183336259951e-43,2.7372274622722724e-45,1.4834257814343704e-45,2.9111161579105585e-49,3.061365345923258e-51,2.944911956942219e-51,1.924626182751825e-40,9.299478316488611e-57
8.177758133758128e-11,0.11224537348024492,0.0,0.0,0.0,0.0,0.9999999868118592,2.595011910479229e-08,2.125589434211334e-10,4.046822259093051e-13,2.1184352352439222e-10,3.1998019998009574e-13,4.753490353968629e-13,3.192441192108967e-25,3.3207941687441647e-25,7.271720547486889e-28,3.899737905911653e-34,9.35429971945121e-42,3.732225807929862e-44,8.868907661249659e-43,2.0857181564746966e-44,1.1311989675321947e-44,2.5351203696913496e-48,2.1275457695805605e-50,2.5772468441939954e-50,1.1587725742083259e-39,8.619432888003383e-56
9.999999999999999e-11,0.11224537391087513,0.0,0.0,0.0,0.0,0.9999999838729192,3.1732448572578867e-08,2.6007549279738216e-10,6.050605835301527e-13,2.590063641307185e-10,4.786079306228847e-13,7.106419721912836e-13,6.921713914722567e-25,6.181786440506567e-25,1.5996207911850938e-27,8.84063748812189e-34,3.022093204012898e-41,1.2068562656726864e-43,2.6454468756032262e-42,7.529913007157979e-44,4.086157124580148e-44,1.0015917158382553e-47,7.206640427443918e-50,1.0235992097569452e-49,3.555462412100341e-39,4.1372137736071855e-55
1.0556742336457674e-10,0.11224537391087513,0.0,0.0,0.0,0.0,0.999999982974979,3.349909276558117e-08,2.7460409362514187e-10,6.742934882292471e-13,2.7341279415638877e-10,5.334296124256551e-13,7.91932602689547e-13,8.39833654147042e-25,7.265321102464394e-25,1.9463968082168206e-27,1.0817870180033466e-33,3.9159188691069047e-41,1.5639865741212858e-43,3.38978348427629e-42,9.895016386430473e-44,5.369955135797728e-44,1.3298351913954502e-47,9.395783783240747e-50,1.3598446376309323e-49,4.5743032929533816e-39,5.602638685233644e-55
1.2935726539157218e-10,0.11224537434151144,0.0,0.0,0.0,0.0,0.99999997913795,4.104799792201935e-08,3.3674362909002244e-10,1.0123761410084906e-12,3.349561501272176e-10,8.012859505670114e-13,1.1888373614691026e-12,1.825726312715025e-24,1.3665263544848367e-24,4.311449145857716e-27,2.456829391879275e-33,1.2728134533258882e-40,5.087607946346317e-43,1.0233167555629968e-41,3.5905831987345495e-43,1.949555697026283e-43,5.262694265292505e-47,3.197561445727334e-49,5.417462602725166e-49,1.4221028903354494e-38,2.726190161534172e-54
1.769369494455631e-10,0.11224537520280242,0.0,0.0,0.0,0.0,0.9999999714634458,5.61456027207772e-08,4.613054292193017e-10,1.8939534025831925e-12,4.5796554219292747e-10,1.500520717753869e-12,2.2234875296610424e-12,6.087036556250391e-24,3.670017475888528e-24,1.5000093207680383e-26,8.834870060421016e-33,8.522084385093138e-40,3.411124713820439e-42,6.060540877905315e-41,2.982806436339406e-42,1.6208867350729224e-42,5.150308926688484e-46,2.3400118127676705e-48,5.3954834556321877e-48,8.948331047871404e-38,3.775018961057395e-53
2.24516633499554e-10,0.11224537606411791,0.0,0.0,0.0,0.0,0.9999999637883468,7.124293349877116e-08,5.862434223743312e-10,3.0494092066689122e-12,5.808726157896066e-10,2.418335728983116e-12,3.5790344180381726e-12,1.5262073410261296e-23,7.902336929973046e-24,3.920830491831644e-26,2.356260556935803e-32,3.4367019541992397e-39,1.3763975002762292e-41,2.226026413225218e-40,1.3751437403198552e-41,7.476235644695214e-42,2.6237140182433083e-45,9.949647638565264e-48,2.7860588767764815e-47,3.444297755246858e-37,2.2677866090554745e-52
2.720963175535449e-10,0.11224537692545807,0.0,0.0,0.0,0.0,0.9999999561126536,8.63399902534828e-08,7.115566424086762e-10,4.478738598715975e-12,7.036783315174052e-10,3.5554151436855817e-12,5.255201290017785e-12,3.223631370179807e-23,1.486564874244194e-23,8.654892753618464e-26,5.275136942097227e-32,1.0831111828638966e-38,4.3402708059277686e-41,6.465998647055096e-40,4.86763165317907e-41,2.64751308097588e-41,1.0120543540110743e-44,3.2891402432723644e-47,1.0906869976491706e-46,1.041768003565971e-36,1.0259316885588065e-51
3.672556856615267e-10,0.11224537864821237,0.0,0.0,0.0,0.0,0.9999999407594847,1.1653328168273386e-07,9.633050391103409e-10,8.158999388440272e-12,9.489893923151075e-10,6.490016097985175e-12,9.568339801550537e-12,1.0636035143015966e-22,4.1126208765937176e-23,3.218185467381923e-25,2.0035792576599453e-31,8.200806705431696e-38,3.290332415286587e-40,4.064494422249381e-39,5.675679958818535e-40,3.0910480462221653e-40,1.6430516180400302e-43,3.0343946104763794e-46,1.975447337077768e-45,7.546914808883442e-36,1.8441019312251974e-50
4.6241505376950854e-10,0.11224538037106599,0.0,0.0,0.0,0.0,0.9999999254039414,1.467254769884447e-07,1.2165432225976936e-09,1.2934697974891708e-11,1.1939060789443988e-09,1.030958897256652e-11,1.516081181217088e-11,2.641363618696092e-22,9.116715129956294e-23,8.861739999111678e-25,5.584425883135178e-31,3.54897010085383e-37,1.4245822111008089e-39,1.5684723266767704e-38,3.018292074065988e-39,1.6448217992852137e-39,9.96560034289968e-43,1.469362832899549e-45,1.2677550881552194e-44,3.158363673611419e-35,1.2990306174779191e-49
5.575744218774903e-10,0.11224538209401948,0.0,0.0,0.0,0.0,0.9999999100460258,1.7691657615065915e-07,1.471263907492031e-09,1.8805796813326346e-11,1.4384356347066002e-09,1.5019339475662844e-11,2.203057746253297e-11,5.503865426873613e-22,1.7550363737330764e-22,2.0257863010341865e-24,1.2867795263870982e-30,1.1556185019323114e-36,4.6400703150663765e-39,4.659781765225636e-38,1.141244542249684e-38,6.22221265689962e-39,4.12343506702262e-42,5.24205378321661e-45,5.503538014928911e-44,9.960313962026833e-35,6.294226949062485e-49
6.527337899854721e-10,0.11224538381707341,0.0,0.0,0.0,0.0,0.99999989468574,2.0710657914945305e-07,1.7274598786023632e-09,2.5772258374824994e-11,1.6825852327435748e-09,2.0624443389015693e-11,3.0175637132484596e-11,1.0191177447861358e-21,3.0656651773524884e-22,4.086427781540156e-24,2.6105545565209334e-30,3.1500007578288774e-36,1.2650588356326686e-38,1.1776475425810169e-37,3.518906845002385e-38,1.9193406755560609e-38,1.3645608645742291e-41,1.5509653858495562e-44,1.903653946476863e-43,2.6396176145547094e-34,2.4577555709945445e-48
