Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31)
2.1852359085507556e-12,0.11224537203955375,0.0,0.0,0.0,0.0,0.9999999996476133,6.934417248026161e-10,5.665474791958512e-12,3.637674751124736e-16,5.664830216264888e-12,2.8709904130662986e-16,4.275031505621908e-16,2.955321644933253e-31,9.62333826167221e-30,8.694956406798541e-34,8.309839660152349e-41,7.604741237018723e-51,2.595386708850729e-53,1.5208035418864747e-51,7.799452008833365e-55,4.1960232077792614e-55,5.015981900639326e-60,1.979931859090284e-60,5.3780701439930905e-62,1.5052135282901254e-48
2.9136480838952248e-12,0.11224537205273831,0.0,0.0,0.0,0.0,0.9999999995301506,9.245888961401711e-10,7.55415473917185e-12,6.205445176548602e-16,7.553055192563325e-12,4.897656269402395e-16,7.292666723747232e-16,7.950749540345443e-31,2.032552501204449e-29,2.2074964280783963e-33,2.42638263379358e-40,3.2199523044596223e-50,1.1072043319411165e-52,5.72796271229158e-51,3.5213831663973995e-54,1.8966197946247167e-54,2.4387840910482455e-59,8.898185295862066e-60,2.610723520574253e-61,5.678976537388513e-48
4.370472434584163e-12,0.11224537207910752,0.0,0.0,0.0,0.0,0.9999999992952251,1.3868830880913287e-09,1.1331723413585294e-11,1.2847585198513935e-15,1.13294470240245e-11,1.0140266134750126e-15,1.5098421339457496e-15,3.2153491830137704e-30,5.568032262110301e-29,7.73713156250402e-33,1.0264365022937173e-39,2.9087816864511997e-49,1.023206842587147e-51,4.15854270996557e-50,3.646039657821192e-53,1.9691660982926175e-53,2.8546003960715272e-58,9.142807755585864e-59,3.045224538015733e-60,4.1331016856224514e-47
5.827296785273101e-12,0.11224537210547675,0.0,0.0,0.0,0.0,0.999999999060299,1.8491770438770483e-09,1.5109619208173553e-11,2.1850375269905277e-15,1.5105747798637657e-11,1.7246406921248827e-15,2.5678266965760746e-15,8.708331937627791e-30,1.168151033260712e-28,1.9371321676146467e-32,2.914247127106508e-39,1.149424261565127e-48,4.11422894982023e-51,1.5266154516279866e-49,1.6336842571755727e-52,8.830154361996414e-53,1.4227237138030296e-57,4.057901591213156e-58,1.5145743592689277e-59,1.5213572978273043e-46
7.28412113596204e-12,0.11224537213184596,0.0,0.0,0.0,0.0,0.9999999988253724,2.3114707466283054e-09,1.8887865465980605e-11,3.338243212684952e-15,1.888195103489848e-11,2.6349347495519147e-15,3.923028684270713e-15,1.9560231679249298e-29,2.1324386205953936e-28,4.1182918559762623e-32,6.896818229939688e-39,3.6318030929918384e-48,1.3129681331396085e-50,4.537675611173863e-49,5.706941842002962e-52,3.0864772672766932e-52,5.477825314052497e-57,1.4038648453005139e-57,5.819694125346553e-59,4.532940855878909e-46
1e-11,0.11224537218458454,0.0,0.0,0.0,0.0,0.99999999838741,3.1732992099626137e-09,2.5932400799755065e-11,6.177511489600193e-15,2.5921456815331056e-11,4.876316734446062e-15,7.259553201649876e-15,7.053720541255009e-29,5.360701355631521e-28,1.4150006569841554e-31,3.00901159509997e-38,2.7493919301639206e-47,1.0321337787228927e-49,3.391500038911128e-48,6.841028756920692e-51,3.7015566868113635e-51,1.0552583034093097e-55,1.5779534946407867e-56,1.1083073146453131e-57,3.432823340028866e-45
1.0197769837339916e-11,0.11224537218458454,0.0,0.0,0.0,0.0,0.9999999983555176,3.2360573771328683e-09,2.6445431231625263e-11,6.4193212406261506e-15,2.643405891840281e-11,5.06721362689024e-15,7.543709617803432e-15,7.581271480189543e-29,5.668524961411807e-28,1.5183844744749935e-31,3.25808518339255e-38,3.0209572671809107e-47,1.13499190968383e-49,3.7262589853883924e-48,7.577852806067522e-51,4.100261481490435e-51,1.1751410508086168e-55,1.7462725575415704e-56,1.23409071243316e-57,3.772746219633806e-45
1.602506724009567e-11,0.1122453722900619,0.0,0.0,0.0,0.0,0.999999997415801,5.085227557107789e-09,4.156482863030127e-11,1.5661187746520542e-14,4.153708850550856e-11,1.2364186099147793e-14,1.840365462224495e-14,4.869961619922469e-28,2.222663007838698e-27,9.761620272307282e-31,2.904708884589727e-37,5.2751284634543815e-46,2.0428035210504872e-48,6.587894695981724e-47,2.480174898169228e-49,1.341914657425676e-49,7.228685170236336e-54,4.969536418053555e-55,7.446704602663493e-56,6.889979617267783e-44
2.1852364642851425e-11,0.11224537239553965,0.0,0.0,0.0,0.0,0.9999999964760758,6.934393625501918e-09,5.6689917552482446e-11,2.901285945914108e-14,5.6638536342947685e-11,2.290800387257443e-14,3.409217891038536e-14,1.6058391620187397e-27,5.5791721577025314e-27,3.209704471333487e-30,1.0958947471918566e-36,2.8892010454543405e-45,1.1264235449984108e-47,3.4237634609785408e-46,1.63387427765464e-48,8.843803134553405e-49,5.59472921681749e-53,3.11514976543531e-54,5.7331287425707214e-55,3.632632828580471e-43
3.350695944836293e-11,0.11224537260649625,0.0,0.0,0.0,0.0,0.9999999945965983,1.0632713431241437e-08,8.695715590532543e-11,6.804185850260667e-14,8.683669706548628e-11,5.3739514797366516e-14,7.99480054656738e-14,9.159664769377264e-27,2.0793809281863802e-26,1.882981295927235e-29,7.87586154356913e-36,4.3916339707285e-44,1.7334674313112173e-46,5.0284157565053636e-45,4.1856080420248437e-47,2.266555222750861e-47,2.3780420370245135e-51,6.574351410279351e-53,2.4002904810319523e-53,5.623334989490399e-42
