Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28)
2.323639300646516e-06,0.1127180752551253,0.0,0.0,0.0,0.0,0.9956374739325663,0.00040936832783428073,0.0001099460624518648,0.00026553216681807044,7.089197830771798e-05,0.003914003341205156,0.0038029979875091996,3.442015471393264e-09,2.4505310360063323e-08,1.0967359598695874e-06,7.273066886286141e-13,5.7142562007209785e-12
2.3538363198376185e-06,0.1127317857927076,0.0,0.0,0.0,0.0,0.995512034966657,0.0004110949334401757,0.00011148904016349794,0.0002716686593194965,7.185446130017608e-05,0.004033899501708311,0.0039202519257836846,3.5620906253873065e-09,2.558493542024789e-08,1.1637539434890847e-06,7.717501875769671e-13,6.1516903245930096e-12
2.384033339028721e-06,0.11274566713191154,0.0,0.0,0.0,0.0,0.9953850575784634,0.0004127625830074586,0.00011301396606643774,0.00027784920230585045,7.280367630292703e-05,0.004155356680262886,0.004039048266458864,3.683882462257273e-09,2.6689891847443594e-08,1.233652788318127e-06,8.18104159315134e-13,6.613628000076299e-12
2.4142303582198236e-06,0.11275971670166658,0.0,0.0,0.0,0.0,0.9952565652805909,0.0004143726921027983,0.00011452062044405611,0.0002840727941000034,7.373948884000643e-05,0.0042783513138802,0.004159364031243666,3.8073525164196465e-09,2.7819992249003775e-08,1.3064958927953773e-06,8.664106474257015e-13,7.1008560373752155e-12
2.444427377410926e-06,0.11277393191023465,0.0,0.0,0.0,0.0,0.9951265817616243,0.00041592666271153257,0.00011600880803917552,0.00029033844074776517,7.466178173654923e-05,0.004402859642782002,0.00428117604334516,3.932462044819424e-09,2.8975031919409355e-08,1.3823459534916887e-06,9.167112300441322e-13,7.6141582486311e-12
2.4746243966020286e-06,0.11278831014836548,0.0,0.0,0.0,0.0,0.9949951308577806,0.0004174258823962262,0.00011747835727252454,0.0002966451566010026,7.557045454718739e-05,0.004528857739701069,0.004404460956284151,4.059172099956709e-09,3.015478965778207e-08,1.4612649202231624e-06,9.69046990091106e-13,8.154314432579948e-12
2.5350184349842337e-06,0.1128175452065228,0.0,0.0,0.0,0.0,0.9947279228180014,0.0004202655425800176,0.00012036096798540396,0.0003093778980964779,7.734661831089738e-05,0.004785226857212083,0.004655355413723052,4.317237393932635e-09,3.2587497011376085e-08,1.6285533916841652e-06,1.0799857352061043e-12,9.31828198538211e-12
2.5893730695282184e-06,0.1128443878907216,0.0,0.0,0.0,0.0,0.9944826583290794,0.0004226475865714039,0.00012289031003009758,0.0003209681231789867,7.889789945627766e-05,0.0050208115796658145,0.004885961021735428,4.554577465304818e-09,3.485894187781404e-08,1.7902134220156267e-06,1.1871919597489621e-12,1.0465399914996081e-11
2.643727704072203e-06,0.11287171772559784,0.0,0.0,0.0,0.0,0.9942330141775986,0.000424873079823723,0.00012535759410605484,0.00033267651903740167,8.040419298009765e-05,0.00526084626122624,0.005120970823803574,4.796495261323683e-09,3.720636693338126e-08,1.962741802882461e-06,1.3016056496094401e-12,1.1711367953201739e-11
2.698082338616188e-06,0.11289951922623098,0.0,0.0,0.0,0.0,0.993979131342883,0.000426949500982517,0.0001277625716422896,0.0003444977043468106,8.186544190678166e-05,0.005505188795310494,0.00536024596388323,5.0427647386207596e-09,3.9627995098487615e-08,2.1464678114706347e-06,1.4234451699398935e-12,1.3060466997571118e-11
2.7524369731601725e-06,0.11292777695765478,0.0,0.0,0.0,0.0,0.993721150438992,0.0004288841278081043,0.00013010517984864966,0.0003564264217297373,8.328171900458943e-05,0.0057536973039540714,0.0056036477593094415,5.293162456162843e-09,4.2121942018963406e-08,2.3417101623559467e-06,1.552921881192564e-12,1.4516866743126893e-11
2.8067916077041572e-06,0.11295647553924706,0.0,0.0,0.0,0.0,0.9934592113463717,0.00043068402958106326,0.00013238552730326006,0.00036845754401655087,8.46532162731794e-05,0.006006230521660307,0.005851038078716787,5.547468436717903e-09,4.4686231067953805e-08,2.548776571331404e-06,1.690239849860686e-12,1.60846127879792e-11
2.861146242248142e-06,0.11298559970926055,0.0,0.0,0.0,0.0,0.9931934528760149,0.00043235606099844567,0.00013460387989565478,0.00038058607957178523,8.598023469951908e-05,0.006262648146026196,0.006102279687402517,5.805466905287828e-09,4.731880790693886e-08,2.7679633975746116e-06,1.8355956111719864e-12,1.7767615381252427e-11
2.9155008767921267e-06,0.11301513434310204,0.0,0.0,0.0,0.0,0.9929240124643487,0.00043390685744292,0.0001367606471893935,0.00039280717673515554,8.726317433330122e-05,0.006522811156909049,0.0063572365618686615,6.066946943685325e-09,5.001755442122456e-08,2.9995553590559868e-06,1.9891779803530338e-12,1.956963957229334e-11
2.9698555113361114e-06,0.11304506449186644,0.0,0.0,0.0,0.0,0.9926510258985521,0.00043534283157616537,0.00013885636925342983,0.00040511612739464997,8.850252471745811e-05,0.006786582104391492,0.006615774173795253,6.331703061198896e-09,5.278030199470766e-08,3.2438253194846733e-06,2.1511679113350054e-12,2.1494296733625396e-11
3.024210145880096e-06,0.11307537540673335,0.0,0.0,0.0,0.0,0.992374627070583,0.00043667017113791705,0.00014089170401375273,0.00041750836974714694,8.969885571039982e-05,0.007053825367258387,0.006877759745127279,6.599535653438117e-09,5.560484410759111e-08,3.5010341414508906e-06,2.321738399358766e-12,2.354503766390733e-11
3.078564780424081e-06,0.11310605256507457,0.0,0.0,0.0,0.0,0.9920949477585913,0.0004378948378554367,0.0001428674151626872,0.00042997949029325856,9.085280872808787e-05,0.007324407383292069,0.007143062475554454,6.870251387203198e-09,5.848894817270235e-08,3.7714306015452414e-06,2.501054424681056e-12,2.5725147152933043e-11
3.1329194149680655e-06,0.11313708169138861,0.0,0.0,0.0,0.0,0.9918121174342525,0.0004390225673666564,0.00014478436065212136,0.000442525225116879,9.196508842570093e-05,0.007598196852862823,0.00741155374382957,7.143663526852623e-09,6.143036656029985e-08,4.0552513628561135e-06,2.6892729343320093e-12,2.8037739769032182e-11
3.1872740495120502e-06,0.11316844877667122,0.0,0.0,0.0,0.0,0.9915262630947086,0.00044005887007248065,0.00014664348178707135,0.000455141460496346,9.30364548294169e-05,0.007875064917124615,0.007683107284206448,7.419592161117956e-09,6.442684683527627e-08,4.352721000642382e-06,2.886542859136881e-12,3.0485756954458204e-11
3.241628684056035e-06,0.11320014009467819,0.0,0.0,0.0,0.0,0.9912375091177211,0.00044100903283119845,0.0001484457929287345,0.00046782423289725827,9.406771592460037e-05,0.008154885312232782,0.007957599339381874,7.697864366955586e-09,6.747614119644028e-08,4.664052076783281e-06,3.093005163085296e-12,3.307196546166502e-11
3.2959833186000196e-06,0.11323214221604401,0.0,0.0,0.0,0.0,0.9909459771385928,0.0004418781214081032,0.00015019237181044588,0.0004805697283983506,9.505972070308048e-05,0.008437534501040178,0.008234908791363812,7.978314342344548e-09,7.057601508984772e-08,4.989445258583878e-06,3.30879292211576e-12,3.5798956853722706e-11
3.3503379531440043e-06,0.11326444201999751,0.0,0.0,0.0,0.0,0.9906517859473865,0.00044267098359459394,0.00015188435046551086,0.0004933742816024427,9.601335266763581e-05,0.00872289178376794,0.008514917271727452,8.260783455326441e-09,7.372425502013606e-08,5.329089477437711e-06,3.534031429332302e-12,3.866914796823881e-11
3.404692587687989e-06,0.11329702670404246,0.0,0.0,0.0,0.0,0.9903550514050069,0.0004433922529160024,0.00015352290676063377,0.0005062343740829029,9.692952378772984e-05,0.009010839389114005,0.008797509252688292,8.545120237207022e-09,7.691867559481201e-08,5.68316212301015e-06,3.768838323777436e-12,4.1684782440917516e-11
3.4590472222319738e-06,0.11332988379166492,0.0,0.0,0.0,0.0,0.9900558863767465,0.00044404635285264047,0.00015510925652343168,0.000519146632414144,9.780916889757164e-05,0.009301262547220608,0.009082572120379703,8.831180372507198e-09,8.015712580833478e-08,6.0518292688333696e-06,4.013323740036371e-12,4.484793312448306e-11
3.5134018567759585e-06,0.11336300113826832,0.0,0.0,0.0,0.0,0.9897544006819535,0.00044463750150336374,0.00015664464624898702,0.0005321078258327972,9.865324052467637e-05,0.009594049545879257,0.009369996231680734,9.118826622910633e-09,8.343749458858755e-08,6.435245925384161e-06,4.267590476067115e-12,4.816050517210895e-11
