Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3)
1.6823077686283914e-12,0.11224537202996095,0.0,0.0,0.0,0.0,0.9999999997330759,5.338474026274775e-10,2.282767638220824e-16,2.282767638220824e-16
2.5234618312063705e-12,0.11224537204494145,0.0,0.0,0.0,0.0,0.9999999995996136,8.007710177772904e-10,4.850881069190083e-16,4.850881069190083e-16
3.36461589378435e-12,0.11224537205992194,0.0,0.0,0.0,0.0,0.9999999994661513,1.067694547287605e-09,8.275031850696806e-16,8.275031850696806e-16
5.046924018940308e-12,0.11224537208988287,0.0,0.0,0.0,0.0,0.9999999991992266,1.6015414053175046e-09,1.7132399811204481e-15,1.7132399811204481e-15
6.7292321440962666e-12,0.11224537211984388,0.0,0.0,0.0,0.0,0.9999999989323017,2.1353879484202585e-09,2.913772013522067e-15,2.913772013522067e-15
8.411540269252225e-12,0.11224537214980485,0.0,0.0,0.0,0.0,0.9999999986653763,2.6692341541009824e-09,4.45158447240551e-15,4.45158447240551e-15
1e-11,0.11224537220972677,0.0,0.0,0.0,0.0,0.9999999984133412,3.173299167825339e-09,6.219673174029433e-15,6.219673174029433e-15
1.1776156519564141e-11,0.11224537220972677,0.0,0.0,0.0,0.0,0.9999999981315244,3.73692553200089e-09,8.560235419662379e-15,8.560235419662379e-15
1.514077276987606e-11,0.11224537226964874,0.0,0.0,0.0,0.0,0.9999999975976712,4.804615539449848e-09,1.4038758171288867e-14,1.4038758171288867e-14
2.1870005270499894e-11,0.1122453723894926,0.0,0.0,0.0,0.0,0.9999999965299606,6.939991443568615e-09,2.910483250929377e-14,2.910483250929377e-14
3.5328470271747564e-11,0.11224537262918038,0.0,0.0,0.0,0.0,0.9999999943945231,1.1210726808791988e-08,7.567290983081684e-14,7.567290983081684e-14
6.224540027424289e-11,0.11224537310855587,0.0,0.0,0.0,0.0,0.9999999901235823,1.9752131767514486e-08,2.345517654257757e-13,2.345517654257757e-13
9.999999999999999e-11,0.11224537406730686,0.0,0.0,0.0,0.0,0.9999999841328681,3.173244853484113e-08,6.051010294001036e-13,6.051010294001036e-13
1.1607926027923356e-10,0.11224537406730686,0.0,0.0,0.0,0.0,0.9999999815814378,3.68346785966249e-08,8.152762832850519e-13,8.152762832850519e-13
2.2374698028921488e-10,0.11224537598480884,0.0,0.0,0.0,0.0,0.9999999644960972,7.099871988866671e-08,3.0285619085730926e-12,3.0285619085730926e-12
3.3141470029919624e-10,0.11224537790231078,0.0,0.0,0.0,0.0,0.9999999474093546,1.0516135800840094e-07,6.6442569674240306e-12,6.6442569674240306e-12
4.390824203091776e-10,0.11224537981981265,0.0,0.0,0.0,0.0,0.9999999303212102,1.3932259293152497e-07,1.1662306473262965e-11,1.1662306473262965e-11
5.46750140319159e-10,0.11224538173731453,0.0,0.0,0.0,0.0,0.9999999132316637,1.7348242463287024e-07,1.8082653631600943e-11,1.8082653631600943e-11
7.620855803391217e-10,0.11224538557231799,0.0,0.0,0.0,0.0,0.9999998790483658,2.4179787827688076e-07,3.513003038705714e-11,3.513003038705714e-11
9.774210203590844e-10,0.11224538940732123,0.0,0.0,0.0,0.0,0.9999998448594618,3.101077187385858e-07,5.7785931856728155e-11,5.7785931856728155e-11
9.999999999999999e-10,0.11224539324232419,0.0,0.0,0.0,0.0,0.9999998412742623,3.1727001622403787e-07,6.04863673442938e-11,6.04863673442938e-11
