Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34),C4H5(183)
7.581547868095515e-13,0.11224537201372295,0.0,0.0,0.0,0.0,0.9999999998777417,2.405856207690717e-10,1.9654926036901733e-12,4.6362494804351215e-17,1.9654104473421557e-12,3.6589398438404045e-17,5.448632504517018e-17,5.687929884713882e-33,4.7295921080496685e-31,1.728190087648905e-35,7.522652149556624e-43,3.033587421029973e-53,8.587589384012542e-56,5.457776719899326e-54,1.3549125076608494e-57,7.298720354002951e-58,3.91821126646471e-63,3.594084428779624e-63,4.230585498144179e-65,5.353139993146578e-51,8.154761209248703e-71,2.0886279525449069e-75
1e-12,0.11224537202744589,0.0,0.0,0.0,0.0,0.9999999998387422,3.1733044824120104e-10,2.59250975930665e-12,9.073026218008283e-17,2.592348985048447e-12,7.160586860788798e-17,1.0662786661954079e-16,3.289637285416661e-32,1.5313368041400691e-30,1.001354090564083e-34,7.737650080452916e-42,6.4160944940562126e-52,2.1223151750332232e-54,1.1448474430852082e-52,5.63830364250483e-56,3.0376428752706755e-56,3.221124324447809e-61,1.4459008954852177e-61,3.455209455379881e-63,1.1307045925795423e-49,6.738633048449699e-69,1.9352758675962756e-73
1.5163102163154236e-12,0.11224537202744589,0.0,0.0,0.0,0.0,0.999999999755483,4.81171352720967e-10,3.931115386348312e-12,1.854500677490983e-16,3.930786772381071e-12,1.463617881040976e-16,2.1794373785029774e-16,9.09831006824386e-32,3.790844680890657e-30,2.770176064194748e-34,2.2650600075916427e-41,1.9466044405136913e-51,6.469866205361242e-54,3.472441050471067e-52,1.7386141107803206e-55,9.366823391101737e-56,1.0014185266180044e-60,4.455994704770491e-61,1.0741344967178378e-62,3.430338795665223e-49,2.0950703555585093e-68,6.022265596644506e-73
2.274465645821296e-12,0.11224537204116883,0.0,0.0,0.0,0.0,0.9999999996332243,7.217570150995918e-10,5.896834548724532e-12,3.9408142479253967e-16,5.896136260999634e-12,3.110248815135435e-16,4.631280315669933e-16,3.4683103945716344e-31,1.0853123340757323e-29,1.0206364636438539e-33,1.0095289943583894e-40,9.671395724871024e-51,3.320559487613023e-53,1.9325250997138494e-51,1.0323821270151472e-54,5.554177087711692e-55,6.908006443395444e-60,2.6127391455407394e-60,7.402541078831724e-62,1.9139730405740756e-48,1.1527917637227555e-67,3.386124553084211e-72
3.0326210753271684e-12,0.1122453720548918,0.0,0.0,0.0,0.0,0.9999999995109652,9.623426079049358e-10,7.862650086991605e-12,6.722565469357132e-16,7.861458917003762e-12,5.305813698972821e-16,7.900380903513145e-16,9.330814932725454e-31,2.2924205673745475e-29,2.5913245308545434e-33,2.945569793332442e-40,4.095156791821449e-50,1.4162255898224708e-52,7.278352510998324e-51,4.661281747954647e-54,2.5106023150014225e-54,3.3587107774492687e-59,1.1740050770976647e-59,3.593372993538376e-61,7.221349406851814e-48,7.628381324309317e-67,2.2333592983932494e-71
4.548931934338913e-12,0.11224537208233774,0.0,0.0,0.0,0.0,0.9999999992664469,1.4435136302313382e-09,1.179450733996973e-11,1.3918216921015983e-15,1.1792041266312937e-11,1.098534131763769e-15,1.6356601141098381e-15,3.773436684719607e-30,6.280677263515307e-29,9.083253787279401e-33,1.24461433372798e-39,3.699862884006565e-49,1.3079656866421473e-51,5.284023833416835e-50,4.826799225960118e-53,2.6069063330505854e-53,3.931557817828792e-58,1.2059366079546326e-58,4.191375873218092e-60,5.25602279960037e-47,1.50231088098263e-65,4.4667386163873775e-70
6.065242793350658e-12,0.11224537210978369,0.0,0.0,0.0,0.0,0.999999999021928,1.92468439671184e-09,1.572671896968213e-11,2.367123908790722e-15,1.5722524974139296e-11,1.8683718398705236e-15,2.781807656892786e-15,1.0219779517801025e-29,1.317804022869988e-28,2.2743407317570533e-32,3.530631343189838e-39,1.4621368425176858e-48,5.256435669464093e-51,1.9396589112565823e-49,2.1628936530233857e-52,1.1690707044334501e-52,1.9595129944555865e-57,5.350681229685765e-58,2.0845618778029226e-59,1.9347767765566027e-46,7.795567793596591e-65,2.343369307748784e-69
7.581553652362402e-12,0.11224537213722968,0.0,0.0,0.0,0.0,0.9999999987774086,2.4058548890716622e-09,1.9659310263176784e-11,3.616430003882895e-15,1.9652903020095865e-11,2.854532833745038e-15,4.249939372262699e-15,2.2955039229515763e-29,2.405894263493597e-28,4.835589581669452e-32,8.348548142913748e-39,4.620279366964511e-48,1.677004530253596e-50,5.765155609217792e-49,7.55618144070178e-52,4.086652469586075e-52,7.544742736189132e-57,1.8505494130158604e-57,8.009607002045027e-59,5.765045566943119e-46,3.30202518160127e-64,9.962487418642267e-69
1e-11,0.11224537219212172,0.0,0.0,0.0,0.0,0.9999999983874102,3.173299199553657e-09,2.5932415211252076e-11,6.187916014934082e-15,2.5921452808284997e-11,4.8845346836113505e-15,7.271778159682771e-15,7.123402931962903e-29,5.393411314740928e-28,1.4352823533176386e-31,3.075994539872545e-38,2.863377429747159e-47,1.0757991305756666e-49,3.525988184264585e-48,7.274219048361699e-51,3.935970374246991e-51,1.1519974443647128e-55,1.6705789681464584e-56,1.2089677218111977e-57,3.571941623026121e-45,4.485905209604633e-63,1.3989415400355197e-67
1.0614175370385891e-11,0.11224537219212172,0.0,0.0,0.0,0.0,0.9999999982883679,3.368195034210136e-09,2.7525655516495788e-11,6.9542643000101135e-15,2.7513335661658822e-11,5.489534727746364e-15,8.172329996224154e-15,8.896863077596502e-29,6.397170393064178e-28,1.7833001797250645e-31,3.9333936936903246e-38,3.8446351107063524e-47,1.4482134365419607e-49,4.732894631370099e-48,1.0037162126485363e-50,5.431062097663275e-51,1.6186688113355706e-55,2.2975287108216626e-56,1.698106456385002e-57,4.799368569501659e-45,6.275911891179832e-63,1.9594381199526547e-67
1.667941880643287e-11,0.11224537230190608,0.0,0.0,0.0,0.0,0.9999999973102792,5.292871986699703e-09,4.326296725646006e-11,1.6966285268493516e-14,4.323291603888015e-11,1.3394740996211837e-14,1.9937207151921407e-14,5.714765340580377e-28,2.5097542154499063e-27,1.1470983725180284e-30,3.4903315952657856e-37,6.718212331704037e-46,2.6054461412877716e-48,8.361067923401267e-47,3.287426170498941e-49,1.7787458875347795e-49,9.957242784182313e-54,6.514767234891078e-55,1.0244366040840035e-55,8.768739616657999e-44,3.0604736066973246e-61,9.772784909206449e-66
2.2744662242479848e-11,0.11224537241169087,0.0,0.0,0.0,0.0,0.9999999963321808,7.217544484976169e-09,5.900644459684265e-11,3.1430594133539856e-14,5.89507830694663e-11,2.4817515490354744e-14,3.693298211177296e-14,1.884345460686719e-27,6.302611186322144e-27,3.773131712066637e-30,1.3139385154858165e-36,3.680827996962388e-45,1.4367863970287326e-47,4.343935610355585e-46,2.1663003322935117e-48,1.1726172816378395e-48,7.70679959262839e-53,4.079122048053255e-54,7.887246100387835e-55,4.62417483085484e-43,2.4419830828628092e-60,7.825937498856208e-65
