Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69)
1e-12,0.11224537202581397,0.0,0.0,0.0,0.0,0.9999999998387422,3.1733044845051263e-10,2.5925094693969365e-12,9.052103956891939e-17,2.5923490657370342e-12,7.144069502486035e-17,1.0638200519125051e-16,3.130955142036968e-32,1.5039731512529136e-30,9.528900519241293e-35,7.087621358066266e-42,5.545862199751323e-52,1.8168257267797212e-54,9.904962257100285e-53,4.606152227352596e-56,2.4815348410634383e-56,2.482315465432981e-61,1.1857469283662082e-61,2.664677035926975e-63
1.4261503246146212e-12,0.11224537202581397,0.0,0.0,0.0,0.0,0.9999999997700221,4.5256088709762364e-10,3.697356668145103e-12,1.640519860989539e-16,3.697065969950266e-12,1.2947345803406577e-16,1.9279656240286573e-16,7.120053579539338e-32,3.153334582200285e-30,2.1673139209695883e-34,1.6788956186648654e-41,1.347089545328319e-51,4.428577130422345e-54,2.4054785751630875e-52,1.1316349664477551e-55,6.096618561459919e-56,6.133487916795703e-61,2.912032310801761e-61,6.583841426457891e-63
2.1392257891627126e-12,0.11224537203872094,0.0,0.0,0.0,0.0,0.9999999996550328,6.788413239806968e-10,5.546177887780366e-12,3.486104999838727e-16,5.545560168216841e-12,2.7513616155723886e-16,4.09690693327401e-16,2.7142110877797948e-31,9.027268926083608e-30,7.984718689851973e-34,7.492315257593668e-41,6.692268867706394e-51,2.276508623656331e-53,1.3388866003773727e-51,6.719178353836999e-55,3.614823931116342e-55,4.231061031939508e-60,1.7084018467027082e-60,4.53780146047342e-62
2.852301253710804e-12,0.11224537205162796,0.0,0.0,0.0,0.0,0.9999999995400435,9.051216993181769e-10,7.395084363816578e-12,5.946885024066643e-16,7.394030629139132e-12,4.693578405777427e-16,6.988809280965258e-16,7.302100654205321e-31,1.9066029495796417e-29,2.0271359304404832e-33,2.1885024289077406e-40,2.8335437091429645e-50,9.712980511646748e-53,5.042904489577427e-51,3.033592628552244e-54,1.6338846025138945e-54,2.057147355037475e-59,7.678587032006974e-60,2.2028589448715732e-61
4.278452182806987e-12,0.11224537207744191,0.0,0.0,0.0,0.0,0.9999999993100642,1.3576823055493514e-09,1.1093097397564939e-11,1.2312269320711303e-15,1.109091585071148e-11,9.717730867980408e-16,1.4469330474921763e-15,2.9530392272824833e-30,5.222678555534418e-29,7.104644960272727e-33,9.263690183841518e-40,2.55955242968327e-49,8.979187750746555e-52,3.6612261596075124e-50,3.140810484758639e-53,1.696289584713906e-53,2.407836593139209e-58,7.890846981123118e-59,2.5694929836359504e-60
5.704603111903169e-12,0.11224537210325594,0.0,0.0,0.0,0.0,0.9999999990800845,1.8102426854553185e-09,1.4791423923056864e-11,2.093994332635039e-15,1.4787713807903882e-11,1.6527756046314395e-15,2.4608360148062395e-15,7.997923951371069e-30,1.0956358911711758e-28,1.7787040438800875e-32,2.631326265433032e-39,1.0113841166008412e-48,3.611504407930115e-51,1.344093428506908e-49,1.407256894649361e-52,7.606252691866481e-53,1.2000463332276821e-57,3.50281149841185e-58,1.2779846445990447e-59
7.130754040999352e-12,0.11224537212907,0.0,0.0,0.0,0.0,0.9999999988501046,2.2628028228699315e-09,1.8490086311279548e-11,3.199149810805561e-15,1.848441828870784e-11,2.5251365928528875e-15,3.759572973304426e-15,1.7964601280676386e-29,1.9999490704236802e-28,3.7813159510814563e-32,6.229985441541189e-39,3.1954960825053955e-48,1.1527153925159414e-50,3.995237793034155e-49,4.915777701658056e-52,2.6585750954500007e-52,4.620416746449704e-57,1.2120183541845628e-57,4.910686020752829e-59
9.983055899191716e-12,0.11224537218069815,0.0,0.0,0.0,0.0,0.9999999983901426,3.167922354992813e-09,2.588843962867616e-11,6.1518496943842475e-15,2.587754109288941e-11,4.856055413900932e-15,7.229398460086244e-15,6.962903468831468e-29,5.315591779030782e-28,1.3939610154526607e-31,2.9471890933123745e-38,2.6575136362220864e-47,9.970240158240267e-50,3.2813028972869066e-48,6.526032762129572e-51,3.531102093567582e-51,9.911666259723177e-56,1.5091293574712007e-56,1.041451618702119e-57
1e-11,0.11224537228395468,0.0,0.0,0.0,0.0,0.9999999983874102,3.1732992151466216e-09,2.593239362244265e-11,6.172329690379468e-15,2.592145881088135e-11,4.872223857471937e-15,7.253464792934869e-15,7.020916837380868e-29,5.3441424245682005e-28,1.405506795687423e-31,2.979665471532342e-38,2.7102990559843135e-47,1.0173896273177847e-49,3.347215327535973e-48,6.756012621932416e-51,3.655532972732568e-51,1.054633849272412e-55,1.55596107481695e-56,1.1069300103768055e-57
1.5687659615576443e-11,0.11224537228395468,0.0,0.0,0.0,0.0,0.9999999974702123,4.978158466580945e-09,4.068923444249339e-11,1.500863892163408e-14,4.0662649889713337e-11,1.1848917686707276e-14,1.763687461591994e-14,4.472858992212454e-28,2.083681607358068e-27,8.959192703018277e-31,2.634072949348437e-37,4.638776827880676e-46,1.7949376082300355e-48,5.803575822750324e-47,2.1351361234318665e-49,1.1552080904610941e-49,6.096914902172035e-54,4.302804502242144e-55,6.285089996575341e-56
