Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9)
3.103241042726397e-10,0.11224537761751471,0.0,0.0,0.0,0.0,0.999999949952039,9.846948684404784e-08,8.05702275688844e-10,5.825618407884355e-12,8.090817645295944e-10,4.602553624317395e-12
4.306922418420838e-10,0.1122453797967079,0.0,0.0,0.0,0.0,0.9999999305363617,1.3666057459534941e-07,1.1188719749582637e-09,1.122099823205852e-11,1.1253882325165044e-09,8.868627895149796e-12
5.510603794115279e-10,0.11224538197605692,0.0,0.0,0.0,0.0,0.9999999111189324,1.7484990852993255e-07,1.4324052099842403e-09,1.8369043027554695e-11,1.4430837845891892e-09,1.4523808816251881e-11
6.71428516980972e-10,0.11224538415556196,0.0,0.0,0.0,0.0,0.9999998916997509,2.130374886057893e-07,1.7463002251718051e-09,2.7269673928044407e-11,1.7621700876218815e-09,2.156976818906024e-11
7.91796654550416e-10,0.11224538633522323,0.0,0.0,0.0,0.0,0.9999998722788177,2.512233147812305e-07,2.0605552888149245e-09,3.7922812785228634e-11,2.0826487853297228e-09,3.000815465001342e-11
9.621630192448111e-10,0.11224538942053429,0.0,0.0,0.0,0.0,0.9999998447878702,3.052676793953696e-07,2.5059570872165955e-09,5.599650475970839e-11,2.538630278051412e-09,4.4334847797262734e-11
9.999999999999999e-10,0.11224539250615913,0.0,0.0,0.0,0.0,0.9999998386818787,3.1727001535699965e-07,2.6049741563586346e-09,6.048692554756486e-11,2.6402794678513738e-09,4.789611852015192e-11
1.1325293839392063e-09,0.11224539250615913,0.0,0.0,0.0,0.0,0.9999998172934139,3.5930853023663016e-07,2.9520721419764146e-09,7.7580619569211e-11,2.9974087607161537e-09,6.145861915447487e-11
1.4732621133279966e-09,0.11224539867835198,0.0,0.0,0.0,0.0,0.9999997622939768,4.673796901418204e-07,3.846423359955702e-09,1.312792602494151e-10,3.923374387850342e-09,1.0411514407202773e-10
1.779921569777908e-09,0.11224540423440339,0.0,0.0,0.0,0.0,0.9999997127824879,5.646317158014518e-07,4.653732104474749e-09,1.916115309587868e-10,4.766353413794566e-09,1.5211642013930186e-10
2.0865810262278193e-09,0.11224540979147876,0.0,0.0,0.0,0.0,0.9999996632596369,6.61872355049995e-07,5.463279742308941e-09,2.6331423539133976e-10,5.618462970175339e-09,2.0924873162886801e-10
2.3932404826777304e-09,0.11224541534958084,0.0,0.0,0.0,0.0,0.9999996137254265,7.591016072157955e-07,6.275039793480226e-09,3.463861235751343e-10,6.4797281178174325e-09,2.755372239561698e-10
2.6998999391276416e-09,0.11224542090871217,0.0,0.0,0.0,0.0,0.9999995641798584,8.563194716266625e-07,7.0889861017859735e-09,4.408259468884898e-10,7.350173592332658e-09,3.5100671871758677e-10
3.0065593955775527e-09,0.1122454264688755,0.0,0.0,0.0,0.0,0.9999995146229356,9.535259476099434e-07,7.90509279910197e-09,5.466324579751936e-10,8.2298238400044e-09,4.356817494388105e-10
3.313218852027464e-09,0.11224543203007341,0.0,0.0,0.0,0.0,0.9999994650546598,1.050721034492498e-06,8.72333429496097e-09,6.638044106665826e-10,9.118703028164903e-09,5.29586571935256e-10
3.9265377649272865e-09,0.11224544315558327,0.0,0.0,0.0,0.0,0.9999993658840591,1.2450770382601387e-06,1.0366120739691753e-08,9.32239662101033e-10,1.0924243468922216e-08,7.451811956657471e-10
