Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32)
9.999999999999999e-11,0.11224537391831332,0.0,0.0,0.0,0.0,0.9999999838729191,3.1732448585840974e-08,2.60075491851703e-10,6.050474592021851e-13,2.59006351962655e-10,4.785852512506039e-13,7.1063146617507e-13,6.71786761514214e-25,6.091720052838584e-25,1.5352108721800681e-27,8.443360309690002e-34,2.7906353025250243e-41,1.1138466738577978e-43,2.431540131491396e-42
1.0597833877530915e-10,0.11224537391831332,0.0,0.0,0.0,0.0,0.9999999829087043,3.362948352674105e-08,2.7567661184508355e-10,6.795388641874865e-13,2.7447602235281896e-10,5.375710337983809e-13,7.980963478388496e-13,8.310755135569781e-25,7.258948576371958e-25,1.9043987597774176e-27,1.0544416916123064e-33,3.7605288777943523e-41,1.501231779988781e-43,3.2313135518938594e-42
1.4635103946485764e-10,0.11224537464913117,0.0,0.0,0.0,0.0,0.9999999763969578,4.644035786436068e-08,3.8118947035116125e-10,1.2957898588103005e-12,3.7890249605154126e-10,1.0259292571961238e-12,1.521521477606847e-12,2.8698695304066796e-24,1.9844464823424307e-24,6.783934551591863e-27,3.908234757858238e-33,2.641837616328036e-40,1.0564481609443672e-42,2.0121177086190587e-41
1.8672374015440615e-10,0.1122453753799667,0.0,0.0,0.0,0.0,0.999999969884783,5.925103490821726e-08,4.869736138288164e-10,2.1092355056843176e-12,4.832548768217089e-10,1.6713637499654093e-12,2.4761145006907615e-12,7.346254083942363e-24,4.308651453065538e-24,1.795061353406343e-26,1.0593767587612459e-32,1.0887632088006743e-39,4.3568683116325466e-42,7.572107875915054e-41
2.2709644084395466e-10,0.11224537611081983,0.0,0.0,0.0,0.0,0.9999999633721801,7.206151465647061e-08,5.930284507107239e-10,3.1198730791698e-12,5.875337531432339e-10,2.4742934239064235e-12,3.661705668094518e-12,1.5736012941344032e-23,8.137909838003243e-24,3.99053040815604e-26,2.3951773863534074e-32,3.479637174064661e-39,1.393376117597147e-41,2.234815236345473e-40
3.0784184222305164e-10,0.11224537757257932,0.0,0.0,0.0,0.0,0.9999999503456903,9.768188226077837e-08,8.059479182493883e-10,5.732711626193707e-12,7.958732650930872e-10,4.554259963757777e-12,6.725230728898498e-12,5.295064010140879e-23,2.2550371121108782e-23,1.4928972273469492e-25,9.190630836709267e-32,2.6885741539861886e-38,1.0782199975947555e-40,1.4411307844761655e-39
3.8858724360214865e-10,0.11224537903441004,0.0,0.0,0.0,0.0,0.9999999373174902,1.2330146066501666e-07,1.0199433327058309e-09,9.134282402303414e-12,1.003925546268909e-09,7.269054294196421e-12,1.0710806311714367e-11,1.3305671553555708e-22,4.992340704987998e-23,4.115850457457449e-25,2.5705306395482853e-31,1.172785723168837e-37,4.705919822185669e-40,5.6166987243008134e-39
4.693326449812456e-10,0.11224538049631237,0.0,0.0,0.0,0.0,0.9999999242875808,1.4892024985704524e-07,1.2350102162290784e-09,1.3324562415582224e-11,1.2116950487567433e-09,1.0621867568411323e-11,1.5617170097212875e-11,2.7951942243006223e-22,9.589115341540209e-23,9.402857942573933e-25,5.927969851063063e-31,3.835852629288493e-37,1.539700038958812e-39,1.6765310891632593e-38
5.500780463603426e-10,0.11224538195828662,0.0,0.0,0.0,0.0,0.9999999112559633,1.7453824982472012e-07,1.4511441281076356e-09,1.8303528706241487e-11,1.4191861875421305e-09,1.4615875000406153e-11,2.1443080930813118e-11,5.207826606433573e-22,1.6708170772733004e-22,1.8940736234912552e-24,1.2021772502555086e-30,1.0484404534819094e-36,4.2094449475204845e-39,4.246061670685195e-38
6.308234477394395e-10,0.11224538342033315,0.0,0.0,0.0,0.0,0.9999998982226393,2.0015546055587523e-07,1.668340657664125e-09,2.4071158314237937e-11,1.62640334757891e-09,1.9254240736228026e-11,2.8187316623019988e-11,8.899967497359422e-22,2.711141946519758e-22,3.484012499998776e-24,2.222639831784946e-30,2.5193131264766104e-36,1.0116902645746686e-38,9.541230737685508e-38
