Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11)
3.5041331344738072e-09,0.1122454354968094,0.0,0.0,0.0,0.0,0.9999994333322206,1.1112251736649317e-06,1.005535810737958e-08,7.424898027278251e-10,8.855206499042558e-09,6.285894640109339e-10,8.574203668155324e-10
4.088591805060619e-09,0.1122454461022631,0.0,0.0,0.0,0.0,0.999999338508692,1.296423097661206e-06,1.1909464343149582e-08,1.0107556663125844e-09,1.0299624979710041e-08,8.64916896689139e-10,1.1644587452526177e-09
4.61460460858875e-09,0.11224545565104176,0.0,0.0,0.0,0.0,0.9999992530927703,1.4630658511480808e-06,1.3618421779569496e-08,1.2874788851961196e-09,1.159461737312473e-08,1.1121428847820164e-09,1.4803056454063388e-09
5.140617412116881e-09,0.11224546520357145,0.0,0.0,0.0,0.0,0.9999991676061767,1.6296750851033878e-06,1.536462933883329e-08,1.5976223889333593e-09,1.2885773144996624e-08,1.3928402182271066e-09,1.8334571206787567e-09
5.666630215645011e-09,0.11224547475993171,0.0,0.0,0.0,0.0,0.9999990820490219,1.7962507962289832e-06,1.714726767298729e-08,1.941179805267619e-09,1.4173904537054926e-08,1.707722598930859e-09,2.2238142642632305e-09
6.192643019173142e-09,0.1122454843202003,0.0,0.0,0.0,0.0,0.999998996421393,1.962792981233163e-06,1.8965555838136805e-08,2.3181447613672362e-09,1.5459785385947487e-08,2.057488217881274e-09,2.6513010632923152e-09
6.718655822701272e-09,0.11224549388445348,0.0,0.0,0.0,0.0,0.9999989107233563,2.1293016368302885e-06,2.0818749460811108e-08,2.7285108841896813e-09,1.6744152956513388e-08,2.4428204918449903e-09,3.115863301899005e-09
7.2446686262294025e-09,0.1122455034527656,0.0,0.0,0.0,0.0,0.9999988249549565,2.295776759740446e-06,2.270613900683555e-08,3.1722718008215583e-09,1.802770967257074e-08,2.8643887588062172e-09,3.6174675255278384e-09
7.770681429757533e-09,0.11224551302520984,0.0,0.0,0.0,0.0,0.9999987391162192,2.4622183466891216e-06,2.462704813749065e-08,3.649421138797405e-09,1.9311124760438373e-08,3.3228489383175454e-09,4.1561000574449785e-09
8.296694233285663e-09,0.11224552260185776,0.0,0.0,0.0,0.0,0.9999986532071503,2.6286263944069027e-06,2.6580832154236568e-08,4.15995252639687e-09,2.05950358039133e-08,3.818844156253948e-09,4.731766068217145e-09
8.822707036813794e-09,0.11224553218277959,0.0,0.0,0.0,0.0,0.9999985672277387,2.7950008996291963e-06,2.856687651289184e-08,4.703859592923794e-09,2.1880050229811967e-08,4.3530053416823435e-09,5.344488686760377e-09
9.348719840341924e-09,0.11224554176804431,0.0,0.0,0.0,0.0,0.9999984811779553,2.9613418590959585e-06,3.058459540343953e-08,5.281135968968546e-09,2.3166746727900533e-08,4.925951797373641e-09,5.994308150658867e-09
9.874732643870055e-09,0.11224555135771955,0.0,0.0,0.0,0.0,0.9999983950577556,3.1276492695514517e-06,3.2633430394271665e-08,5.891775286654541e-09,2.445567660640226e-08,5.538291744425392e-09,6.681280995032825e-09
9.999999999999999e-09,0.11224556095187181,0.0,0.0,0.0,0.0,0.9999983745382666,3.1672496130658422e-06,3.312587868415497e-08,6.0421139972543e-09,2.4763016465535422e-08,5.689991180287963e-09,6.850365290970584e-09
1.0400745447398185e-08,0.11224556095187181,0.0,0.0,0.0,0.0,0.9999983088670785,3.293923127744005e-06,3.471284914185858e-08,6.535771179869228e-09,2.5747365082095266e-08,6.190622840591152e-09,7.405479280538196e-09
1.0926758250926316e-08,0.11224557055056644,0.0,0.0,0.0,0.0,0.9999982226058493,3.4601634304257967e-06,3.682234416297846e-08,7.213117284480336e-09,2.7042312507864546e-08,6.883532673471357e-09,8.166989858788148e-09
1.1452771054454446e-08,0.11224558015386785,0.0,0.0,0.0,0.0,0.9999981362739784,3.62637017435265e-06,3.8961431665220974e-08,7.923807238538348e-09,2.8340995541993524e-08,7.617599230292122e-09,8.965913672636671e-09
1.1978783857982576e-08,0.11224558976183922,0.0,0.0,0.0,0.0,0.9999980498713628,3.7925433562838393e-06,4.112965043181045e-08,8.667834682466207e-09,2.9643868263148697e-08,8.39339134586249e-09,9.80236508896026e-09
1.2504796661510707e-08,0.11224559937454281,0.0,0.0,0.0,0.0,0.9999979633978869,3.95868297298191e-06,4.33265607582807e-08,9.445193259237049e-09,3.095136323352443e-08,9.211469129700075e-09,1.067647126245969e-08
1.3030809465038837e-08,0.11224560899204013,0.0,0.0,0.0,0.0,0.9999978768534233,4.124789021212511e-06,4.555174343917091e-08,1.0255876614540553e-08,3.226389251197791e-08,1.0072384373058943e-08,1.158837152938517e-08
1.3556822268566968e-08,0.11224561861439139,0.0,0.0,0.0,0.0,0.9999977902378321,4.290861497744236e-06,4.780479880274383e-08,1.1099878396938579e-08,3.358184861915244e-08,1.0976680936662558e-08,1.2538216829988959e-08
1.4082835072095098e-08,0.11224562824165639,0.0,0.0,0.0,0.0,0.9999977035509633,4.456900399348468e-06,5.008534579135369e-08,1.197719225801066e-08,3.490560545696105e-08,1.1924895120095775e-08,1.3526169158286758e-08
1.4608847875623229e-08,0.11224563787389394,0.0,0.0,0.0,0.0,0.9999976167926555,4.622905722799263e-06,5.239302108507112e-08,1.2887811852490027e-08,3.623551918482239e-08,1.2917556013817772e-08,1.4552401037697126e-08
1.513486067915136e-08,0.11224564751116191,0.0,0.0,0.0,0.0,0.9999975299627379,4.788877464873192e-06,5.472747826643519e-08,1.3831730838390724e-08,3.757192905477851e-08,1.395518583465167e-08,1.5617095021284645e-08
1.566087348267949e-08,0.11224565715351782,0.0,0.0,0.0,0.0,0.9999974430610303,4.954815622349241e-06,5.7088387024466e-08,1.4808942877126352e-08,3.891515820736033e-08,1.5038300245500464e-08,1.6720443215490127e-08
1.6712899089735752e-08,0.11224567645371872,0.0,0.0,0.0,0.0,0.9999972690414757,5.286591170635029e-06,6.188831413312363e-08,1.686322077639228e-08,4.1623290790201194e-08,1.7343014496915713e-08,1.9043915780180794e-08
1.765972213608639e-08,0.1122456938418608,0.0,0.0,0.0,0.0,0.999997112176362,5.5850742724997485e-06,6.629570297913939e-08,1.8825869611085793e-08,4.4086869964511306e-08,1.957786402057561e-08,2.126934572234675e-08
1.8606545182437026e-08,0.11224571124734843,0.0,0.0,0.0,0.0,0.9999969550754482,5.883448510273023e-06,7.078431761621e-08,2.0896289525595356e-08,4.657690917585007e-08,2.19678343715094e-08,2.3623393828891697e-08
1.9553368228787663e-08,0.11224572867049314,0.0,0.0,0.0,0.0,0.9999967977373906,6.181713865243734e-06,7.53527220069167e-08,2.307444368919457e-08,4.90948024482727e-08,2.4515732887189085e-08,2.610747082191381e-08
2.05001912751383e-08,0.11224574611160139,0.0,0.0,0.0,0.0,0.9999966401607767,6.479870318718842e-06,7.999959745239628e-08,2.536029531390954e-08,5.1641826407142113e-08,2.722431888557274e-08,2.8723056751245065e-08
2.1447014321488938e-08,0.11224576357097442,0.0,0.0,0.0,0.0,0.9999964823441299,6.7779178520221574e-06,8.47237328110295e-08,2.7753807655709205e-08,5.421915005918613e-08,3.0096307593296594e-08,3.14716951413637e-08
2.2393837367839575e-08,0.11224578104890914,0.0,0.0,0.0,0.0,0.9999963242859157,7.0758564464932765e-06,8.952401553995426e-08,3.02549440155438e-08,5.682784374988177e-08,3.3134373743286215e-08,3.435498763055058e-08
2.3340660414190212e-08,0.11224579854569809,0.0,0.0,0.0,0.0,0.999996165984546,7.3736860834866685e-06,9.439942347724745e-08,3.286366774025127e-08,5.946888738030301e-08,3.634115487479494e-08,3.737458905314154e-08
2.428748346054085e-08,0.11224581606163017,0.0,0.0,0.0,0.0,0.999996007438385,7.671406744370838e-06,9.934901732757573e-08,3.557994222334067e-08,6.214317792062326e-08,3.971925435081583e-08,4.0532202942621734e-08
2.5234306506891486e-08,0.1122458335969906,0.0,0.0,0.0,0.0,0.9999958486457515,7.969018410527654e-06,1.0437193377442375e-07,3.8403730905669006e-08,6.485153629714703e-08,4.327124412376e-08,4.382957740956384e-08
2.6181129553242123e-08,0.11224585115206138,0.0,0.0,0.0,0.0,0.9999956896049234,8.266521063351722e-06,1.0946737916232945e-07,4.133499727602437e-08,6.759471370942892e-08,4.699966727212977e-08,4.7268501360567865e-08
