Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
2.680483772530082e-12,0.11224537204851796,0.0,0.0,0.0,0.0,0.9999999995677502,8.505988153537586e-10,6.949598273906145e-12,5.44759673300371e-16,6.948633009772037e-12,4.2995192248167783e-16,6.402041528844957e-16,7.129404838683161e-31,1.7659727428558485e-29
3.6365594784920045e-12,0.11224537206582332,0.0,0.0,0.0,0.0,0.9999999994135748,1.153990413991385e-09,9.428696122077522e-12,9.650509960048348e-16,9.426986189909589e-12,7.616847857270493e-16,1.1341253716910683e-15,2.0559418651654453e-30,3.9500494950349276e-29
4.592635184453927e-12,0.11224537208312875,0.0,0.0,0.0,0.0,0.9999999992593991,1.4573818952719224e-09,1.1907956523950881e-11,1.5026495257574196e-15,1.1905294122720386e-11,1.1860225850218134e-15,1.7658984373895222e-15,4.685199498537251e-30,7.455109384655154e-29
5.5487108904158494e-12,0.1122453721004342,0.0,0.0,0.0,0.0,0.9999999991052232,1.7607732662973998e-09,1.4387369634858974e-11,2.150456190636117e-15,1.4383559553845158e-11,1.6973664346926305e-15,2.527178846283036e-15,9.235883256027161e-30,1.2454455245259615e-28
7.460862302339694e-12,0.11224537213504515,0.0,0.0,0.0,0.0,0.9999999987968707,2.36755575742201e-09,1.9346543381160443e-11,3.696888847713922e-15,1.9339993709129293e-11,2.918083738432805e-15,4.344475330149023e-15,2.5702180915116026e-29,2.659762705863748e-28
9.37301371426354e-12,0.11224537216965602,0.0,0.0,0.0,0.0,0.9999999984885174,2.9743378406407757e-09,2.4306282034816223e-11,5.651053158622319e-15,2.4296270685757073e-11,4.460737791497243e-15,6.640885741763181e-15,5.740227125057363e-29,4.844718965918004e-28
1e-11,0.11224537220426697,0.0,0.0,0.0,0.0,0.9999999983874095,3.1732990008337913e-09,2.5932690412909637e-11,6.386551582404658e-15,2.592137624079965e-11,5.041377349080604e-15,7.505187612873069e-15,7.30460650490902e-29,5.7796080746699605e-28
1.1285165126187384e-11,0.11224537220426697,0.0,0.0,0.0,0.0,0.9999999981801632,3.581119488515583e-09,2.926662354259771e-11,8.040375117742916e-15,2.9252379962720566e-11,6.34702036936629e-15,9.44862274906823e-15,1.1321505221190844e-28,8.033100064578244e-28
1.5109467950035076e-11,0.11224537227348903,0.0,0.0,0.0,0.0,0.9999999975634518,4.794681453808393e-09,3.918914861034685e-11,1.414890391236298e-14,3.916408633939643e-11,1.1169983187532419e-14,1.662666670656751e-14,3.599658539528588e-28,1.865090542137394e-27
1.8933770773882766e-11,0.11224537234271129,0.0,0.0,0.0,0.0,0.9999999969467366,6.008241650341923e-09,4.9114122251810626e-11,2.2025429215326013e-14,4.907511212545646e-11,1.73896075552244e-14,2.588195612465263e-14,8.663922672716155e-28,3.606792591664983e-27
