Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
7.868272444139505e-13,0.11224537201401295,0.0,0.0,0.0,0.0,0.9999999998751579,2.4968431355673527e-10,0.0
1e-12,0.1122453720280259,0.0,0.0,0.0,0.0,0.9999999998413347,3.173305389721667e-10,0.0
1.573654822328902e-12,0.1122453720280259,0.0,0.0,0.0,0.0,0.9999999997503156,4.993687329019058e-10,0.0
3.147309978158805e-12,0.11224537205605184,0.0,0.0,0.0,0.0,0.9999999995006312,9.98737571467172e-10,0.0
6.294620289818612e-12,0.11224537211210367,0.0,0.0,0.0,0.0,0.9999999990012624,1.997475248095845e-09,0.0
1e-11,0.11224537222420737,0.0,0.0,0.0,0.0,0.9999999984133473,3.173305386395633e-09,0.0
1.2589240913138224e-11,0.11224537222420737,0.0,0.0,0.0,0.0,0.9999999980025247,3.9949505993332704e-09,0.0
2.517848215977745e-11,0.11224537244841473,0.0,0.0,0.0,0.0,0.9999999960050494,7.989901293628576e-09,0.0
5.03569646530559e-11,0.11224537289682947,0.0,0.0,0.0,0.0,0.9999999920100987,1.5979802648702073e-08,0.0
9.999999999999999e-11,0.1122453737936589,0.0,0.0,0.0,0.0,0.9999999841334732,3.173305354489763e-08,0.0
1.007139296396128e-10,0.1122453737936589,0.0,0.0,0.0,0.0,0.9999999840201974,3.1959605218389194e-08,0.0
1.5107089462616971e-10,0.11224537469048836,0.0,0.0,0.0,0.0,0.9999999760302962,4.793940763909457e-08,0.0
2.5178482459928354e-10,0.11224537648414716,0.0,0.0,0.0,0.0,0.9999999600504942,7.989901183344706e-08,0.0
3.5249875457239737e-10,0.11224537827780598,0.0,0.0,0.0,0.0,0.9999999440706923,1.118586153125663e-07,0.0
4.532126845455112e-10,0.11224538007146476,0.0,0.0,0.0,0.0,0.9999999280908911,1.4381821800827725e-07,0.0
6.546405444917388e-10,0.11224538365878206,0.0,0.0,0.0,0.0,0.9999998961312894,2.0773742129395325e-07,0.0
9.999999999999999e-10,0.11224539083341613,0.0,0.0,0.0,0.0,0.9999998413347501,3.1733049982359825e-07,0.0
1.0574962643841942e-09,0.11224539083341613,0.0,0.0,0.0,0.0,0.9999998322120924,3.355758152565223e-07,0.0
1.4200664122874038e-09,0.11224539729058584,0.0,0.0,0.0,0.0,0.9999997746848234,4.5063035329410113e-07,0.0
1.7826365601906134e-09,0.11224540374775466,0.0,0.0,0.0,0.0,0.999999717157564,5.656848721121343e-07,0.0
2.145206708093823e-09,0.11224541020492203,0.0,0.0,0.0,0.0,0.9999996596303158,6.807393686500293e-07,0.0
2.5077768559970326e-09,0.11224541666208797,0.0,0.0,0.0,0.0,0.99999960210308,7.957938397365416e-07,0.0
3.2329171518034522e-09,0.11224542957641477,0.0,0.0,0.0,0.0,0.9999994870486529,1.02590269421891e-06,0.0
3.9580574476098714e-09,0.11224544249073415,0.0,0.0,0.0,0.0,0.999999371994295,1.2560114103055604e-06,0.0
4.683197743416291e-09,0.11224545540504399,0.0,0.0,0.0,0.0,0.9999992569400193,1.4861199613500302e-06,0.0
6.13347833502913e-09,0.11224548123363033,0.0,0.0,0.0,0.0,0.9999990268317671,1.9463364658397387e-06,0.0
7.583758926641968e-09,0.1122455070621624,0.0,0.0,0.0,0.0,0.9999987967239986,2.406552002788271e-06,0.0
9.999999999999999e-09,0.11224555871901806,0.0,0.0,0.0,0.0,0.9999984133541274,3.1732917453112386e-06,0.0
1.0484320109867647e-08,0.11224555871901806,0.0,0.0,0.0,0.0,0.9999983365103191,3.326979361858459e-06,0.0
1.3384881293093324e-08,0.11224561037551975,0.0,0.0,0.0,0.0,0.9999978762997951,4.247400409938505e-06,0.0
1.918600365954468e-08,0.1122457136870945,0.0,0.0,0.0,0.0,0.999996955891469,6.08821706230773e-06,0.0
2.4987126025996035e-08,0.11224581699615648,0.0,0.0,0.0,0.0,0.9999960355055332,7.92898893358117e-06,0.0
3.658937075889875e-08,0.11224602360381623,0.0,0.0,0.0,0.0,0.9999941948268812,1.1610346237490128e-05,0.0
