Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40)
1.1223494004776894e-06,0.1123336842614381,0.0,0.0,0.0,0.0,0.9991718972437071,0.0002764964706884193,3.9996245261992886e-05,6.862689638482629e-05,2.5914775438854678e-05,0.0006155130811720962,0.0005883023678274407,3.65924842577168e-10,1.5215567391769965e-09,2.967575142983674e-08,1.9679353615159828e-14,5.339274988673582e-14,2.1475321258799798e-16
1.1464477725250668e-06,0.11233808604066634,0.0,0.0,0.0,0.0,0.999131022474388,0.0002806732069096879,4.138377741692886e-05,7.147152089275953e-05,2.68217699591653e-05,0.0006514860033939873,0.0006231003914660205,3.9318545068960415e-10,1.6610928637067568e-09,3.312988285540076e-08,2.196995940915009e-14,6.180505535976263e-14,2.4858870406321545e-16
1.1705461445724443e-06,0.1123426220096536,0.0,0.0,0.0,0.0,0.9990889245108283,0.0002847788614591147,4.278147858770212e-05,7.436838721860984e-05,2.7735166781010373e-05,0.000688681047611622,0.0006590969387386987,4.2173675367006956e-10,1.809707228988658e-09,3.6896153768096704e-08,2.4467561561227145e-14,7.130012267417175e-14,2.867792187467105e-16
1.1946445166198217e-06,0.11234729299564188,0.0,0.0,0.0,0.0,0.9990455963030297,0.0002888138490565676,4.418862399930562e-05,7.731712424376681e-05,2.8654462526456334e-05,0.0007271059465169868,0.0006962998575545983,4.5159939141512115e-10,1.967725688655941e-09,4.099448749341919e-08,2.718537237799399e-14,8.198552567292634e-14,3.297574341337491e-16
1.2187428886671992e-06,0.11235209975091688,0.0,0.0,0.0,0.0,0.9990010314634762,0.00029277860236158926,4.56044965354398e-05,8.031735476560078e-05,2.9579159126169915e-05,0.0007667677560501071,0.0007347163246581827,4.827928610690468e-10,2.135472161822966e-09,4.5445494488912056e-08,3.013705984746907e-14,9.397613160328499e-14,3.7798536283374767e-16
1.2428412607145766e-06,0.11235704295549186,0.0,0.0,0.0,0.0,0.9989552242600165,0.00029667357166487354,4.702838725238592e-05,8.33686953816496e-05,3.050876419162702e-05,0.0008076728622205357,0.0007743528525682939,5.153355507178403e-10,2.31326807193151e-09,5.027046715289358e-08,3.33367441966063e-14,1.073943107747604e-13,4.319551958623856e-16
1.266939632761954e-06,0.11236212321592727,0.0,0.0,0.0,0.0,0.9989081696074468,0.00030049922451488186,4.845959585580682e-05,8.6470756432519e-05,3.1442791362230935e-05,0.0008498269892710726,0.0008152152978176023,5.492446928450607e-10,2.5014317921420587e-09,5.5491371433060106e-08,3.6798992326607054e-14,1.2237013308749506e-13,4.92190093139638e-16
1.2910380048093315e-06,0.11236734106859521,0.0,0.0,0.0,0.0,0.998859863059494,0.00030425604537057664,4.989743117906165e-05,8.962314192785847e-05,3.2380760652789655e-05,0.0008932352074362352,0.000857308868797664,5.845362749055337e-10,2.7002781053109403e-09,6.113083935474976e-08,4.053881285816008e-14,1.390415500944593e-13,5.59244915713827e-16
1.315136376856709e-06,0.11237269697807252,0.0,0.0,0.0,0.0,0.9988103007993364,0.0003079445351783312,5.1341211617057484e-05,9.282544954014654e-05,3.332219877068716e-05,0.000937901942213294,0.0009006381350683554,6.212251341429261e-10,2.9101176736442993e-09,6.72121578454854e-08,4.45716487204848e-14,1.5755456254785814e-13,6.337068996250749e-16
1.3392347489040864e-06,0.1123781913411071,0.0,0.0,0.0,0.0,0.9987594796308148,0.0003115652109929863,5.2790265568343786e-05,9.607727056768089e-05,3.4266639437720174e-05,0.0009838309829270724,0.0009452070359816323,6.593250415148293e-10,3.1312565270945598e-09,7.375925924024452e-08,4.891337085487022e-14,1.7806337234101402e-13,7.1619626718332e-16
1.3633331209514639e-06,0.11238382448443993,0.0,0.0,0.0,0.0,0.9987073969679865,0.0003151186055096521,5.424393182344141e-05,9.937818997683912e-05,3.521362367528794e-05,0.001031025493014629,0.000991018890967998,6.988484498198602e-10,3.363995563093574e-09,8.079670745618022e-08,5.358026904645995e-14,2.0073051762003374e-13,8.073667703870267e-16
1.3874314929988413e-06,0.11238959666960097,0.0,0.0,0.0,0.0,0.998654050825694,0.0003186052666610501,5.570155997057258e-05,0.00010272778639704998,3.6162700100292725e-05,0.001079488019268299,0.0010380764088137602,7.398064637577824e-10,3.608630067314928e-09,8.834968675784151e-08,5.858904447408425e-14,2.2572699031381736e-13,9.079061633436847e-16
1.4115298650462188e-06,0.11239550808998267,0.0,0.0,0.0,0.0,0.9985994398081905,0.0003220257571041753,5.716251073514299e-05,0.00010612563221152371,3.711342517578141e-05,0.0011292205030957868,0.0010863816988870483,7.822093271153923e-10,3.86544924830202e-09,9.644398530121307e-08,6.395679879727203e-14,2.5323233555439215e-13,1.0185366023911011e-15
1.4356282370935962e-06,0.11240155887648483,0.0,0.0,0.0,0.0,0.9985435630989518,0.0003253806537863763,5.8626156344647085e-05,0.00010957129359039139,3.8065363477652486e-05,0.0011802242905597394,0.0011359362811823388,8.260661184808784e-10,4.134735795453585e-09,1.0510598182352737e-07,6.970102532931784e-14,2.8343473351964314e-13,1.1400149758312281e-15
1.4597266091409736e-06,0.11240774909454225,0.0,0.0,0.0,0.0,0.9984864204491448,0.000328670547439163,6.0091880832625085e-05,0.00011306433059379385,3.901808791934611e-05,0.0012325001438243171,0.001186741097719921,8.713843233849417e-10,4.416765453772683e-09,1.143626285838703e-07,7.583959772482779e-14,3.1653105918644126e-13,1.2731331432536803e-15
1.483824981188351e-06,0.11241407874875138,0.0,0.0,0.0,0.0,0.998428012166275,0.0003318960420827109,6.155908035088087e-05,0.0001166042972646541,3.9971179981308734e-05,0.0012860482524127692,0.0012387965237654146,9.181704791071905e-10,4.711806619629914e-09,1.2424143481605274e-07,8.239075900650646e-14,3.527269269329218e-13,1.4187181146218377e-15
1.5079233532357285e-06,0.11242054778173623,0.0,0.0,0.0,0.0,0.9983683391019911,0.0003350577544901184,6.302716342635236e-05,0.00012019074176949905,4.092422990183368e-05,0.0013408682453631407,0.001292102379909456,9.664302397546226e-10,5.020119960301471e-09,1.347704476717228e-07,8.937310892639741e-14,3.9223671076538476e-13,1.5776321337009967e-15
1.532021725283106e-06,0.11242715607750099,0.0,0.0,0.0,0.0,0.9983074026403189,0.0003381563136820556,6.44955512338201e-05,0.0001238232065154571,4.187683687783571e-05,0.0013969592029338413,0.0013466579437138514,1.0161676601824592e-09,5.341958053112079e-09,1.4597823440475082e-07,9.680559215161126e-14,4.3528354835532136e-13,1.7507726939438296e-15
1.5561200973304834e-06,0.11243390346098993,0.0,0.0,0.0,0.0,0.9982452046851735,0.00034119236038347586,6.596367781577792e-05,0.0001275012283112002,4.2828609228434076e-05,0.0014543196690849972,0.001402461962100439,1.0673856671375524e-09,5.67756505078645e-09,1.5789386230803311e-07,1.047074849617204e-13,4.82099322597859e-13,1.939072459383819e-15
1.5802184693778609e-06,0.1124407897009362,0.0,0.0,0.0,0.0,0.998181747647827,0.0003441665464858974,6.743099028434558e-05,0.00013122433853227994,4.377916454564712e-05,0.0015129476640119086,0.0014595126637870727,1.1200866176178382e-09,6.027176365759157e-09,1.7054687846082717e-07,1.1309838181494375e-13,5.329246200099965e-13,2.1434991032646338e-15
1.6043168414252383e-06,0.1124478145104881,0.0,0.0,0.0,0.0,0.9981170344343042,0.00034707953450651633,6.889694902441178e-05,0.0001349920632888843,4.472812984502464e-05,0.001572840696756526,0.0015178077717992633,1.1742713899914005e-09,6.39101837704553e-09,1.839672893001185e-07,1.219981817985232e-13,5.8800867566777e-13,2.3650550911747945e-15
1.626005376267878e-06,0.11245425503547016,0.0,0.0,0.0,0.0,0.9980577213018497,0.0003496494550633652,7.02147192911362e-05,0.00013842076523207036,4.5580538571613014e-05,0.001627823573076106,0.0015713350571016924,1.2243060179392678e-09,6.730823045787512e-09,1.967269351537051e-07,1.3045979487286826e-13,6.414384639628522e-13,2.5799573790638453e-15
1.6476939111105176e-06,0.11246080724150091,0.0,0.0,0.0,0.0,0.9979973961996426,0.0003521708467766933,7.153059247353225e-05,0.00014188486450389168,4.643110660862411e-05,0.0016838261995992692,0.0016258657221926772,1.2755414571500923e-09,7.0824821917789555e-09,2.101553077994056e-07,1.3936487896809423e-13,6.987203657431756e-13,2.810353416345911e-15
1.6693824459531573e-06,0.11246747081022264,0.0,0.0,0.0,0.0,0.9979360622222562,0.0003546442124863342,7.284420337544795e-05,0.00014538400548255837,4.727958208334941e-05,0.0017408457504539435,0.0016813971080509005,1.3279764533858964e-09,7.446141077350512e-09,2.2427514944190881e-07,1.487285158227984e-13,7.60053676499201e-13,3.057044812595391e-15
1.691070980795797e-06,0.11247424539027834,0.0,0.0,0.0,0.0,0.9978737227560701,0.0003570700606080694,7.415519583144855e-05,0.00014891782961250276,4.812571954909921e-05,0.001798879097372806,0.0017379262565092358,1.3816084412489406e-09,7.821938459092176e-09,2.3910944791744524e-07,1.585659500751753e-13,8.256430994091275e-13,3.320854921154962e-15
1.7127595156384366e-06,0.11248113059882388,0.0,0.0,0.0,0.0,0.9978103814715159,0.00035944890480846524,7.54632227851865e-05,0.00015248597552361732,4.896928004294531e-05,0.0018579228174840274,0.0017954499179707003,1.4364343237478573e-09,8.210006477545715e-09,2.5468142364129206e-07,1.6889258062875916e-13,8.956986568234808e-13,3.602628440068306e-15
1.7322791969968123e-06,0.11248742153224049,0.0,0.0,0.0,0.0,0.9977525210169418,0.0003615501047504283,7.663763206808576e-05,0.0001557263511360138,4.972608892185038e-05,0.0019119229745944383,0.0018480686075316402,1.486796023860156e-09,8.56986290131542e-09,2.693462839684942e-07,1.7861765514427895e-13,9.627449923680973e-13,3.872298448538709e-15
1.7508686268673716e-06,0.11249349535662917,0.0,0.0,0.0,0.0,0.9976966694072991,0.00036351651206310934,7.775336514149798e-05,0.00015883762620986147,5.044456391632258e-05,0.0019641050295538956,0.0018989233409537763,1.5356516335078263e-09,8.921983553243684e-09,2.839011513460888e-07,1.8826978900192065e-13,1.0302679404336486e-12,4.143885463984961e-15
1.769458056737931e-06,0.11249964956136745,0.0,0.0,0.0,0.0,0.9976400902894691,0.0003654494469612017,7.8866251385602e-05,0.00016197337352419773,5.116068646649703e-05,0.0020170213392958,0.0019505010401154965,1.5853763209184125e-09,9.283360728520683e-09,2.9904577166764506e-07,1.983130222065601e-13,1.1015167838527782e-12,4.43045856885684e-15
1.7880474866084902e-06,0.11250588383615999,0.0,0.0,0.0,0.0,0.9975827865905111,0.00036734924326372437,7.997609355285067e-05,0.00016513335979158463,5.187432126610103e-05,0.002070669108595503,0.002002799025732294,1.6359669719118076e-09,9.654061845726819e-09,3.14795229266446e-07,2.0875735811142722e-13,1.176635520975211e-12,4.732596945425065e-15
1.8066369164790495e-06,0.11251219785574548,0.0,0.0,0.0,0.0,0.9975247613709072,0.0003692162367996819,8.108269936638027e-05,0.00016831735056785358,5.258533655162391e-05,0.0021250454033222886,0.0020558144810806796,1.6874200660586914e-09,1.0034150580475663e-08,3.3116469886127015e-07,2.196128600114307e-13,1.2557707295255356e-12,5.050890150581838e-15
1.8252263463496088e-06,0.11251859128030438,0.0,0.0,0.0,0.0,0.9974660178208402,0.00037105076525609546,8.218588151467334e-05,0.0001715251103248322,5.3293604099083825e-05,0.0021801471542119183,0.0021095444557199263,1.7397317242479715e-09,1.0423686850478082e-08,3.48169438852909e-07,2.3088964669760145e-13,1.3390715009573082e-12,5.3859378518069e-15
