Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16)
1.4426756544446346e-05,0.12034216164564351,0.0,0.0,0.0,0.0,0.9262345761667014,0.00044716378652858357,0.00021743788595772793,0.003152070113579259,0.00010825039183859144,0.07174827202338951,0.07022689536292454,6.464926505434654e-08
1.4788987336262628e-05,0.12055429841168455,0.0,0.0,0.0,0.0,0.9243021693068014,0.0004472718595614187,0.0002182536916435988,0.0032359455514895798,0.00010800662426008737,0.07363786891899761,0.07207508592829917,6.625135460561846e-08
1.5151218128078911e-05,0.12076515037500672,0.0,0.0,0.0,0.0,0.9223813101915346,0.00044737532812792014,0.000219058397524225,0.0033196327978089416,0.00010776646826009575,0.07551602559040152,0.07391192299451005,6.78383809099333e-08
1.5513448919895193e-05,0.12097473560748806,0.0,0.0,0.0,0.0,0.9204718372281826,0.00044747418576555615,0.00021985222302220355,0.003403133298247544,0.00010752981967967623,0.07738290269096838,0.0757375666540628,6.941054688239822e-08
1.5875679711711476e-05,0.12118307165965964,0.0,0.0,0.0,0.0,0.9185735928845161,0.0004475684573075087,0.0002206353796550699,0.0034864484520971055,0.00010729657777556402,0.079238656829045,0.07755217297199062,7.096805439432865e-08
1.6237910503527758e-05,0.12139017569857928,0.0,0.0,0.0,0.0,0.9166864235462635,0.00044765818905850044,0.00022140807297233933,0.003569579619434557,0.0001070666459685111,0.08108344070986216,0.07935589412475055,7.251110373669303e-08
1.660014129534404e-05,0.12159606444535292,0.0,0.0,0.0,0.0,0.9148101793719285,0.000447743442114464,0.0002221705036141192,0.003652528126278178,0.00010683993195345402,0.08291740328042227,0.08114887854300606,7.403989250482764e-08
1.6962372087160323e-05,0.12180075422653795,0.0,0.0,0.0,0.0,0.9129447141455642,0.00044782428751465796,0.00022292286773443044,0.0037352952685478567,0.00010661634762117366,0.08474068987674682,0.08293127105714507,7.5554615524489e-08
1.7324602878976605e-05,0.12200426097662571,0.0,0.0,0.0,0.0,0.9110898851359635,0.00044790080296114174,0.00022366535707913406,0.003817882314967496,0.00010639580883272558,0.08655344236479547,0.08470321303690005,7.705546508291705e-08
1.7686833670792887e-05,0.1222066002538119,0.0,0.0,0.0,0.0,0.9092455529637824,0.00044797307025441947,0.00022439815912467313,0.0039002905094584098,0.00010617823513999275,0.08835579927329147,0.08646484252318463,7.854262996923994e-08
1.804906446260917e-05,0.12240778725794572,0.0,0.0,0.0,0.0,0.9074115814779442,0.0004480411733284289,0.0002251214571759896,0.00398252107309481,0.0001059635495837458,0.09014789591722498,0.08821629435076918,8.001629546356404e-08
1.8411295254425452e-05,0.12260783684022103,0.0,0.0,0.0,0.0,0.9055878376387645,0.00044810519679669273,0.00022583543040286804,0.004064575205690536,0.00010575167851710775,0.09192986451462282,0.08995770026436473,8.147664426281217e-08
1.8773526046241734e-05,0.12280676351754678,0.0,0.0,0.0,0.0,0.9037741914068145,0.00044816522499069815,0.00022654025388440998,0.004146454087036651,0.00010554255133375869,0.09370183429750448,0.0916891890291169,8.292385536263297e-08
1.9135756838058017e-05,0.12300458148265905,0.0,0.0,0.0,0.0,0.9019705156373142,0.00044822134133797254,0.00022723609858329714,0.004228158877888399,0.00010533610024408211,0.09546393161733387,0.09341088653566307,8.435810373916277e-08
1.94979876298743e-05,0.12320130461610292,0.0,0.0,0.0,0.0,0.9001766859813274,0.000448273627947812,0.00022792313133287927,0.004309690720782033,0.00010513226009230281,0.09721628004363167,0.09512291589842313,8.57795621655819e-08
1.986021842169058e-05,0.123396946495837,0.0,0.0,0.0,0.0,0.8983925807924666,0.00044832216531291155,0.00022860151490233124,0.0043910507407503106,0.0001049309681644761,0.09895900045699936,0.09682539754839321,8.718840001324992e-08
2.0222449213506864e-05,0.12359152040851613,0.0,0.0,0.0,0.0,0.8966180810384425,0.00044836703210396323,0.0002292714080512616,0.004472240045953139,0.0001047321640478325,0.10069221113730467,0.0985184493211119,8.858478204903152e-08
2.0647841158322545e-05,0.12381867564738437,0.0,0.0,0.0,0.0,0.8945462733155797,0.00044841513929742,0.00023004747730232162,0.004567369613048348,0.0001045017927736106,0.10271565151749838,0.10049482976220316,9.020896454073972e-08
2.1073233103138225e-05,0.12404439649521881,0.0,0.0,0.0,0.0,0.8924873678216724,0.00044845841078339324,0.0002308122943301567,0.004662266986742076,0.00010427468153598891,0.10472631946055566,0.10245854659003449,9.181645271317104e-08
