Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44)
8.814288913729029e-11,0.11224537359546546,0.0,0.0,0.0,0.0,0.9999999857852622,2.7969960208569127e-08,2.2915074172025375e-10,4.701042718935584e-13,2.2831979097964648e-10,3.7175399307745055e-13,5.521772274353122e-13,4.140189784660437e-25,4.1330029250664677e-25,9.421335039495077e-28,5.0891395303284145e-34,1.312727980476748e-41,5.236567365408281e-44,1.209152628247699e-42,2.8413088722582555e-44
9.999999999999999e-11,0.11224537397088125,0.0,0.0,0.0,0.0,0.999999983872919,3.173244857943212e-08,2.600754966164288e-10,6.050538342401893e-13,2.5900635357045283e-10,4.785931913979116e-13,7.106377972673737e-13,6.760639745698869e-25,6.11210626380981e-25,1.5500298987936512e-27,8.53487959253735e-34,2.83968022256742e-41,1.1335418330316885e-43,2.478063633077001e-42,6.65611507414829e-44
1.088823925929843e-10,0.11224537397088125,0.0,0.0,0.0,0.0,0.9999999824403212,3.455099072097795e-08,2.8325720748295236e-10,7.172907604808201e-13,2.819900236038636e-10,5.674732052449473e-13,8.424197645510182e-13,9.25561734657311e-25,7.911780636012735e-25,2.131240632974282e-27,1.1852729802459326e-33,4.4344112983675417e-41,1.7706010286793223e-43,3.7859314370979665e-42,1.071263205925576e-43
1.5036139950437232e-10,0.11224537472172678,0.0,0.0,0.0,0.0,0.9999999757500999,4.7712895556204616e-08,3.9168524946860424e-10,1.367777509281277e-12,3.8927149030761855e-10,1.0830205490779148e-12,1.6060113749365803e-12,3.19574231742134e-24,2.1658305867605884e-24,7.6006570510385e-27,4.394022412302207e-33,3.1179388588153225e-40,1.2470278319644203e-42,2.3576021867661227e-41,9.385497887423934e-43
1.9184040641576033e-10,0.11224537547259089,0.0,0.0,0.0,0.0,0.9999999690594266,6.087459213674591e-08,5.003995889057314e-10,2.2264138723474873e-12,4.964748063839869e-10,1.7644122827898105e-12,2.613596607503637e-12,8.17947186553179e-24,4.7079630111918884e-24,2.0130844479774714e-26,1.1914844803672714e-32,1.2856294759209645e-39,5.1453508258774295e-42,8.871859310557093e-41,4.427998338716877e-42
2.3331941332714835e-10,0.1122453762234737,0.0,0.0,0.0,0.0,0.9999999623683014,7.403608046061357e-08,6.093995844901433e-10,3.2931968863908025e-12,6.036006097815728e-10,2.6121026017304813e-12,3.8649915128512865e-12,1.751877692711153e-23,8.901371374915981e-24,4.4790865146509117e-26,2.695067560877424e-32,4.110637093557324e-39,1.6462432219014678e-41,2.618665608957804e-40,1.5921419915289823e-41
3.162774271499244e-10,0.11224537772529547,0.0,0.0,0.0,0.0,0.9999999489846959,1.0035843233246137e-07,8.282540660466532e-10,6.051189464157507e-12,8.176221416674119e-10,4.808137049519366e-12,7.098504507157599e-12,5.893157370903978e-23,2.4713895141579727e-23,1.678943436780051e-25,1.0355180458258042e-31,3.1766987842231256e-38,1.2740757502363982e-40,1.68881662507825e-39,1.9099904222383308e-40
3.992354409727004e-10,0.11224537922719244,0.0,0.0,0.0,0.0,0.999999935599285,1.2667995115844477e-07,1.0482437735588035e-09,9.641730193622548e-12,1.0313409784638432e-09,7.6746204863372e-12,1.1305152937237212e-11,1.480451950449959e-22,5.479694194666388e-23,4.635548663765579e-25,2.899450416537373e-31,1.385748877324711e-37,5.560807719269482e-40,6.583944679951966e-39,1.0249221620388581e-39
4.821934547954764e-10,0.11224538072916503,0.0,0.0,0.0,0.0,0.9999999222120701,1.5300063692539722e-07,1.269363855063918e-09,1.4064794141532783e-11,1.244761944193613e-09,1.1215011972280763e-11,1.6483570337137945e-11,3.109261183376112e-22,1.0538327629240176e-22,1.0602689901903002e-24,6.692859650844306e-31,4.532080806571701e-37,1.8192628460144726e-39,1.9659533191316997e-38,3.894784380851059e-39
5.651514686182525e-10,0.1122453822312136,0.0,0.0,0.0,0.0,0.9999999088230527,1.7932048962014903e-07,1.4916094998446e-09,1.9320356408861505e-11,1.4578898216759683e-09,1.5432752890613524e-11,2.263241377135792e-11,5.791524817218204e-22,1.8381300524868775e-22,2.1379152008614473e-24,1.3584346515937681e-30,1.2385763013094084e-36,4.9730706303158237e-39,4.981128969116458e-38,1.2047380665571983e-38
6.481094824410285e-10,0.11224538373333855,0.0,0.0,0.0,0.0,0.9999998954322338,2.056395092295071e-07,1.7149759307033416e-09,2.5408392095672296e-11,1.6707293602123756e-09,2.0331272238436282e-11,2.97503614375283e-11,9.895054359265921e-22,2.9853020442603624e-22,3.935990758002989e-24,2.513419179358666e-30,2.975533452085205e-36,1.1949476673317327e-38,1.11972485824772e-37,3.227242726226376e-38
