Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26)
3.5442959163241987e-10,0.1122453784160045,0.0,0.0,0.0,0.0,0.9999999428290058,1.1246373032698282e-07,9.292860939017678e-10,7.59931424164255e-12,9.159483384512237e-10,6.043338699684624e-12,8.912559304282156e-12,9.18294553113693e-23,3.6380025013638854e-23,2.723800640348574e-25
4.167716055336856e-10,0.1122453795446822,0.0,0.0,0.0,0.0,0.999999932769565,1.3224384541933957e-07,1.0948914760331405e-09,1.0507555884968455e-11,1.0764800329248355e-09,8.367106046144517e-12,1.231904965808163e-11,1.7305968903863555e-22,6.31956189928976e-23,5.439342241669388e-25
4.791136194349514e-10,0.11224538067340267,0.0,0.0,0.0,0.0,0.9999999227091056,1.5202349005219614e-07,1.2611346107619417e-09,1.3885949650738968e-11,1.2368441150861081e-09,1.1071887563925158e-11,1.6274160576927228e-11,2.9930631312855557e-22,1.0236931483447319e-22,9.985606741831064e-25
5.414556333362171e-10,0.112245381802166,0.0,0.0,0.0,0.0,0.999999912647628,1.718026642200615e-07,1.428013490883746e-09,1.7734485099667093e-11,1.3970425804459658e-09,1.4159120961472561e-11,2.0777333631252755e-11,4.8466029205461725e-22,1.5714368199012812e-22,1.7185322434165452e-24
6.309872960734436e-10,0.11224538342330007,0.0,0.0,0.0,0.0,0.99999989819619,2.0020744187190025e-07,1.6687824609476616e-09,2.4083912478286098e-11,1.626823813604682e-09,1.926474821708457e-11,2.8202115650728344e-11,8.849849344601799e-22,2.701744261223353e-22,3.416613206712527e-24
7.205189588106701e-10,0.11224538504452343,0.0,0.0,0.0,0.0,0.999999883742655,2.286112491667262e-07,1.9108525204730658e-09,3.140294903921073e-11,1.8562735331153814e-09,2.5166458322546575e-11,3.6754477483936494e-11,1.489528145271672e-21,4.342859453916939e-22,6.233507616692364e-24
8.100506215478966e-10,0.11224538666583658,0.0,0.0,0.0,0.0,0.999999869287025,2.570140860878152e-07,2.154217710525539e-09,3.9691563380753916e-11,2.0853976627355555e-09,3.186855297115499e-11,4.6432795179138996e-11,2.354789558343056e-21,6.624745928094112e-22,1.0628419146318234e-23
8.995822842851232e-10,0.11224538828724,0.0,0.0,0.0,0.0,0.9999998548293015,2.8541595261861363e-07,2.3988721593311138e-09,4.894972419195871e-11,2.3142020391805553e-09,3.9375288533463264e-11,5.723548651779473e-11,3.543972227324977e-21,9.693401422510937e-22,1.717931736165409e-23
9.891139470223497e-10,0.11224538990873416,0.0,0.0,0.0,0.0,0.9999998403694861,3.1381684874248615e-07,2.6448100172913948e-09,5.917740006927213e-11,2.542692476889238e-09,4.7690919531801595e-11,6.916098970547858e-11,5.125560369311449e-21,1.3708710773440261e-21,2.6582807015463383e-23
9.999999999999999e-10,0.11224539153031954,0.0,0.0,0.0,0.0,0.999999838611191,3.172700152102671e-07,2.67480055353233e-09,6.04870777292035e-11,2.5704532401447896e-09,4.875736684241082e-11,7.06874846791238e-11,5.348139094090315e-21,1.4269768361518225e-21,2.7959620447004133e-23
1.0786456097595761e-09,0.11224539153031954,0.0,0.0,0.0,0.0,0.9999998259075804,3.4221677444292634e-07,2.892025516374981e-09,7.037455972142058e-11,2.7708747088710946e-09,5.681965825869893e-11,8.220778216001157e-11,7.173781669858889e-21,1.8846024195984005e-21,3.967779160110678e-23
1.1681772724968025e-09,0.11224539315199654,0.0,0.0,0.0,0.0,0.999999811443586,3.7061572970333914e-07,3.140512910878495e-09,8.254117178059368e-11,2.998754445723064e-09,6.67657147420272e-11,9.637436144312248e-11,9.767511661455253e-21,2.5294421646831906e-21,5.744510264820735e-23
1.3472405979712556e-09,0.11224539639562756,0.0,0.0,0.0,0.0,0.9999997825093372,4.274107288379828e-07,3.6412807743022176e-09,1.0978262785247063e-10,3.4536289057328297e-09,8.912645364559088e-11,1.2806107402765855e-10,1.6938447539420386e-20,4.297798768206588e-21,1.1201835909717097e-22
1.496934196019191e-09,0.11224539910752812,0.0,0.0,0.0,0.0,0.9999997583144467,4.74887308990296e-07,4.0637676668813695e-09,1.3553161921923138e-10,3.833016608913164e-09,1.1036546748911517e-10,1.5797518689892261e-10,2.5392584092370788e-20,6.373296621666476e-21,1.8384747577784573e-22
1.6466277940671265e-09,0.11224540181969098,0.0,0.0,0.0,0.0,0.9999997341137368,5.223611761011996e-07,4.489736865385358e-09,1.6399026591066127e-10,4.2116314672569785e-09,1.339434727289401e-10,1.9100103888861294e-10,3.65651265892529e-20,9.11504742746248e-21,2.879153242880998e-22
