Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88)
2.0577289355767288e-10,0.11224537572480471,0.0,0.0,0.0,0.0,0.9999999668119782,6.529546053526547e-08,5.36979998217846e-10,2.5615095618106264e-12,5.324662026719941e-10,2.0305812520672887e-12,3.0067242441076213e-12,1.0796305763068999e-23,5.924329541157448e-24,2.7035798230835737e-26,1.611285085523738e-32,1.9855985134463973e-39,7.949309331541777e-42,1.3340467737892138e-40,7.296622800519645e-42,3.9660306244228664e-42,1.2898856955791322e-45
2.493803943015722e-10,0.11224537651422616,0.0,0.0,0.0,0.0,0.9999999597773266,7.913225102665805e-08,6.516817399955517e-10,3.762150741699184e-12,6.450598628407409e-10,2.9850972092201193e-12,4.414960415815443e-12,2.2813265212656e-23,1.1106152139427752e-23,5.950549207127116e-26,3.601120973875249e-32,6.240119051732651e-39,2.499739737047301e-41,3.872242244346606e-40,2.5764476480157865e-41,1.4010049494845883e-41,4.9749880460303767e-45
3.365953957893709e-10,0.11224537809313116,0.0,0.0,0.0,0.0,0.9999999457065255,1.068051414652771e-07,8.82028840290182e-10,6.853584767178728e-12,8.6999370536281e-10,5.448066225920939e-12,8.038841306139156e-12,7.535120747679186e-23,3.0530619992536386e-23,2.198404958969605e-25,1.361359202671809e-31,4.691155672107171e-38,1.8817736085866794e-40,2.4291575811700995e-39,2.9800080971722753e-40,1.6225299508951742e-40,8.090915437791551e-44
4.2381039727716956e-10,0.1122453796721194,0.0,0.0,0.0,0.0,0.9999999316337295,1.3447711116553075e-07,1.1136293458067986e-09,1.08651967243391e-11,1.0945943006740266e-09,8.652996605572125e-12,1.2737920810078127e-11,1.8731059197837962e-22,6.734450767154706e-23,6.0246641019532165e-25,3.7801212370568716e-31,2.0214393293319067e-37,8.11275668389865e-40,9.352768390841328e-39,1.578419707796227e-39,8.599292715558081e-40,4.910970578889124e-43
5.110253987649682e-10,0.11224538125119134,0.0,0.0,0.0,0.0,0.99999991755894,1.6214816011205108e-07,1.3464776301900686e-09,1.5796957711003833e-11,1.3188672427354897e-09,1.2603903153603916e-11,1.8510618025978354e-11,3.90661320563462e-22,1.2912613955010882e-22,1.3719420788725679e-24,8.68264837299853e-31,6.560034784237568e-37,2.6336013577621384e-39,2.771911778384326e-38,5.949500219815673e-39,3.242838687528608e-39,2.0328898555317062e-42
5.982404002527669e-10,0.11224538283034739,0.0,0.0,0.0,0.0,0.9999999034821586,1.8981828828949434e-07,1.5805681171130703e-09,2.164883883710578e-11,1.542818075501049e-09,1.7304779250994822e-11,2.5355380639519303e-11,7.240062077692688e-22,2.2480614879810585e-22,2.758525238390629e-24,1.7566361849049316e-30,1.7828736070384203e-36,7.159168279883443e-39,6.987351842173087e-38,1.8294576930373937e-38,9.975657445059764e-39,6.729195828409323e-42
6.854554017405656e-10,0.11224538440958806,0.0,0.0,0.0,0.0,0.9999998894033868,2.1748749568251878e-07,1.8158952712572036e-09,2.8420811182774788e-11,1.766452301890197e-09,2.2759603017833818e-11,3.327068211173891e-11,1.2321936605232061e-21,3.646632090396063e-22,5.0687494727194735e-24,3.243001074135372e-30,4.265163054732027e-36,1.7129914858787124e-38,1.5649580383871856e-37,4.878436867409591e-38,2.661067151797839e-38,1.9086651024906388e-41
8.598854047161629e-10,0.11224538756832489,0.0,0.0,0.0,0.0,0.9999998612398789,2.728231480539554e-07,2.290237636850159e-09,4.4724913771949525e-11,2.212792750241248e-09,3.594693024735233e-11,5.23069166700771e-11,2.979171286458252e-21,8.243097152842999e-22,1.4125248550596937e-23,9.09823406507468e-30,1.8791055682973462e-35,7.549049761345067e-38,6.1227645268822715e-37,2.651848103850252e-37,1.447604170683599e-37,1.163749767701789e-40
9.999999999999999e-10,0.11224539072740536,0.0,0.0,0.0,0.0,0.9999998386111912,3.172700154679775e-07,2.6748005370181184e-09,6.048682228703524e-11,2.5704530013981814e-09,4.8756936685009226e-11,7.068729335901268e-11,5.35300263716049e-21,1.4286683656045532e-21,2.8180039874119846e-23,1.8220123769251797e-29,5.077062222793647e-35,2.0399612305047486e-37,1.5271152444789415e-36,8.230065358328565e-37,4.495004121203439e-37,3.8677929742875205e-40
1.0343154076917602e-09,0.11224539072740536,0.0,0.0,0.0,0.0,0.9999998330684281,3.281551171037086e-07,2.769461283311497e-09,6.470903382619852e-11,2.6579317720546025e-09,5.219738343851538e-11,7.560762216245548e-11,6.1012101356088105e-21,1.6167668269839186e-21,3.290515579165369e-23,2.1291717353390235e-29,6.319016190046098e-35,2.5390530914568343e-37,1.869800402321038e-36,1.052148081797504e-36,5.747070401489766e-37,5.005719955679605e-40
1.2087454106673575e-09,0.11224539388683297,0.0,0.0,0.0,0.0,0.9999998048890464,3.8348340270923863e-07,3.2535234536811217e-09,8.837293961281305e-11,3.1019118649053e-09,7.154218587530077e-11,1.031615104723955e-10,1.1147276415954483e-20,2.871848228875392e-21,6.764698353351648e-23,4.3917443642097424e-29,1.765794801200624e-34,7.096109451435207e-37,4.829193723637799e-36,3.373486699721751e-36,1.84368760290743e-36,1.7075540429456653e-39
1.383175413642955e-09,0.11224539704661113,0.0,0.0,0.0,0.0,0.9999997767017449,4.3880800474813424e-07,3.742382067767028e-09,1.1571639937252503e-10,3.544774849659952e-09,9.401228674805188e-11,1.3495769614142713e-10,1.873629779765318e-20,4.74018280752034e-21,1.2679767793831695e-22,8.25270005493653e-29,4.314364303365982e-34,1.7339678268695184e-36,1.1044592740225527e-35,9.289556614390966e-36,5.0795563261217205e-36,4.944247342981411e-39
1.7320354195941496e-09,0.11224540336723278,0.0,0.0,0.0,0.0,0.9999997203034261,5.494461576369886e-07,4.734323590165608e-09,1.8144105356951597e-10,4.427313494681162e-09,1.4845085429698612e-10,2.1123537531603393e-10,4.431660225242791e-20,1.1022768158775251e-20,3.658558144895314e-22,2.3898274526872365e-28,1.978709995818963e-33,7.953823741831947e-36,4.508120030469334e-35,5.416183555035471e-35,2.96527544278637e-35,3.163115134931077e-38
