Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42)
1.3948025333944865e-12,0.11224537202524654,0.0,0.0,0.0,0.0,0.999999999775077,4.426132827486838e-10,3.61608126987524e-12,1.5691929207887245e-16,3.615803210325341e-12,1.2384403376284753e-16,1.8441416267280576e-16,6.51444862606911e-32,2.949703455634563e-30,1.9827987604853628e-34,1.5060148737727456e-41,1.1787753193653101e-51,3.8593725689582466e-54,2.1056758717427893e-52,9.684804402108102e-56,5.217605708762943e-56,5.135639332591165e-61,2.511818739775395e-61
2.0922040956890443e-12,0.11224537203786984,0.0,0.0,0.0,0.0,0.9999999996626153,6.639199198089375e-10,5.424258595081034e-12,3.3345352465742027e-16,5.423667731726088e-12,2.6317330947596265e-16,3.918782246202034e-16,2.483356742465311e-31,8.444100766166934e-30,7.304784819701923e-34,6.723815735372649e-41,5.85593019487331e-51,1.9850845052909507e-53,1.1720656723062628e-51,5.750307569859218e-55,3.0935643994355653e-55,3.5428125748160585e-60,1.475381054168687e-60
2.789605657983602e-12,0.11224537205049308,0.0,0.0,0.0,0.0,0.9999999995501535,8.852264979994937e-10,7.232517470155529e-12,5.68832486741762e-16,7.231509547574689e-12,4.489501125737221e-16,6.684951596220652e-16,6.681042010085298e-31,1.78338404463149e-29,1.8544755928102198e-33,1.96478802568351e-40,2.4793838488287954e-50,8.470786667011785e-53,4.414677734940294e-51,2.5961146951658104e-54,1.3982506668159227e-54,1.722539544222502e-59,6.63536913543145e-60
4.184408782572718e-12,0.11224537207573973,0.0,0.0,0.0,0.0,0.9999999993252295,1.3278395162169877e-09,1.0849226603613244e-11,1.177695343156035e-15,1.0847139899919179e-11,9.295197195089341e-16,1.384023894961858e-15,2.701885638540164e-30,4.88484038499513e-29,6.499197140319776e-33,8.321939187773015e-40,2.2394928192689955e-49,7.833701650365055e-52,3.2051604821055177e-50,2.687720950841379e-53,1.4515755924307845e-53,2.0161836154373534e-58,6.8263589077405245e-59
5.579211907161834e-12,0.11224537210098631,0.0,0.0,0.0,0.0,0.999999999100305,1.7704523179495045e-09,1.4466235600279388e-11,2.0029511359104233e-15,1.4462686780455106e-11,1.5809108506172674e-15,2.3538451948017457e-15,7.317728076242647e-30,1.0247041266872318e-28,1.6270566072166991e-32,2.364925416997279e-39,8.84879709320932e-49,3.1517562516596397e-51,1.1767045530228164e-49,1.2042049204534073e-52,6.50870913549907e-53,1.0048599329514163e-57,3.033649680927707e-58
6.9740150317509495e-12,0.11224537212623292,0.0,0.0,0.0,0.0,0.99999999887538,2.213064887733775e-09,1.8083565859046793e-11,3.060056404620114e-15,1.8078144246707153e-11,2.4153390432151116e-15,3.596117010724352e-15,1.6436823839657868e-29,1.870362360040912e-28,3.458779894779885e-32,5.601773484373564e-39,2.7956716576753153e-48,1.0061436226632997e-50,3.497761762756955e-49,4.206320824796274e-52,2.274867234887483e-52,3.8689513882559033e-57,1.050835229753304e-57
9.763621280929182e-12,0.11224537217672625,0.0,0.0,0.0,0.0,0.9999999984255286,3.0982893168875765e-09,2.5319210207816084e-11,5.8843781367952e-15,2.5308785454009783e-11,4.6448988035511414e-15,6.915086638303084e-15,6.370822926630296e-29,4.970455781853858e-28,1.2748888583456555e-31,2.653840405620078e-38,2.324536051230053e-47,8.707780410354152e-50,2.873158675954968e-48,5.583052386475259e-51,3.0208434005452174e-51,8.300456084470849e-56,1.317293674180009e-56
1e-11,0.11224537227771313,0.0,0.0,0.0,0.0,0.9999999983874099,3.1732992205326936e-09,2.593238615583021e-11,6.166945838564898e-15,2.5921460893674766e-11,4.867978109470579e-15,7.247136267911373e-15,7.155910858936158e-29,5.360409806908168e-28,1.4311036697112886e-31,3.0907434957310054e-38,3.020904812255827e-47,1.139323980486313e-49,3.744453928241761e-48,8.573988371929983e-51,4.639061421897693e-51,1.6424701922935596e-55,1.9456771514482149e-56
1.5342833779285646e-11,0.11224537227771313,0.0,0.0,0.0,0.0,0.9999999975258194,4.868735350914113e-09,3.979440939231821e-11,1.4356090052935815e-14,3.9768980429116623e-11,1.1333655469810645e-14,1.6870092044140845e-14,4.092625074865791e-28,1.9478219565471628e-27,8.191545698814334e-31,2.378032038672915e-37,4.0560178205368964e-46,1.5681040695267543e-48,5.083809998773351e-47,1.8259309500999634e-49,9.878949687152387e-50,5.106837968773814e-54,3.8055765513499725e-55
2.092204627764211e-11,0.11224537237870029,0.0,0.0,0.0,0.0,0.999999996626102,6.639177615992096e-09,5.427482599789904e-11,2.659512435905711e-14,5.4227725276896346e-11,2.0998552468438326e-14,3.1251350790269315e-14,1.349563943741263e-27,4.887010878830707e-27,2.6924248927320473e-30,8.993419718495815e-37,2.2207024776940567e-45,8.646145311560822e-48,2.6429525314775988e-46,1.2025088455469488e-48,6.508644232396249e-49,3.952557561655014e-53,2.3976331928452443e-54
