Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30)
9.213765709782969e-12,0.11224537216677354,0.0,0.0,0.0,0.0,0.9999999985141984,2.923804012855623e-09,2.3892858230615612e-11,5.223921679926957e-15,2.38836034014532e-11,4.123510763435254e-15,6.138964504678783e-15,5.115194227310269e-29,4.17759222244265e-28,1.0232761984654914e-31,2.06756105810622e-38
1e-11,0.1122453722501607,0.0,0.0,0.0,0.0,0.9999999983874103,3.17329924923625e-09,2.5932346383632615e-11,6.138254244237149e-15,2.5921471974462488e-11,4.845338273884523e-15,7.213415736835682e-15,7.385924389970261e-29,5.3778579034560415e-28,1.4727101037369851e-31,3.264817970308525e-38
1.3820648808755904e-11,0.1122453722501607,0.0,0.0,0.0,0.0,0.9999999977712893,4.38570228544666e-09,3.58445660487763e-11,1.1645544831624162e-14,3.582393729941417e-11,9.19342152891204e-15,1.3685023794173967e-14,2.6440639226422006e-28,1.4096459857568357e-27,5.251777250462264e-31,1.4127196241031737e-37
2.303441500670177e-11,0.11224537241693555,0.0,0.0,0.0,0.0,0.9999999962854543,7.309491126479869e-09,5.975864575052632e-11,3.218960895563774e-14,5.970164178863279e-11,2.5417448493672978e-14,3.782462496264063e-14,2.1564673029507146e-27,6.773604901783395e-27,4.438988408790623e-30,1.6292168421941687e-36
4.1461947402593506e-11,0.11224537275048811,0.0,0.0,0.0,0.0,0.9999999933137174,1.3157037983589763e-08,1.0762944420408073e-10,1.0408914722024744e-13,1.0744522287320557e-10,8.222905501978324e-14,1.2229514684732998e-13,2.379527170715326e-26,4.224863926787827e-26,5.259032078928009e-29,2.463333340531345e-35
5.988947979848524e-11,0.1122453730840443,0.0,0.0,0.0,0.0,0.999999990341891,1.900454374022262e-08,1.5555705803632442e-10,2.1707081557588291e-13,1.551730703481229e-10,1.715520055846011e-13,2.5501044189769607e-13,9.41710303942977e-26,1.268333759298525e-25,2.0945504845618156e-28,1.0562287784209433e-34
9.674454459026872e-11,0.11224537375116765,0.0,0.0,0.0,0.0,0.9999999843979706,3.069943194704684e-08,2.5158245687606884e-10,5.662834018584205e-13,2.5058184211841483e-10,4.4793329393976184e-13,6.650989718390644e-13,6.5303960667259805e-25,5.788367763279387e-25,1.5630781871495469e-27,8.70791149139933e-34
9.999999999999999e-11,0.11224537433163205,0.0,0.0,0.0,0.0,0.9999999838729192,3.173244860411104e-08,2.6007539844194615e-10,6.050286754822866e-13,2.59006426547422e-10,4.78618574407529e-13,7.105901839301669e-13,7.475801267101728e-25,6.437681317499832e-25,1.7966093726847675e-27,1.006191451820984e-33
1.2881149505124708e-10,0.11224537433163205,0.0,0.0,0.0,0.0,0.9999999792259783,4.087481688426875e-08,3.353168772328397e-10,1.0038208667337626e-12,3.335446541358107e-10,7.945683641854528e-13,1.1787694793370993e-12,1.9039170146619134e-24,1.3953484495555573e-24,4.6697563447156526e-27,2.684313562091948e-33
1.6087844551222546e-10,0.11224537491210744,0.0,0.0,0.0,0.0,0.9999999740537158,5.1050077355274317e-08,4.1922255838516876e-10,1.5657629081444064e-12,4.164606083583582e-10,1.2402164706294175e-12,1.8383100299712308e-12,4.451147742650634e-24,2.8072394290039374e-24,1.126815222897408e-26,6.625243589681242e-33
1.9294539597320384e-10,0.11224537549259403,0.0,0.0,0.0,0.0,0.9999999688811831,6.122521335925488e-08,5.032992329030381e-10,2.2521082721209773e-12,4.993299707986503e-10,1.7850669028676393e-12,2.643643819017596e-12,8.934171617789883e-24,5.008401933683549e-24,2.329772322541217e-26,1.3916483400646454e-32
2.2501234643418222e-10,0.11224537607309178,0.0,0.0,0.0,0.0,0.9999999637083803,7.140022489540055e-08,5.875466173849892e-10,3.0628555773945118e-12,5.821530233033364e-10,2.429320404361807e-12,3.5946896565195126e-12,1.615089526974218e-23,8.225752308321233e-24,4.340419854850683e-26,2.623813234778078e-32
2.89146247356139e-10,0.11224537723412083,0.0,0.0,0.0,0.0,0.9999999533619648,9.174987456146065e-08,7.565525142792077e-10,5.057550961921515e-12,7.47661194802651e-10,4.01674733614042e-12,5.933631593528562e-12,4.2375715244448494e-23,1.8648940918366513e-23,1.2083682412941907e-25,7.427789825003805e-32
3.5328014827809575e-10,0.11224537839519463,0.0,0.0,0.0,0.0,0.9999999430144699,1.1209902634730084e-07,9.262379981421711e-10,7.54983771125662e-12,9.129873610471996e-10,6.0040952973990864e-12,8.854494989403329e-12,9.186869728171985e-23,3.6316439699507455e-23,2.7727391973554495e-25,1.7236113601200847e-31
4.174140492000525e-10,0.11224537955631358,0.0,0.0,0.0,0.0,0.9999999326658964,1.3244768024647515e-07,1.0966007056527678e-09,1.0539703794721993e-11,1.0781338718679338e-09,8.393045981501707e-12,1.2356610976830432e-11,1.7577228014406135e-22,6.395382961267679e-23,5.618052412444408e-25,3.521427177225009e-31
4.815479501220093e-10,0.1122453807174778,0.0,0.0,0.0,0.0,0.9999999223162448,1.5279583625271435e-07,1.2676383375695734e-09,1.4027137383067992e-11,1.2431030132495372e-09,1.1185240333514552e-11,1.6439333802464834e-11,3.073394987329707e-22,1.0468582561501999e-22,1.0414067311581336e-24,6.570056319950297e-31
5.45681851043966e-10,0.1122453818786874,0.0,0.0,0.0,0.0,0.9999999119655159,1.7314349435993704e-07,1.439348674461257e-09,1.801212696694539e-11,1.4078969917286206e-09,1.4382267142979799e-11,2.1102045026573346e-11,5.016832406138917e-22,1.6200237724503748e-22,1.802699416168315e-24,1.1432386202268167e-30
6.400163163326912e-10,0.11224538358679187,0.0,0.0,0.0,0.0,0.9999998967386866,2.0307193144466423e-07,1.6931350129131212e-09,2.477778757598901e-11,1.6499784975542112e-09,1.9823748809905344e-11,2.901311270273719e-11,9.374523470338108e-22,2.846694558828076e-22,3.6693868213305124e-24,2.341151856299035e-30
7.343507816214164e-10,0.1122453852949956,0.0,0.0,0.0,0.0,0.9999998815095298,2.329992912711819e-07,1.94836508541132e-09,3.261987064438807e-11,1.8916926543130654e-09,2.6149510223986273e-11,3.81757904532371e-11,1.605804679194942e-21,4.653964592803333e-22,6.82222874814253e-24,4.372879951843985e-30
8.286852469101416e-10,0.11224538700329906,0.0,0.0,0.0,0.0,0.9999998662780474,2.6292557382009737e-07,2.205031978967703e-09,4.153833961874847e-11,2.133046334053183e-09,3.336454633120973e-11,4.8588198982772514e-11,2.5743771115391803e-21,7.197272649943251e-22,1.1822000823354585e-23,7.605149507991371e-30
