Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52)
2.0971510000000003e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0330465247774974e-25,6.755292714273728e-26,2.963653201912768e-26,4.985387250989004e-28,3.900560015193534e-27,1.7112370629795835e-27,9.803389321778543e-30,4.3009011786880944e-30,4.8575126127414224e-30
4.194303e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.066093401408664e-25,1.2804180330931353e-25,5.617395257550084e-26,9.892141606722082e-28,1.4864001793508212e-26,6.521071419240709e-27,7.495947318236647e-29,3.288590016856335e-29,1.9296882630883458e-29
8.388607e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.1321871546709973e-25,2.315301973943658e-25,1.0157593472299645e-25,1.9530328539949424e-27,5.427287430717027e-26,2.3810363211684412e-26,5.507678051293604e-28,2.4163049583312383e-28,7.631297688780917e-29
9.999999999999999e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951510175664e-25,2.6142004804216897e-25,1.1468907985739672e-25,2.315551382821603e-27,7.927284474193573e-26,3.4778242775276885e-26,1.171914397534876e-27,5.1413726246214935e-28,1.1938421796651239e-28
1.6777215e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,8.264374661195664e-25,3.871311217268948e-25,1.6984049475248118e-25,3.8402359329853305e-27,1.844180046315773e-25,8.090707534223754e-26,3.784339797949021e-27,1.6602493197937463e-27,3.0053373339025076e-28
3.3554431e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6528749674244997e-24,5.790836467716275e-25,2.5405305901670795e-25,7.583267997278216e-27,5.636755972172598e-25,2.472933306079354e-25,2.3551234335593678e-26,1.0332296167523307e-26,1.1860658136907187e-27
6.7108863e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.305749970034366e-24,7.6800009430794055e-25,3.3693364035396036e-25,1.5301777582914593e-26,1.5157648478589702e-24,6.649898303908664e-25,1.2986048043179777e-25,5.697183107318706e-26,4.759779539714067e-27
9.999999999999998e-08,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925951383508345e-24,8.548948376392469e-25,3.7505572353501537e-25,2.3454600607914734e-26,2.5442657878334438e-24,1.1162094192119676e-24,3.7833752434372616e-25,1.6598262200315344e-25,1.2071014680755905e-26
1.34217727e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.611499975254102e-24,9.452942849142288e-25,4.147153751597261e-25,3.193624940432968e-26,3.61424899891216e-24,1.5856279348240218e-24,6.368363307043998e-25,2.7939011789165593e-25,1.967713203963518e-26
2.68435455e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.322299998569359e-23,1.1806641392386802e-24,5.179758745531904e-25,6.809249049057102e-26,7.904951160059866e-24,3.468027490141426e-24,2.8545138271585558e-24,1.2523204202102955e-24,8.328883120985555e-26
5.36870911e-07,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.6446000006572704e-23,1.6090582086471022e-24,7.05919235256169e-25,1.4407663564340348e-25,1.642747037068452e-23,7.206995305582712e-24,1.2071732410064591e-23,5.2960623694320475e-24,3.5248025075879392e-25
