Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52),S(53)
3.2767e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.6141005593692734e-27,1.1154393355574784e-27,4.893607976361861e-28,7.859265376505479e-30,1.0008688910328469e-30,4.390969399136498e-31,3.917413505398728e-35,1.7186309795782734e-35,1.1949681567515535e-33,4.6667094518001327e-38
6.5535e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,3.2282363041054714e-27,2.2289044249463404e-27,9.778554620414754e-28,1.5716328824688368e-29,4.0003101189533775e-30,1.7549990285883003e-30,3.1316299880323356e-34,1.3738953790194591e-34,4.779145424862815e-33,3.7328516420979548e-37
9.999999999999999e-11,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.9259654435809675e-27,3.396891036456347e-27,1.4902695759963845e-27,2.3976569098608193e-29,1.029803578297152e-29,4.51791042465277e-30,1.4640277538545052e-33,6.422920244849249e-34,1.2315822001842444e-32,1.746966742536112e-36
1.31071e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,6.456507793577867e-27,4.449858162706963e-27,1.952222831028823e-27,3.142336804104147e-29,1.5975582108423653e-29,7.008739381191844e-30,2.5015591278338488e-33,1.0974733725371446e-33,1.9110311423671374e-32,2.985372670874339e-36
2.62143e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.2913050772522659e-26,8.86799422322454e-27,3.8905286708064775e-27,6.280931938528736e-29,6.369720297237717e-29,2.7944965728290693e-29,1.995253042500206e-32,8.753489211038518e-33,7.639040568582902e-32,2.3868174619756012e-35
5.24287e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.5826136730412243e-26,1.7610243463538762e-26,7.725891015944126e-27,1.2547048183765307e-28,2.5316092767849116e-28,1.110656842679042e-28,1.5866832566636261e-31,6.96102922672131e-32,3.0515714530285797e-31,1.9070944667305633e-34
9.999999999999999e-10,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.925952776848873e-26,3.31411097172003e-26,1.4539526439872823e-26,2.387923774445662e-28,9.306677243433921e-28,4.082985798703416e-28,1.1528557360442462e-30,5.057759581927484e-31,1.1329297573013161e-30,1.3986274042869232e-33
1.0485750000000002e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,5.165230864619141e-26,3.472696469335528e-26,1.5235265973409512e-26,2.5036366323895452e-28,9.998478658320583e-28,4.386489968315945e-28,1.2543720987652693e-30,5.5031278443532114e-31,1.2174535240006189e-30,1.5219677687316493e-33
2.0971510000000003e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,1.0330465247774974e-25,6.75529350255421e-26,2.9636535477438256e-26,4.98538979911113e-28,3.900560377127831e-27,1.711237221765858e-27,9.803390141350016e-30,4.300901538247004e-30,4.845395964581438e-30,1.2118632979115291e-32
4.194303e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,2.066093401408664e-25,1.280418631941653e-25,5.61739788479282e-26,9.89216166381073e-28,1.4864007289400857e-26,6.521073830375364e-27,7.495949809308426e-29,3.2885911097287544e-29,1.9200812615620367e-29,9.610127734597896e-32
8.388607e-09,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048713798,0.0008041951286200755,4.1321871546709973e-25,2.3153063265499047e-25,1.0157612567868695e-25,1.9530484306462945e-27,5.427295408408278e-26,2.381039821107276e-26,5.507685294413933e-28,2.416308136002236e-28,7.555640762047033e-29,7.570552731852566e-31
