Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234)
1.3693540966185562e-10,0.11224537200193696,0.0,0.0,0.0,0.0,0.32999999991742923,0.6699999999346863,8.246597445601445e-11,6.520861665504861e-11,1.0470898392809555e-13,1.7362040346140665e-11,3.3145595345990124e-22,1.977894794253908e-17,1.1922582841736393e-17,6.398735487558072e-21,5.30641315610167e-23,1.0314753439589316e-17,1.6404495441565145e-17,4.729240088587592e-25,6.2556675007047645e-28,3.547504166118386e-36,2.5259249767004636e-32,1.75030751640229e-20,2.316378338253274e-18,5.434847655484086e-33,6.392815582699424e-36,1.037718451368152e-42,3.2700548773393454e-37,1.9274061246237738e-50,1.16128725951573e-55,1.9756551172464447e-47,4.624950487307288e-50
1.7500247587173515e-10,0.11224537200244425,0.0,0.0,0.0,0.0,0.32999999989447515,0.6699999999162511,1.0535896246689661e-10,8.358277340986868e-11,1.657768559053355e-13,2.194192808461731e-11,5.247683673692128e-22,3.683287080517537e-17,2.404229264229282e-17,1.4775464783635944e-20,1.092869623966938e-22,1.7778351768698134e-17,2.6838220349252277e-17,1.1905932833240214e-24,1.9389392347475757e-27,1.0995720199095609e-35,9.525343218252179e-32,3.435007576397806e-20,4.625214294071793e-18,1.391942397176937e-32,2.0109278341288178e-35,3.217019967461996e-42,1.0137513767662999e-36,9.67606709473087e-50,8.875669981208192e-55,7.545125752271139e-47,2.1243446308150836e-49
2.1306954208161468e-10,0.1122453720029386,0.0,0.0,0.0,0.0,0.32999999987152107,0.6699999998977015,1.2824046871792427e-10,1.0205987951183581e-10,2.383220018550214e-13,2.6418862737941392e-11,7.544128671464607e-22,6.102865020531089e-17,4.2146482614440776e-17,2.916622155966693e-20,1.9553016062880906e-22,2.7678160240060092e-17,3.985309639234501e-17,2.500885315144975e-24,4.8088951618241306e-27,2.727165916546712e-35,2.7489060015013845e-31,5.862485412353339e-20,8.029055091918341e-18,2.970955670342648e-32,5.052962218751516e-35,7.979768217558155e-42,2.5146030335908754e-36,3.3779083880410148e-49,4.064609456583083e-54,2.2005184148813535e-46,7.099821645585757e-49
2.511366082914942e-10,0.11224537200342057,0.0,0.0,0.0,0.0,0.329999999848567,0.6699999998790409,1.5111169729433955e-10,1.206374912932092e-10,3.2113910393009626e-13,3.079528799323832e-11,1.0165739377468013e-21,9.341507926549852e-17,6.731711812021619e-17,5.1881885410658596e-20,3.1869266188711046e-22,4.023106808250366e-17,5.54631777417443e-17,4.6668385137859455e-24,1.0353914396994127e-26,5.87186165454037e-35,6.744189004593862e-31,9.114693732190258e-20,1.2697472172038367e-17,5.631578348198687e-32,1.101737303768073e-34,1.7182660472410448e-41,5.414653163753203e-36,9.705879215474162e-49,1.48742827664041e-53,5.453295776788244e-46,1.9790582285086963e-48
2.892036745013737e-10,0.11224537200389047,0.0,0.0,0.0,0.0,0.3299999998256129,0.669999999860273,1.73973690048014e-10,1.3931327269768488e-10,4.13185245864463e-13,3.507353993308743e-11,1.3079501572975546e-21,1.3490028224479391e-16,1.0050192061681446e-16,8.554666981756202e-20,4.855426494548714e-22,5.562524533811167e-17,7.368187028529159e-17,7.99584001925348e-24,2.0175196556434823e-26,1.144176275734141e-34,1.4806337297664357e-30,1.3242195588414007e-19,1.8765865648639277e-17,9.802394846367872e-32,2.174368305706418e-34,3.348387367091889e-41,1.055156247465528e-35,2.4631304837254645e-48,4.707171911470231e-53,1.209500892436156e-45,4.894266458219063e-48
3.272707407112532e-10,0.11224537200434863,0.0,0.0,0.0,0.0,0.3299999998026588,0.6699999998414008,1.968273364816583e-10,1.580850153760207e-10,5.135700182858788e-13,3.92558269381854e-11,1.6257228747979426e-21,1.862601757498495e-16,1.425210016913475e-16,1.3302012331958162e-19,7.026498044764035e-22,7.402182587149782e-17,9.452181644839792e-17,1.2829750675508022e-23,3.641166258879694e-26,2.0649942214879237e-34,2.9855595429681275e-30,1.827050671572864e-19,2.6339037798226512e-17,1.598234942467356e-31,3.975826713573314e-34,6.043441949842283e-41,1.9044348421747912e-35,5.677827720619137e-48,1.3229157375853293e-52,2.4645708959917845e-45,1.1049636167880047e-47
3.823961759339551e-10,0.11224537200499202,0.0,0.0,0.0,0.0,0.3299999997694187,0.6699999998138928,2.2990882580966436e-10,1.8543437910246312e-10,6.72109544705078e-13,4.514649870942604e-11,2.127587470845566e-21,2.7954249535356154e-16,2.205293932587285e-16,2.3250428914663156e-19,1.1194007272359789e-21,1.0627625722140116e-16,1.2937163140266344e-16,2.3256466629235276e-23,7.70223715910356e-26,4.3681631307150604e-34,7.342889014735617e-30,2.717144419596576e-19,4.0145063479526464e-17,2.966152700832054e-31,8.578452846508255e-34,1.2784697484379007e-40,4.02877491050672e-35,1.6762702505471663e-47,5.101634964450391e-52,6.162269044974792e-45,3.195071564338428e-47
4.3752161115665703e-10,0.11224537200561249,0.0,0.0,0.0,0.0,0.32999999973617855,0.6699999997861807,2.629766425249857e-10,2.1297413786172767e-10,8.443016681078985e-13,5.084676796044158e-11,2.6726702846629616e-21,3.968765152374792e-16,3.2066095530731353e-16,3.773325741731769e-19,1.6750364773380016e-21,1.455235305680823e-16,1.6978012403339382e-16,3.883820270880236e-23,1.4739803749007583e-25,8.359425527558257e-34,1.607434118952043e-29,3.7983963472127897e-19,5.749245371840708e-17,5.070752222610802e-31,1.6746623560814416e-33,2.446740693374424e-40,7.710296715680361e-35,4.287599191382618e-47,1.6342363221750127e-51,1.3719362215469257e-44,8.123700959146623e-47
4.92647046379359e-10,0.11224537200621101,0.0,0.0,0.0,0.0,0.3299999997029384,0.6699999997582725,2.960326749528614e-10,2.406981207810623e-10,1.0282561534299538e-12,5.6362805690432765e-11,3.2549876494985964e-21,5.399130395569354e-16,4.447298707180524e-16,5.782035054084781e-19,2.3894184291314832e-21,1.9210894572443236e-16,2.157823488013981e-16,6.090107066938403e-23,2.6093802954482796e-25,1.4798724271253458e-33,3.208236989552897e-29,5.067141184185349e-19,7.853138906559147e-17,8.13715752526794e-31,3.0236662160981873e-33,4.331630187485283e-40,1.3650073397486597e-34,9.78294443790482e-47,4.5048877865052815e-51,2.7840049790143253e-44,1.853201797229265e-46
5.477724816020608e-10,0.11224537200678839,0.0,0.0,0.0,0.0,0.3299999996696983,0.6699999997301761,3.290785667370825e-10,2.686003194514172e-10,1.222327701033585e-12,6.170062044350628e-11,3.8693312582357284e-21,7.10090453810707e-16,5.943460527202141e-16,8.465037092410091e-19,3.282487890830073e-21,2.463344283540926e-16,2.674123314812444e-16,9.086985361415079e-23,4.340769381163672e-25,2.4618146146965988e-33,5.940451637039498e-29,6.51679899918185e-19,1.0336211787305633e-16,1.2419802000410836e-30,5.127971777157676e-33,7.2060104898279595e-40,2.270799968554333e-34,2.038387147982584e-46,1.1083043429910647e-50,5.238831898812219e-44,3.868323468576169e-46
