Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189)
1.2783967175006262e-11,0.1122453720001886,0.0,0.0,0.0,0.0,0.32999999999229135,0.6699999999939718,7.707544760963535e-12,6.0273189835229185e-12,1.0596085320892113e-15,1.6812850333337879e-12,3.353570972183582e-24,8.299506531108209e-20,1.1687499185542332e-20,2.9641428976941257e-24,4.4316020789240513e-26,7.366284845732942e-20,1.4768552721471715e-19,4.651854683796638e-29,6.250666585632622e-33,3.540741227852205e-41,2.5771880013593034e-38,1.8994257571317644e-23,2.354688891358947e-21,4.44841141582252e-37,5.21112456112078e-41,1.0275438484439716e-47,3.237250640911757e-42,1.369020334767746e-57,3.8063148094802096e-64
1.7897665019354346e-11,0.11224537200026359,0.0,0.0,0.0,0.0,0.3299999999892078,0.6699999999915563,1.0790085051493713e-11,8.441777412141944e-12,2.0280422077881552e-15,2.3503350131744052e-12,6.418936581297691e-24,1.679076815045669e-19,3.074906657211391e-20,8.175972242559468e-24,1.2124825594262172e-25,1.433611840437412e-19,2.8407535999937735e-19,1.698771581947502e-28,3.223683070905302e-32,1.8267393171537453e-40,1.9201212859618357e-37,4.9744386864222617e-23,6.184803133495399e-21,1.7108744503766954e-36,2.858820291096918e-40,5.314986523388614e-47,1.674594508872461e-41,1.8556247874733237e-56,8.38115336451719e-63
2.812506070805052e-11,0.11224537200041279,0.0,0.0,0.0,0.0,0.3299999999830408,0.6699999999867186,1.6954232344336164e-11,1.3276791570975083e-11,4.898275487373447e-15,3.682337468637857e-12,1.5504300679255067e-23,4.527028518851893e-19,1.179302424726358e-19,3.467429052452557e-23,4.814551318337833e-25,3.5861560457912217e-19,6.934742584013099e-19,1.0687720328280802e-27,3.45747369392755e-31,1.95992733642565e-39,3.646685642893715e-36,1.8881841227345854e-22,2.3633163925928504e-20,1.1290138902158276e-35,3.252249587593851e-39,5.717283663426243e-46,1.8014808193491233e-40,6.210480430951875e-55,4.9251293219798034e-61
3.835245639674669e-11,0.11224537200056092,0.0,0.0,0.0,0.0,0.3299999999768738,0.6699999999818712,2.3117157408311873e-11,1.811990839407526e-11,8.990817436544831e-15,5.006236989235417e-12,2.8458965418336565e-23,9.111130267664208e-19,2.9075231489805824e-19,9.206890541742991e-23,1.2052162341712539e-24,6.792542569751328e-19,1.285386152195993e-18,3.4629229742779266e-27,1.4367498671295001e-30,8.145378754202455e-39,1.8941907260763307e-35,4.616855512644879e-22,5.809621871443142e-20,3.721913204235875e-35,1.375722430213271e-38,2.37800421985835e-45,7.493121640129732e-40,3.985281596500488e-54,4.0496728715776087e-60
5.880724777413903e-11,0.11224537200085413,0.0,0.0,0.0,0.0,0.32999999996453977,0.6699999999721492,3.543950987362975e-11,2.783018939011698e-11,2.0673630574467385e-14,7.629987867889071e-12,6.544059302049606e-23,2.494617928562121e-18,1.0394828650538538e-18,3.8595684728659635e-22,4.404146206823178e-24,1.6666358952585671e-18,3.018051089667287e-18,1.9532967612858015e-26,1.303343553911849e-29,7.390174181455931e-38,2.818414569860336e-34,1.618392191905996e-21,2.0625382787039608e-19,2.151798136696746e-34,1.2828199637553569e-37,2.1598679266497702e-44,6.805989348282716e-39,1.0336067047470259e-52,2.1382664456800943e-58
7.721656001379215e-11,0.11224537200111448,0.0,0.0,0.0,0.0,0.32999999995343915,0.6699999999633683,4.6525766060676714e-11,3.6596659127974417e-11,3.5049140197821346e-14,9.964145890213244e-12,1.1094624383367644e-22,4.7896398040620936e-18,2.283228178046137e-18,9.368940985377301e-22,9.798969905906128e-24,2.9724570557679655e-18,5.2042714213860975e-18,5.413874240457151e-26,4.438527051394992e-29,2.51683489263067e-37,1.148019977399507e-33,3.5052863806582685e-21,4.507825067312837e-19,6.03286427016268e-34,4.413735674243733e-37,7.358197832212473e-44,2.318674620221924e-38,5.351852848508546e-52,1.5428585080085322e-57
9.562587225344526e-11,0.1122453720013716,0.0,0.0,0.0,0.0,0.32999999994233853,0.6699999999545585,5.7608555096396535e-11,4.538860736711906e-11,5.2891554189773214e-14,1.2272824532513491e-11,1.6742661456005778e-22,8.074466407434488e-18,4.233770538016312e-18,1.9032842677937256e-21,1.8385951929324265e-23,4.7076280222303966e-18,7.986071225344895e-18,1.2133132957957113e-25,1.1858296785497976e-28,6.724381246137224e-37,3.611217533107796e-33,6.409604744320252e-21,8.317160404645829e-19,1.3660677139952343e-33,1.1903381996852714e-36,1.9663948521105797e-43,6.196437929844248e-38,1.9451878986594175e-51,6.887344547898538e-57
9.999999999999999e-11,0.11224537200162552,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524611,6.024138480667298e-11,4.748131710084972e-11,5.761713562645892e-14,1.2817668936368454e-11,1.8238552514473666e-22,9.020979959086007e-18,4.8218591026269686e-18,2.215524614498177e-21,2.1000338612926282e-23,5.187262565825259e-18,8.734831769155158e-18,1.4422727772345772e-25,1.469902121936791e-28,8.335304172240569e-37,4.664528422299425e-33,7.27432544677239e-21,9.460502597171851e-19,1.6280629507037393e-33,1.4790911585855925e-36,2.4375950887057833e-43,7.681279867245294e-38,2.650208483359331e-51,1.0297132674881147e-56
1.1403518449309838e-10,0.11224537200162552,0.0,0.0,0.0,0.0,0.3299999999312379,0.6699999999457202,6.868803724305638e-11,5.420576774376011e-11,7.404044568596585e-14,1.4556290158586854e-11,2.343738631262433e-22,1.2488487478860677e-17,7.031975474548225e-18,3.431615252712507e-21,3.087747807006666e-23,6.900874807703428e-18,1.1364984667353906e-17,2.3566205339256775e-25,2.660825525149283e-28,1.5088856024309187e-36,9.257748010530758e-33,1.0501727848754897e-20,1.3746768749533842e-18,2.6780930221964713e-33,2.692863237299581e-36,4.4131211035568744e-43,1.3906548106919572e-37,5.87167341078639e-51,2.678612566754734e-56
1.3244449673275148e-10,0.11224537200187631,0.0,0.0,0.0,0.0,0.3299999999201373,0.6699999999368539,7.976437192160792e-11,6.304786559402124e-11,9.833623007998657e-14,1.6814817432746048e-11,3.1128281368324048e-22,1.81704064703049e-17,1.0818505668967731e-17,5.693637193866973e-21,4.801550079627802e-23,9.580799035700385e-18,1.5342595376267058e-17,4.148964717112018e-25,5.306676119108779e-28,3.0093311293536454e-36,2.0720640021624838e-32,1.5940025193003036e-20,2.1046439677888163e-18,4.7566253088706036e-33,5.4115000978538473e-36,8.802645833094285e-43,2.7738842254970262e-37,1.5271654898212017e-50,8.74414172156415e-56
