Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186)
2.0249744190820168e-10,0.11224537200280256,0.0,0.0,0.0,0.0,0.329999999877896,0.6699999999028642,1.2188677838036496e-10,9.691826244380651e-11,2.1714469323889008e-13,2.518561491146197e-11,6.873752383625481e-22,5.348323560572537e-17,3.6405874490834184e-17,2.4333171274557605e-20,1.678658485345012e-22,2.4661578198463552e-17,3.5977670144067314e-17,2.051100450320271e-24,3.745767847612894e-27,2.1242475513361893e-35,2.033957732835017e-31,5.1050411456871516e-20,6.956128668213498e-18,2.424215918225399e-32,3.918402319141846e-35,6.215407358543716e-42,1.958611628666171e-36,2.3687202533837823e-49
2.3867569363363163e-10,0.11224537200326416,0.0,0.0,0.0,0.0,0.32999999985608086,0.6699999998851613,1.4362603311146753e-10,1.1454542995915168e-10,2.930018667717458e-13,2.937355040502809e-11,9.275042872931825e-22,8.181827576402875e-17,5.820206619605979e-17,4.324629735403886e-20,2.7360685456114952e-22,3.581026360642783e-17,5.006566511647019e-17,3.830312141243366e-24,8.069655002436878e-27,4.5764053995724134e-35,4.992534087373958e-31,7.954622479627259e-20,1.1016420498065463e-17,4.5953231493471504e-32,8.543775467425367e-35,1.3391422132535046e-41,4.2199427896534524e-36,6.8071601726247454e-49
2.7485394535906156e-10,0.11224537200371473,0.0,0.0,0.0,0.0,0.3299999998342657,0.6699999998673603,1.6535665698280683e-10,1.3226193401406273e-10,3.7748406847691614e-13,3.3472146015903613e-11,1.1949364453876108e-21,1.1811975806456576e-16,8.697313272552508e-17,7.126395300785852e-20,4.1685783557962228e-22,4.9473048150317005e-17,6.65059993328021e-17,6.567409284150305e-24,1.5733521031322572e-26,8.922767351143086e-35,1.0966101726317363e-30,1.1582284518591707e-19,1.630465347396103e-17,7.998871399593695e-32,1.6862177354156568e-34,2.6111475106651446e-41,8.228338679755893e-36,1.727766640888743e-48
3.110321970844915e-10,0.1122453720041546,0.0,0.0,0.0,0.0,0.32999999981245054,0.6699999998494638,1.870794428600251e-10,1.500658633464551e-10,4.697976239897988e-13,3.7483313031821285e-11,1.4871592828446476e-21,1.630791498087356e-16,1.234471772412633e-16,1.1076708651711362e-19,6.03260072492139e-22,6.579343249377574e-17,8.530962254211354e-17,1.0545516771265012e-23,2.841260593841365e-26,1.611343177629743e-34,2.2123292074323914e-30,1.6015218154621047e-19,2.2917110696068218e-17,1.3042101164084719e-31,3.0833071064754397e-34,4.715674559211397e-41,1.486022197675764e-35,3.983362990671526e-48
3.6459677833551583e-10,0.11224537200478685,0.0,0.0,0.0,0.0,0.3299999997801516,0.6699999998227976,2.1922875076535312e-10,1.7658249800280774e-10,6.193464532133562e-13,4.326553824137945e-11,1.9605633041645435e-21,2.4685935537304986e-16,1.929950024245824e-16,1.9580819570600346e-19,9.704042720306508e-22,9.511077620929148e-17,1.175121149974627e-16,1.937347731020419e-23,6.110076046243038e-26,3.4651934733968394e-34,5.5496486591258644e-30,2.4087842210935117e-19,3.530685801967938e-17,2.4518147813002075e-31,6.760424609851629e-34,1.0141711756347076e-40,3.1959028967239027e-35,1.2038312453276845e-47
4.1816135958654017e-10,0.11224537200539712,0.0,0.0,0.0,0.0,0.32999999974785266,0.6699999997959359,2.513645152361586e-10,2.0328082660441947e-10,7.824204615009581e-13,4.8866062399503016e-11,2.4767821932245723e-21,3.527944861471213e-16,2.828286861607057e-16,3.205326369147776e-19,1.4626019965432207e-21,1.3091492248892717e-16,1.5495198182609067e-16,3.268369047236248e-23,1.184002882675973e-25,6.714854203644891e-34,1.2330930789279345e-29,3.396988188973146e-19,5.098290535599245e-17,4.232079544091561e-31,1.3357744691988676e-33,1.9653576876616595e-40,6.193334727883571e-35,3.1319184177287483e-47
4.717259408375645e-10,0.11224537200598643,0.0,0.0,0.0,0.0,0.3299999997155537,0.6699999997688867,2.8348855912838523e-10,2.301551214782482e-10,9.571949469681534e-13,5.429061329222475e-11,3.0300397329800105e-21,4.824775703896916e-16,3.9468834956362696e-16,4.945330012347224e-19,2.0980865237287536e-21,1.735387045706267e-16,1.976617957122165e-16,5.1660611326705287e-23,2.1166207370761492e-25,1.2004088193706476e-33,2.4897383361714176e-29,4.563867654533772e-19,7.010126647746915e-17,6.8422718011875645e-31,2.4344117716403198e-33,3.5135872532449292e-40,1.107220687267682e-34,7.239463629632118e-47
5.788551033396132e-10,0.11224537200710494,0.0,0.0,0.0,0.0,0.32999999965095583,0.6699999997142534,3.477076562050843e-10,2.8440949800064583e-10,1.335668100152359e-12,6.463390781232625e-11,4.2281162647782764e-21,8.184868880881727e-16,6.90507822841855e-16,1.0317424954279782e-18,3.872033910721894e-21,2.803777716731913e-16,2.990165348930738e-16,1.1178651569254144e-22,5.653996495867059e-25,3.206601601657677e-33,8.207213058335255e-29,7.411741323468277e-19,1.1906322331495195e-16,1.547394173897245e-30,6.755596854698123e-33,9.386216540141492e-40,2.9578404228475935e-34,3.0194619309971095e-46
6.752713495914569e-10,0.11224537200804718,0.0,0.0,0.0,0.0,0.32999999959281767,0.6699999996645093,4.054785744941091e-10,3.337861654890381e-10,1.7024803907584775e-12,7.339512161596346e-11,5.3892801280330945e-21,1.2142110382593158e-15,1.0457738202971238e-15,1.7917622906761835e-18,6.141964007768298e-21,4.024013534569934e-16,4.0856457020611623e-16,1.9886976317339202e-22,1.1792928878702813e-24,6.688261486767234e-33,2.0026651992349119e-28,1.051538242623584e-18,1.755779234089337e-16,2.860447728255568e-30,1.4561443913164657e-32,1.9578249609536493e-39,6.169620982791889e-34,8.751048470119215e-46
7.716875958433007e-10,0.11224537200893235,0.0,0.0,0.0,0.0,0.32999999953467946,0.6699999996142575,4.632304234137029e-10,3.8365151632520253e-10,2.088278006081821e-12,8.166763143230725e-11,6.610543318845324e-21,1.7034494025765645e-15,1.4914986977301266e-15,2.88518934576454e-18,9.16020513853388e-21,5.500191209408974e-16,5.356460456132089e-16,3.26319626339483e-22,2.221397716872781e-24,1.2598517733709714e-32,4.314296572959208e-28,1.4070982367218402e-18,2.4382628570029183e-16,4.870865916114787e-30,2.8304395059014093e-32,3.6880034742847956e-39,1.1621877247129578e-33,2.1816482222881658e-45
