Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58)
2.0029561262274125e-07,0.11224537193869352,0.0,0.0,0.0,0.0,0.3299998790489057,0.6699998783318396,1.19757997186071e-07,1.2040955258605992e-07,9.306981260478564e-10,3.4473933544378206e-10,2.9461769460095132e-18,1.9296140363873792e-10,2.6158112206051256e-10,1.0686167811582986e-10,1.5866173604800373e-13,4.21534569518569e-11,2.586754699443472e-11,6.0410718750732495e-15,1.1599861464102735e-14,6.578948621816795e-23,7.717417294526231e-16,1.4232168027561341e-15,4.808828703935296e-13,2.2421928686198073e-20
2.2071145305733897e-07,0.11224537193057464,0.0,0.0,0.0,0.0,0.3299998666882037,0.6699998658732962,1.3196727226505838e-07,1.3270264546877437e-07,1.0257585440583874e-09,3.5753562838186987e-10,3.2470960153349116e-18,2.285080096500863e-10,3.1778452055094746e-10,1.4046705891654032e-10,2.122868485024213e-13,4.924209157504259e-11,3.000334017386179e-11,7.637861696971621e-15,1.584720765670806e-14,8.987862998767546e-23,1.169919419063037e-15,1.5921371031533147e-15,5.303428389566502e-13,3.313778053538756e-20
2.411272934919367e-07,0.1122453719225934,0.0,0.0,0.0,0.0,0.3299998543196431,0.6699998534083388,1.4417889677568615e-07,1.449952916799295e-07,1.1208372033213078e-09,3.703314930418611e-10,3.548072828364325e-18,2.659460894259134e-10,3.7945565937210204e-10,1.798992522072919e-10,2.7681283666544527e-13,5.659503827870161e-11,3.4254599874955686e-11,9.45508375081114e-15,2.1009218987908642e-14,1.1915536608392431e-22,1.7051265284101991e-15,1.7654117494557853e-15,5.798260320874656e-13,4.7323460756489957e-20
2.6154313392653443e-07,0.11224537191475167,0.0,0.0,0.0,0.0,0.3299998419429018,0.6699998409369633,1.563931872625755e-07,1.5728749147090943e-07,1.2159365738852738e-09,3.831269314974836e-10,3.849115204174975e-18,3.0506963663929035e-10,4.465957999852463e-10,2.2544341986026413e-10,3.532508485436918e-13,6.417509028769855e-11,3.8601012284919755e-11,1.1501266450263004e-14,2.716755398079393e-14,1.5408282699060939e-22,2.4052388047702228e-15,1.9430457102724697e-15,6.293337451446044e-13,6.566874369299409e-20
2.819589743611322e-07,0.11224537190705094,0.0,0.0,0.0,0.0,0.32999982955769347,0.669999828459166,1.686104238235045e-07,1.6957924511543013e-07,1.3110588414819059e-09,3.959219462171549e-10,4.150230061822595e-18,3.4569168266656954e-10,5.192063378122759e-10,2.7735339011431893e-10,4.4261297810046365e-13,7.195032523554797e-11,4.3025837489371346e-11,1.3784718195994327e-14,3.4401774622712144e-14,1.9511225453055907e-22,3.300483114067712e-15,2.1250437168410338e-15,6.788671255850352e-13,8.892995318219327e-20
3.0237481479572993e-07,0.11224537189949248,0.0,0.0,0.0,0.0,0.3299998171637657,0.6699998159749425,1.8083085379093243e-07,1.8187055290795295e-07,1.406205936228118e-09,4.0871653902484257e-10,4.4514235112002696e-18,3.8764331717538813e-10,5.972887867957566e-10,3.3585461082666843e-10,5.459123225975253e-13,7.989336088545511e-11,4.75152869517876e-11,1.6313536595558924e-14,4.278940006282749e-14,2.4268330441548514e-22,4.423377266495363e-15,2.3114102786086842e-15,7.284271878430911e-13,1.1793095457693323e-19
3.227906552303277e-07,0.11224537189207714,0.0,0.0,0.0,0.0,0.32999980476089463,0.6699998034842893,1.9305469515591265e-07,1.9416141516090125e-07,1.5013795593232843e-09,4.2151071150195504e-10,4.7527009375497976e-18,4.307725946937105e-10,6.808447653946059e-10,4.011469368299797e-10,6.641630312648755e-13,8.79807034002423e-11,5.20579953930569e-11,1.9095617140075657e-14,5.240595922563764e-14,2.972243446475192e-22,5.808671174832642e-15,2.5021496983519172e-15,7.78014827174378e-13,1.5356415171886444e-19
3.432064956649254e-07,0.11224537188480581,0.0,0.0,0.0,0.0,0.3299997923488834,0.6699997909872027,2.0528213972454912e-07,2.064518322022335e-07,1.5965812076643926e-09,4.3430446528225266e-10,5.054067079382352e-18,4.749433327204373e-10,7.698759840510438e-10,4.734072428139398e-10,7.983803455578828e-13,9.619218947045668e-11,5.6644587944560504e-11,2.213865776213529e-14,6.332504577785577e-14,3.591527672680389e-22,7.493289478917144e-15,2.697266087894029e-15,8.27630832432864e-13,1.9679148545298748e-19
3.6362233609952317e-07,0.11224537187767895,0.0,0.0,0.0,0.0,0.32999977992755797,0.6699997784836788,2.1751335599623183e-07,2.1874180437379418e-07,1.6918121962945661e-09,4.470978018131577e-10,5.355526099540513e-18,5.200338465053445e-10,8.643842340916249e-10,5.527918436987302e-10,9.495806317028683e-13,1.0451051514756553e-10,6.126733258519757e-11,2.545016196786523e-14,7.561837256987752e-14,4.288752971265633e-22,9.51627583724093e-15,2.8967633833420407e-15,8.772758977317661e-13,2.4864543108598305e-19
3.840381765341209e-07,0.11224537187069712,0.0,0.0,0.0,0.0,0.32999976749676563,0.6699997659737141,2.297484917687997e-07,2.3103133202962957e-07,1.7870736787237376e-09,4.59890722366961e-10,5.657081649524518e-18,5.659356933993678e-10,9.643713778960434e-10,6.394387101254989e-10,1.1187814069716818e-12,1.1292083395578845e-10,6.591985622937987e-11,2.9037443757629985e-14,8.935582241166723e-14,5.067882798600288e-22,1.1918738855635922e-14,3.100645359703195e-15,9.269506330034906e-13,3.102299944961046e-19
4.0445401696871866e-07,0.11224537186386062,0.0,0.0,0.0,0.0,0.32999975505637164,0.6699997534573053,2.41987676489892e-07,2.433204155343849e-07,1.882366665270751e-09,4.726832281566494e-10,5.958736927555193e-18,6.125524728659862e-10,1.0698393401531666e-09,7.334694831131702e-10,1.3070013610562935e-12,1.214104090672092e-10,7.059690691333066e-11,3.290763370497216e-14,1.0460549604226142e-13,5.932779539554517e-22,1.474379946689104e-14,3.3089156448606565e-15,9.766555735360887e-13,3.8272170750809253e-19
4.248698574033164e-07,0.1122453718571697,0.0,0.0,0.0,0.0,0.32999974260625775,0.669999740934449,2.542310233756958e-07,2.5560905526200996e-07,1.9776920395919684e-09,4.854753203072453e-10,6.260494730896201e-18,6.597986896088684e-10,1.1807901000899398e-09,8.349913019451263e-10,1.5152603733603899e-12,1.2996831232579602e-10,7.529415487033689e-11,3.70676841131554e-14,1.2143375951525207e-13,6.887207195002764e-22,1.803653964311828e-14,3.5215777327790678e-15,1.0263911885706307e-12,4.673706226362194e-19
4.4528569783791415e-07,0.11224537185062458,0.0,0.0,0.0,0.0,0.32999973014632045,0.6699997284051415,2.664786313134413e-07,2.678972515946048e-07,2.0730505735238732e-09,4.982669998421896e-10,6.562357502839113e-18,7.075986768574198e-10,1.2972256846019373e-09,9.440984580625592e-10,1.7445795266926993e-12,1.3858516647504636e-10,8.000802937281441e-11,4.15243730572793e-14,1.3990529119651914e-13,7.934834047335682e-22,2.184395245004468e-14,3.738634995882926e-15,1.0761578890245126e-12,5.655013068970948e-19
