Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416)
2.2548094287298372e-05,0.11224541891400176,0.0,0.0,0.0,0.0,0.32997955540917034,0.6699818066365112,1.5913638010159506e-05,1.3392128043766445e-05,1.2389703442521872e-07,1.4189868350555571e-08,3.9220299147798075e-16,6.452360202854841e-08,3.7882753381432404e-06,5.418803360367513e-06,2.945021450569848e-07,1.0983272768710273e-08,5.218751203517041e-09,3.613463742038177e-10,2.6245420688062035e-09,1.4885287962418924e-17,2.6669106749987806e-08,3.2338698159962175e-12,7.409121532144342e-11,1.308350250636944e-13,2.178691243126212e-11,1.6540646517639475e-21,1.3752755393120899e-18,7.488223802422955e-19,8.642219802448155e-20,1.2227947460695759e-18,3.58698206897028e-16,2.3787496506240134e-22,1.3115996946055374e-23,1.3014485511689994e-28,2.7631598440525585e-27,2.9465197065051717e-26,5.809374626844826e-21,2.3612777024167368e-27,1.4218229775878478e-25
2.3435145069308584e-05,0.11224542140805793,0.0,0.0,0.0,0.0,0.3299784469206909,0.6699808842451337,1.6614330400633424e-05,1.3914249588052307e-05,1.2935224570339733e-07,1.4735688789532496e-08,4.0947176788911294e-16,6.736166953687739e-08,4.109165839162092e-06,5.876068950934197e-06,3.333334066729051e-07,1.1453883438143477e-08,5.424180559485195e-09,3.9307561709192406e-10,2.8568224670730054e-09,1.6202683731385238e-17,3.0179530678129064e-08,3.5012985029371087e-12,7.775330476397053e-11,1.5352667024648125e-13,2.6509300548611512e-11,1.953712828212302e-21,1.497155650954549e-18,9.512630845932194e-19,1.0978111854986666e-19,1.5513415361857796e-18,4.719702508180804e-16,3.129926825014808e-22,1.801793887305278e-23,1.7791950992190229e-28,3.777926170170453e-27,4.028624668282804e-26,8.240136604314338e-21,3.3492803024655206e-27,2.097730322594436e-25
2.4322195851318797e-05,0.11224542379979875,0.0,0.0,0.0,0.0,0.32997731410180214,0.6699799447946679,1.7318129429915935e-05,1.4436191566535132e-05,1.3483162678015508e-07,1.5281394965827842e-08,4.2681705515244046e-16,7.021467930195904e-08,4.444091052569432e-06,6.353069306059613e-06,3.75587882073595e-07,1.1926026566362711e-08,5.629625976779183e-09,4.2626906020353944e-10,3.0999029391347057e-09,1.7581332932115907e-17,3.399447976907432e-08,3.7799075149454835e-12,8.146358287136402e-11,1.7914669637128665e-13,3.203465133578678e-11,2.2934630278442567e-21,1.6247296558670376e-18,1.1982457670836655e-18,1.3828322880325428e-19,1.951752230739252e-18,6.150451785924765e-16,4.0787454557746886e-22,2.44747991190517e-23,2.405518131106499e-28,5.108438182053176e-27,5.447427808186887e-26,1.1543889041607453e-20,4.692114675602938e-27,3.052200788954809e-25
2.520924663332901e-05,0.1122454260715311,0.0,0.0,0.0,0.0,0.3299761568530221,0.6699789881745114,1.8024730853895926e-05,1.4957966608423654e-05,1.4033280839878704e-07,1.5826998133307252e-08,4.442313532535162e-16,7.30818138360434e-08,4.793123463379912e-06,6.849905527999867e-06,4.2142528104954843e-07,1.2399555066356254e-08,5.835093712312192e-09,4.609380405729439e-10,3.353868031487092e-09,1.9021715076428833e-17,3.812784652490064e-08,4.069696140814237e-12,8.522082951395855e-11,2.079494796516181e-13,3.84645943155609e-11,2.676921581092539e-21,1.7580453803907675e-18,1.4974761525794022e-18,1.7282111401173571e-19,2.4363960895865307e-18,7.943113957441246e-16,5.267571043068906e-22,3.289839316702123e-23,3.2189396857982493e-28,6.836608313001746e-27,7.290277167067193e-26,1.59865420123618e-20,6.497860541789892e-27,4.3838778872739795e-25
2.6096297415339222e-05,0.11224542820555201,0.0,0.0,0.0,0.0,0.3299749750815234,0.669978014280831,1.873382938092124e-05,1.5479586347281528e-05,1.4585341315690895e-07,1.637250846799652e-08,4.617071363922863e-16,7.596224682724953e-08,5.156329520336458e-06,7.366673038689794e-06,4.710054728701715e-07,1.2874321046089723e-08,6.040589640713379e-09,4.970933127970922e-10,3.618797999154202e-09,2.0524285336736726e-17,4.2593629032892594e-08,4.3706544741265004e-12,8.902379099740642e-11,2.4020046122184216e-13,4.590940725561542e-11,3.1078678990232753e-21,1.8971485649923987e-18,1.8576461715147623e-18,2.1440272367936125e-19,3.019221254776097e-18,1.0172351855721938e-15,6.745917168378292e-22,4.3789196752750157e-23,4.266098476843515e-28,9.06161974134692e-27,9.662937596037716e-26,2.190157012299654e-20,8.90205905585395e-27,6.221029437322556e-25
2.6983348197349435e-05,0.11224543018417621,0.0,0.0,0.0,0.0,0.32997376870119016,0.6699770230166028,1.9445119154507937e-05,1.600106142608945e-05,1.5139105926555866e-07,1.6917935076416224e-08,4.792368648827387e-16,7.885514449845408e-08,5.5337696019750895e-06,7.9034615235093e-06,5.244882344312901e-07,1.335017604791922e-08,6.246119254756172e-09,5.347450402652076e-10,3.894768739553772e-09,2.2089474170960003e-17,4.7405925424135774e-08,4.682763451080888e-12,9.28711821169129e-11,2.761759267224519e-13,5.448838066958057e-11,3.590254696203507e-21,2.042082830623661e-18,2.288514635616678e-18,2.6416111890206304e-19,3.7158848102288e-18,1.2924954709583733e-15,8.571339184513801e-22,5.775128737354177e-23,5.603094378721659e-28,1.1902789298456307e-26,1.2692643643510375e-25,2.970399167179569e-20,1.2073394502601378e-26,8.728950474252042e-25
2.7870398979359647e-05,0.11224543198976315,0.0,0.0,0.0,0.0,0.3299725376326621,0.6699760142916423,2.0158294238046836e-05,1.6522401503811205e-05,1.5694336432381956e-07,1.746328600561435e-08,4.968129971016903e-16,8.175966698308778e-08,5.925497992293764e-06,8.460354884512771e-06,5.820329981829955e-07,1.3826971289417115e-08,6.451687666377284e-09,5.739027872901087e-10,4.181851733098344e-09,2.3717686985641693e-17,5.2578928251636794e-08,5.005994917812882e-12,9.676168831345409e-11,3.1616273076794626e-13,6.433017413399555e-11,4.128207785996219e-21,2.1928896484600943e-18,2.8009919659045616e-18,3.233647736793022e-19,4.543889347639485e-18,1.6301294689984723e-15,1.0810400142790749e-21,7.55093994393317e-23,7.297021873610026e-28,1.550283292977432e-26,1.6531581708181848e-25,3.9906615060677063e-20,1.6220297464260614e-26,1.211894110995394e-24
2.964450054338007e-05,0.11224543501165041,0.0,0.0,0.0,0.0,0.3299700011475251,0.6699739441330619,2.158907909572015e-05,1.7564710425304152e-05,1.6808244126981784e-07,1.8553787792382918e-08,5.320743682275637e-16,8.760020484243617e-08,6.7520063084470635e-06,9.634762737352398e-06,7.099430352783302e-07,1.4782787187768359e-08,6.862959437582092e-09,6.567715637582027e-10,4.789618026128582e-09,2.71646792802378e-17,6.406426115831918e-08,5.685667741575329e-12,1.0466665413452254e-10,4.093687419683862e-13,8.836574882066141e-11,5.388178927892649e-21,2.512275929126714e-18,4.120682191060709e-18,4.759213050134772e-19,6.673985842318546e-18,2.5404398946949916e-15,1.684723489288068e-21,1.260303472743937e-22,1.2089321045130157e-27,2.5689337359819174e-26,2.7394049946695905e-25,7.017503653507785e-20,2.852300169094951e-26,2.2689261880847625e-24
3.1241191950998446e-05,0.11224543696446873,0.0,0.0,0.0,0.0,0.3299676332204017,0.6699720205103687,2.288017953591228e-05,1.8502403820315898e-05,1.7813396455435948e-07,1.9535040060364993e-08,5.638930274207751e-16,9.288794485154986e-08,7.545149304736442e-06,1.0761210679546736e-05,8.405376408826383e-07,1.564474641227238e-08,7.233280274574927e-09,7.365875101933954e-10,5.3752365564145245e-09,3.048605887080305e-17,7.57787870837417e-08,6.3349468563532625e-12,1.1191486704793913e-10,5.100554357373141e-13,1.158111529914394e-10,6.757103922827161e-21,2.8201788707521947e-18,5.723570955746537e-18,6.613960701347223e-19,9.258557169337785e-18,3.707347776579715e-15,2.458572750684704e-21,1.9492111524738405e-22,1.858417706536275e-27,3.949727875781644e-26,4.211826922182023e-25,1.1350277752306204e-19,4.6133650861323596e-26,3.870298001156722e-24
3.283788335861682e-05,0.11224543808721434,0.0,0.0,0.0,0.0,0.3299651843804638,0.669970039225788,2.4172677791613665e-05,1.9439766061250833e-05,1.8819630091553634e-07,2.0516125251561675e-08,5.957459160271082e-16,9.820015683551689e-08,8.38515158988098e-06,1.195383604573333e-05,9.867305299508577e-07,1.6507448762949572e-08,7.603789141564623e-09,8.214036968853003e-10,5.997763793301111e-09,3.4016768970073037e-17,8.888643203430814e-08,7.01942016164034e-12,1.1928122540920395e-10,6.286465253436663e-13,1.4981260861029047e-10,8.378066110548369e-21,3.1476531521629444e-18,7.822329252775668e-18,9.045189926035505e-19,1.264009143579159e-17,5.312367043743608e-15,3.522961005208246e-21,2.9508440195410617e-22,2.797853152396441e-27,5.947270514805167e-26,6.341924014906612e-25,1.7936736143154816e-19,7.290435586784828e-26,6.432412207252743e-24
