Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166)
1.1869615539035593e-11,0.11224537200017519,0.0,0.0,0.0,0.0,0.3299999999928428,0.6699999999944034,7.156345185920943e-12,5.595782931783608e-12,9.142823953123766e-16,1.5614762316928025e-12,2.893580727899286e-24,7.082967439159077e-20,9.360904126990517e-21,2.3528824817934425e-24,3.5471570675723505e-26,6.335487215823838e-20,1.2730838819115036e-19,3.4590161432073136e-29,4.315132599363971e-33,2.444109834330942e-41,1.6338912340932796e-38,1.5226185836400323e-23,1.886538670709428e-21,3.30596432685794e-37,3.5957922970397436e-41
1.661756479174299e-11,0.11224537200024486,0.0,0.0,0.0,0.0,0.3299999999899798,0.6699999999921612,1.0018474959990144e-11,7.83714483065963e-12,1.7504787399561325e-15,2.183080029672504e-12,5.540359917917617e-24,1.4286699442726598e-19,2.4634455353478484e-20,6.472635411008116e-24,9.70505166681348e-26,1.2320045128771796e-19,2.4487483674432833e-19,1.2634804104040547e-28,2.225993578129602e-32,1.2613014922504644e-40,1.2176120640213767e-37,3.989922567245178e-23,4.957002676216178e-21,1.271497260871457e-36,1.97266780134691e-40
2.611346329715778e-11,0.11224537200038356,0.0,0.0,0.0,0.0,0.3299999999842539,0.6699999999876708,1.574192656416363e-11,1.2325129842477472e-11,4.230885869683546e-15,3.4210262369230095e-12,1.3391742577715294e-23,3.8311105777522705e-19,9.453501578311551e-20,2.730760449086328e-23,3.853751196381819e-25,3.076809261499039e-19,5.977544173849486e-19,7.953703781348064e-28,2.3888078364494296e-31,1.35408259133002e-39,2.3138334676070175e-36,1.5164700987446254e-22,1.8957477419242287e-20,8.390844950210971e-36,2.2441925180994998e-39
3.560936180257257e-11,0.11224537200052132,0.0,0.0,0.0,0.0,0.32999999997852797,0.6699999999831721,2.1464318675008e-11,1.682010854173251e-11,7.770861141169774e-15,4.6519785235099994e-12,2.4597259747259814e-23,7.679395444982413e-19,2.3318141623056375e-19,7.225586127403184e-23,9.647111243688162e-25,5.819639374378807e-19,1.1079227674083779e-18,2.578076838376475e-27,9.929905487977174e-31,5.629396701359343e-39,1.2022026150561157e-35,3.7118572900224802e-22,4.6633566365590606e-20,2.7661694663624605e-35,9.493190089512023e-39
5.4601158813402156e-11,0.1122453720007942,0.0,0.0,0.0,0.0,0.32999999996707613,0.6699999999741513,3.2906060860740015e-11,2.5830837556553998e-11,1.789293263103017e-14,7.093110779920841e-12,5.663833339071642e-23,2.0890128346993658e-18,8.34576093902474e-19,3.0094288085982187e-22,3.5253630112760085e-24,1.4240969251343914e-18,2.601160191412185e-18,1.4557090920728542e-26,9.01704187745414e-30,5.11271443872653e-38,1.790591994100935e-34,1.304371171840022e-21,1.6582297315861067e-19,1.599301390968061e-34,8.85243795653362e-38
7.359295582423173e-11,0.11224537200106349,0.0,0.0,0.0,0.0,0.3299999999556243,0.669999999965099,4.434388144228416e-11,3.486905339564412e-11,3.1936583387890654e-14,9.506755277471772e-12,1.010934310443211e-22,4.262218570958613e-18,1.9855110459257497e-18,7.990234043013902e-22,8.503824952922994e-24,2.6817230477333568e-18,4.726139693364998e-18,4.509914191867586e-26,3.5547926043853836e-29,2.0157033426893672e-37,8.776483808487332e-34,3.0568667047204515e-21,3.9239952344018133e-19,5.018014913030825e-34,3.5311629845075376e-37
9.258475283506131e-11,0.11224537200132932,0.0,0.0,0.0,0.0,0.32999999994417245,0.6699999999560157,5.577796838780663e-11,4.39344568397818e-11,4.97136521355833e-14,1.189321123480254e-11,1.5736691548107309e-22,7.450926834530255e-18,3.8504062822463654e-18,1.70250299133686e-21,1.66896879339e-23,4.388483688005827e-18,7.484572404380005e-18,1.0675491058001112e-25,1.0086075965391952e-28,5.719390181261971e-37,2.9347153164553593e-33,5.84446153174065e-21,7.571151609458763e-19,1.2000868556413293e-33,1.0110977226909025e-36
9.999999999999999e-11,0.11224537200159179,0.0,0.0,0.0,0.0,0.32999999993970114,0.6699999999524611,6.024138399722716e-11,4.7481293383764516e-11,5.761795081070476e-14,1.2817692654570515e-11,1.8238810566551902e-22,9.015109594760096e-18,4.816286779549804e-18,2.2092013859959192e-21,2.097651339964764e-23,5.185761552318125e-18,8.734011137774422e-18,1.4358443300370777e-25,1.4547065738257277e-28,8.249127857586477e-37,4.5270932204478425e-33,7.267820386998818e-21,9.450491227256536e-19,1.6209135891634198e-33,1.4639479082708677e-36
1.1157654984589089e-10,0.11224537200159179,0.0,0.0,0.0,0.0,0.3299999999327206,0.6699999999469022,6.72085060209477e-11,5.3026744062892685e-11,7.103962590363288e-14,1.425278247788241e-11,2.248746984320269e-22,1.1815443569829042e-17,6.591137026116751e-18,3.173092040311636e-21,2.889365655724236e-23,6.5774109425568924e-18,1.0878207908338243e-17,2.154047634359641e-25,2.3657010581358885e-28,1.3415226441643648e-36,7.899201034673014e-33,9.866030100119965e-21,1.2895719902688355e-18,2.4442816682431777e-33,2.3909349288426766e-36
1.4956014386755006e-10,0.11224537200210674,0.0,0.0,0.0,0.0,0.3299999999098169,0.6699999999285855,9.00595678338278e-11,7.129086454366032e-11,1.2370315351261908e-13,1.8892376125937095e-11,3.915825971782124e-22,2.462400047991391e-17,1.526061689599487e-17,8.532178656585265e-21,6.835093025499197e-23,1.2515633920830932e-17,1.9577464246190637e-17,6.4857246935649e-25,9.124914535992305e-28,5.1746542517800306e-36,3.8517523715050984e-32,2.2227764787998314e-20,2.956486331441356e-18,7.491678923646585e-33,9.366356851929821e-36
