Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19)
7.871874420551907e-13,0.11224537200001167,0.0,0.0,0.0,0.0,0.3299999999995254,0.6699999999996292,4.746609370241878e-13,3.707604728230915e-13,5.210595093871109e-18,1.0390567480167446e-13,5.484256045023161e-24
1e-12,0.11224537200002332,0.0,0.0,0.0,0.0,0.32999999999939705,0.669999999999529,6.029805600222113e-13,4.710114732029177e-13,9.429722502335792e-18,1.3197851655764502e-13,1.5848898060217226e-23
1.5745457517991279e-12,0.11224537200002332,0.0,0.0,0.0,0.0,0.3299999999990506,0.6699999999992583,9.4941450629854e-13,7.416664897023647e-13,2.082041181241545e-17,2.0776883705181893e-13,4.383108621798966e-23
2.361904061543065e-12,0.11224537200003497,0.0,0.0,0.0,0.0,0.3299999999985758,0.6699999999988873,1.4241602974624884e-12,1.112621282087505e-12,4.420829493387527e-17,3.115832237951692e-13,1.2525147457165877e-22
3.936620681030939e-12,0.11224537200005825,0.0,0.0,0.0,0.0,0.3299999999976263,0.6699999999981452,2.3736208994431417e-12,1.8547257848531643e-12,1.2196411832516866e-16,5.190170792827789e-13,5.744763147722078e-22
5.3538656385700256e-12,0.11224537200007918,0.0,0.0,0.0,0.0,0.3299999999967717,0.6699999999974771,3.2281105111487774e-12,2.522777151543771e-12,2.1687412039746627e-16,7.055502350171147e-13,1.2917105031895224e-21
6.771110596109112e-12,0.11224537200010012,0.0,0.0,0.0,0.0,0.3299999999959171,0.6699999999968087,4.082573848827101e-12,3.1909948723382e-12,3.380577169792753e-16,8.919170366444522e-13,2.438570324483125e-21
8.1883555536482e-12,0.11224537200012098,0.0,0.0,0.0,0.0,0.3299999999950625,0.6699999999961401,4.937012460887547e-12,3.85936960141981e-12,4.839664423298383e-16,1.0781268299816065e-12,4.071539166836708e-21
1e-11,0.11224537200016271,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952855,6.029202172668344e-12,4.713917298539766e-12,6.977180557442056e-16,1.3159825989934027e-12,6.809080069234442e-21
1.1022845468726373e-11,0.11224537200016271,0.0,0.0,0.0,0.0,0.32999999999335333,0.6699999999948028,6.645833566129925e-12,5.19647673665703e-12,8.319014252564864e-16,1.4501887395750631e-12,8.676911691563746e-21
1.3857335383804546e-11,0.11224537200020435,0.0,0.0,0.0,0.0,0.32999999999164414,0.6699999999934646,8.354564054531535e-12,6.53416313723038e-12,1.2704507684418349e-15,1.821671383821278e-12,1.5751682380440245e-20
1.669182529888272e-11,0.1122453720002459,0.0,0.0,0.0,0.0,0.32999999998993496,0.6699999999921258,1.0063198415629904e-11,7.872467190172035e-12,1.805124217308007e-15,2.192536375687313e-12,2.6012135920700284e-20
