Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6)
1.851507430556061e-09,0.11224537201584768,0.0,0.0,0.0,0.0,0.3299999988835598,0.669999999024747,1.1095169475454135e-09,9.68329481327936e-10,6.923496106403858e-12,1.4811096232388153e-10
1.9293417372523444e-09,0.11224537201618225,0.0,0.0,0.0,0.0,0.3299999988366265,0.6699999989807945,1.1560894326883008e-09,1.0119210944920457e-09,7.284318497431208e-12,1.5145265669368673e-10
2.007176043948628e-09,0.11224537201649996,0.0,0.0,0.0,0.0,0.3299999987896932,0.6699999989366917,1.2026614923993007e-09,1.0556628397296336e-09,7.645566308448187e-12,1.5464421897811557e-10
2.0850103506449115e-09,0.11224537201680154,0.0,0.0,0.0,0.0,0.3299999987427599,0.6699999988924452,1.2492332677254118e-09,1.0995478694465885e-09,8.00709849241848e-12,1.5769249677124226e-10
2.162844657341195e-09,0.11224537201708772,0.0,0.0,0.0,0.0,0.32999999869582664,0.6699999988480614,1.2958048074324235e-09,1.1435696812817826e-09,8.368866283519988e-12,1.6060399243416148e-10
2.2406789640374786e-09,0.11224537201735921,0.0,0.0,0.0,0.0,0.32999999864889334,0.669999998803547,1.342376080500895e-09,1.1877220562909997e-09,8.730900701163667e-12,1.6338492491105947e-10
2.318513270733762e-09,0.11224537201761674,0.0,0.0,0.0,0.0,0.32999999860196005,0.6699999987589079,1.3889471121985414e-09,1.2319990130042702e-09,9.09317647760543e-12,1.660412756718766e-10
2.3963475774300457e-09,0.11224537201786092,0.0,0.0,0.0,0.0,0.32999999855502676,0.6699999987141497,1.4355180303848831e-09,1.2763948365763737e-09,9.455565753298253e-12,1.6857875956180803e-10
2.474181884126329e-09,0.11224537201809233,0.0,0.0,0.0,0.0,0.3299999985080935,0.669999998669278,1.4820889221695847e-09,1.3209041254695982e-09,9.817981418555035e-12,1.710027781185413e-10
2.5520161908226127e-09,0.11224537201831154,0.0,0.0,0.0,0.0,0.3299999984611602,0.6699999986242978,1.5286597198990854e-09,1.3655217568020757e-09,1.018049112691481e-11,1.733184542239245e-10
2.6298504975188963e-09,0.11224537201851911,0.0,0.0,0.0,0.0,0.3299999984142269,0.6699999985792141,1.5752303307736595e-09,1.4102427929278592e-09,1.0543187678084864e-11,1.7553072552388568e-10
2.70768480421518e-09,0.11224537201871569,0.0,0.0,0.0,0.0,0.3299999983672936,0.6699999985340317,1.621800854436719e-09,1.4550624743510997e-09,1.090597142863561e-11,1.776443515142559e-10
2.7855191109114634e-09,0.11224537201890167,0.0,0.0,0.0,0.0,0.3299999983203603,0.6699999984887552,1.6683714161058395e-09,1.4999762737652047e-09,1.1268717160973922e-11,1.7966385950160896e-10
2.863353417607747e-09,0.11224537201907757,0.0,0.0,0.0,0.0,0.329999998273427,0.6699999984433888,1.7149420074352334e-09,1.5449799203917892e-09,1.163143322087274e-11,1.8159352026431722e-10
2.9411877243040304e-09,0.11224537201924376,0.0,0.0,0.0,0.0,0.32999999822649373,0.6699999983979364,1.7615125236503316e-09,1.5900693572554541e-09,1.1994224382889163e-11,1.8343739077776763e-10
3.019022031000314e-09,0.11224537201940082,0.0,0.0,0.0,0.0,0.32999999817956044,0.6699999983524024,1.8080829206435267e-09,1.63524068095847e-09,1.2357134754619802e-11,1.8519937443967724e-10
3.0968563376965975e-09,0.11224537201954908,0.0,0.0,0.0,0.0,0.32999999813262715,0.6699999983067899,1.8546532749671512e-09,1.6804901288648015e-09,1.2720087783721097e-11,1.8688323388607174e-10
3.174690644392881e-09,0.11224537201968904,0.0,0.0,0.0,0.0,0.32999999808569386,0.6699999982611031,1.9012236803785965e-09,1.7258141129159094e-09,1.308298971279148e-11,1.8849255717547924e-10
3.2525249510891646e-09,0.11224537201982093,0.0,0.0,0.0,0.0,0.32999999803876057,0.6699999982153451,1.9477941320476595e-09,1.7712092430325186e-09,1.3445845372025183e-11,1.900307343871668e-10
3.330359257785448e-09,0.11224537201994522,0.0,0.0,0.0,0.0,0.3299999979918273,0.669999998169519,1.9943645481323465e-09,1.816672301077677e-09,1.3808736603408958e-11,1.9150098365807958e-10
3.4081935644817317e-09,0.11224537202006224,0.0,0.0,0.0,0.0,0.329999997944894,0.6699999981236283,2.0409348864890236e-09,1.862200198821114e-09,1.4171705550571805e-11,1.9290639321848183e-10
3.4860278711780152e-09,0.11224537202017229,0.0,0.0,0.0,0.0,0.3299999978979607,0.6699999980776754,2.087505214737752e-09,1.907789960321225e-09,1.4534684593444891e-11,1.9424993900997251e-10
3.5638621778742988e-09,0.11224537202027578,0.0,0.0,0.0,0.0,0.3299999978510274,0.669999998031664,2.13407560869689e-09,1.9534387483543525e-09,1.4897597913664346e-11,1.9553445825620327e-10
