Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276)
1.2273328199556918e-05,0.11224538829562934,0.0,0.0,0.0,0.0,0.3299906625286969,0.669991291942064,8.12125166214654e-06,7.32590669211853e-06,6.3228710130457e-08,7.854244717580873e-09,2.001540179072324e-16,3.299333415613816e-08,1.063207563489516e-06,1.5205536634915746e-06,4.2598739034125345e-08,5.690540856686044e-09,2.8379003423201297e-09,9.612866491239118e-11,6.88333746702377e-10,3.903936672301554e-18,3.762806206347891e-09,9.402435030382108e-13,3.5540219615808325e-11,1.1179365302097357e-14,1.058818400314093e-12,1.2016241601478377e-22,3.6034278720534838e-19,1.856671122637336e-20,2.1470528055432034e-21,3.1115375427581096e-20,5.166855893546685e-18,3.426457077918324e-24,9.639768125446093e-26,1.0254968687795223e-30,2.200804901926701e-24,2.3468474758022694e-23
1.2786811321330454e-05,0.11224538968696543,0.0,0.0,0.0,0.0,0.32999018135326735,0.6699908683318054,8.49292026424259e-06,7.630122002657e-06,6.612240883070396e-08,8.17169112107656e-09,2.0931418297399558e-16,3.450120254182465e-08,1.1574745500379745e-06,1.6560115652699452e-06,4.8466307385714704e-08,5.946408192077126e-09,2.957055447102393e-09,1.0510294432152289e-10,7.535499923862379e-10,4.273815520262546e-18,4.297323768237643e-09,1.0205141684025488e-12,3.728586961305544e-11,1.3141290957072377e-14,1.2925980200293667e-12,1.4338990157897201e-22,3.944972973493611e-19,2.3704002471080047e-20,2.7409605789367444e-21,3.964310245583256e-20,6.839101399515407e-18,4.5354255284386355e-24,1.3343862304414827e-25,1.4137677274332812e-30,3.154252907322809e-24,3.363565060782803e-23
1.330029444310399e-05,0.1122453911117555,0.0,0.0,0.0,0.0,0.32998969258758315,0.6699904396173116,8.866770777397944e-06,7.93420039021489e-06,6.903309152658602e-08,8.489025554898714e-09,2.1852811182923953e-16,3.601698466165815e-08,1.2560033149898915e-06,1.7975380412284793e-06,5.4872036310189025e-08,6.203332340566632e-09,3.0761809863081644e-09,1.1450847044763173e-10,8.219437125140936e-10,4.6617156537918814e-18,4.8813881517412976e-09,1.1042985684939606e-12,3.905149070620952e-11,1.5358479165317784e-14,1.566581589310773e-12,1.6991551492186564e-22,4.3031832780226784e-19,2.999366094038231e-20,3.467965118844161e-21,5.006521616601339e-20,8.959801292368408e-18,5.941791693070315e-24,1.8251426404599891e-25,1.9259715105909703e-30,4.46043929632975e-24,4.756428293459372e-23
1.3813777564877525e-05,0.11224539256698965,0.0,0.0,0.0,0.0,0.32998919619821476,0.6699900057624965,9.242753612785808e-06,8.238146632070912e-06,7.196037202763873e-08,8.806252761225989e-09,2.277945819654764e-16,3.754056154025223e-08,1.3588210277066213e-06,1.9451646399903964e-06,6.184284116908333e-08,6.461290086346049e-09,3.1952790436156503e-09,1.2434862682655768e-10,8.935400135978329e-10,5.067779466362293e-18,5.517365380143893e-09,1.191617429651595e-12,4.0836950618998635e-11,1.7853649451677688e-14,1.885901864561046e-12,2.0005311472986025e-22,4.67819355298783e-19,3.7639215994349765e-20,4.351538390865313e-21,6.27129572107957e-20,1.1626558679128908e-17,7.710282228955176e-24,2.4688368239847846e-25,2.5949540123424337e-30,6.2295303776834894e-24,6.64291397670136e-23
1.432726068665106e-05,0.11224539404962296,0.0,0.0,0.0,0.0,0.3299886921523084,0.6699895667318823,9.620818480969858e-06,8.541965400458026e-06,7.490385868845706e-08,9.123377365258104e-09,2.371123536072993e-16,3.907181167515213e-08,1.4659543083460715e-06,2.098922429161498e-06,6.940596734782219e-08,6.720257838491783e-09,3.314351664461816e-09,1.3462675090187782e-10,9.683636644357795e-10,5.492147436078611e-18,6.207639971920895e-09,1.282490580096177e-12,4.264211140038113e-11,2.0650691868315147e-14,2.256140399752365e-12,2.3413307436000303e-22,5.070136955835108e-19,4.687127226662156e-20,5.418270131493372e-21,7.796117374835138e-20,1.495371659141735e-17,9.916725077133781e-24,3.305272837420432e-25,3.460640202283772e-30,8.600296982194673e-24,9.171001594639426e-23
1.4840743808424595e-05,0.11224539555657705,0.0,0.0,0.0,0.0,0.32998818041759803,0.6699891224906117,1.0000914413033036e-05,8.845661261719031e-06,7.786315457325908e-08,9.440403874412098e-09,2.464801702323174e-16,4.061061109024996e-08,1.577429219002276e-06,2.25884198532347e-06,7.758897854271032e-08,6.980211641260348e-09,3.4334008556246445e-09,1.453461327815011e-10,1.0464390865957279e-09,5.934958071701568e-18,6.954614687935734e-09,1.3769369368848244e-12,4.446682946750511e-11,2.3774684437179884e-14,2.6833502610394115e-12,2.7250251413668175e-22,5.479144985630453e-19,5.795002228864674e-20,6.698157483298053e-21,9.623232652551787e-20,1.9074521711296615e-17,1.2649484364123523e-23,4.382736530138143e-25,4.571238742076609e-30,1.1746161466978286e-23,1.252562158829586e-22
1.5354226930198132e-05,0.11224539708474113,0.0,0.0,0.0,0.0,0.32998766096241583,0.6699886730044562,1.0382989782460634e-05,9.14923867550841e-06,8.083785762632321e-08,9.75733667757343e-09,2.558967591106853e-16,4.21568333877088e-08,1.6932712550735834e-06,2.4249533842387146e-06,8.641974468501459e-08,7.241127184471036e-09,3.552428584804387e-09,1.5651001410712744e-10,1.127790345948956e-09,6.396347864632326e-18,7.760710271515168e-09,1.4749744934101672e-12,4.6310955653428696e-11,2.7251909460560244e-14,3.1740790669319845e-12,3.1552552592309277e-22,5.905347440059349e-19,7.116789542725931e-20,8.224910615326483e-21,1.1800070983290466e-19,2.4143483300356224e-17,1.6011024754990688e-23,5.759433610789528e-25,5.984601047777405e-30,1.588225501133823e-23,1.6936180964520924e-22
1.586771005197167e-05,0.11224539863097355,0.0,0.0,0.0,0.0,0.32998713375570315,0.6699882182398271,1.076699232775346e-05,9.452701994041454e-06,8.382756084811014e-08,1.0074180044403028e-08,2.653608318626261e-16,4.3710349802158645e-08,1.8135053368685634e-06,2.5972861912720277e-06,9.592642951288647e-08,7.502979814291323e-09,3.671436780249171e-09,1.681215870420824e-10,1.2124411453014393e-09,6.8764512471198525e-18,8.628365181439889e-09,1.5766203074610455e-12,4.817433525955825e-11,3.1109868670578165e-14,3.7353923315826355e-12,3.6358339019615066e-22,6.348872378146737e-19,8.685234456733119e-20,1.0036274571365317e-20,1.437968908931063e-19,3.0338937621694e-17,2.0119612081636553e-23,7.505113156941348e-25,7.76974871230679e-30,2.1273612571733267e-23,2.2685302057599806e-22
1.6381193173745207e-05,0.11224540019210308,0.0,0.0,0.0,0.0,0.32998659876702097,0.6699877581637841,1.1152869175748942e-05,9.756055461391779e-06,8.683185247689697e-08,1.0390938124701322e-08,2.748710850334046e-16,4.527102925956919e-08,1.938155801458468e-06,2.7758694520372827e-06,1.0613747780248495e-07,7.765744544553623e-09,3.790427330402307e-09,1.8018399325109258e-10,1.3004148169089863e-09,7.375400549809938e-18,9.560035319289436e-09,1.681890489872933e-12,5.005680811280653e-11,3.537729715441198e-14,4.374897088022523e-12,4.1707478464233003e-22,6.809846082344751e-19,1.0536877164121727e-19,1.2174367534373504e-20,1.7421236966997107e-19,3.7865828251239406e-17,2.511115714083404e-23,9.702893287605715e-25,1.0008583793015962e-29,2.824464404038098e-23,3.0118922181724945e-22
1.6894676295518744e-05,0.11224540176493036,0.0,0.0,0.0,0.0,0.32998605596655944,0.6699872927440462,1.1540566865631827e-05,1.00593032128382e-05,8.985031617578109e-08,1.0707614947830219e-08,2.844262006852989e-16,4.683873843811908e-08,2.0672463947849025e-06,2.9607316832815996e-06,1.1708160227018191e-07,8.029396068390357e-09,3.909402083552275e-09,1.9270032282885703e-10,1.3917343144613696e-09,7.893325956282602e-18,1.0558193751699425e-08,1.7908001937903149e-12,5.1958208627468006e-11,4.0084175999598606e-14,5.100765767374086e-12,4.764159836148935e-22,7.288393017814666e-19,1.2712359273469985e-19,1.468603565969984e-20,2.0990446053604726e-19,4.695871277492279e-17,3.1141209622907865e-23,1.245130652254053e-24,1.2797797146616401e-29,3.7190031901168834e-23,3.9657914441296764e-22
