Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
1.7114052061772505e-09,0.11224537201520081,0.0,0.0,0.0,0.0,0.32999999896803717,0.6699999991034525,1.0256810707622986e-09,8.902614160751071e-10,6.271371630375459e-12,1.4169473479670744e-10,1.9852357848285256e-20,1.1856936097627831e-14,1.0548949783052972e-14,4.6529115486212946e-17,9.956017334889996e-20,1.3145310086059314e-15,2.7198308015175918e-15,5.425192082215976e-21,8.585888049387476e-23,3.776275578863646e-26
1.885936161967272e-09,0.11224537201599856,0.0,0.0,0.0,0.0,0.32999999886279613,0.6699999990053163,1.13011238004238e-09,9.875872817006327e-10,7.078380096084694e-12,1.496083919893202e-10,2.240698820554835e-20,1.486739697052266e-14,1.3274070950579051e-14,6.471913219899006e-17,1.3318341974176714e-19,1.6043130489957267e-15,3.319033531292331e-15,7.570658835998402e-21,1.3284220673628037e-22,6.469303192270435e-26
2.0604671177572938e-09,0.11224537201670906,0.0,0.0,0.0,0.0,0.32999999875755504,0.6699999989064016,1.2345410978136023e-09,1.0856884985649173e-09,7.887717620827263e-12,1.5674660463693303e-10,2.4968991356491415e-20,1.823635166810388e-14,1.6329200995306354e-14,8.726087271718931e-17,1.7363196752563022e-19,1.9240574286259234e-15,3.980082338538502e-15,1.0231848744042815e-20,1.9726262541338461e-22,1.0542592413735278e-25
2.2349980735473154e-09,0.11224537201734083,0.0,0.0,0.0,0.0,0.3299999986523139,0.6699999988067867,1.3389681347998248e-09,1.184488006727281e-09,8.698473696483782e-12,1.6318643197716332e-10,2.753548502617397e-20,2.196456845046856e-14,1.9715125005366344e-14,1.146439102773576e-16,2.215363619043511e-19,2.2739537526336874e-15,4.703348729531802e-15,1.34657536922121e-20,2.8307013469997335e-22,1.6479009598192642e-25
2.409529029337337e-09,0.11224537201790205,0.0,0.0,0.0,0.0,0.32999999854707257,0.6699999987065418,1.4433940180441625e-09,1.2839164163785944e-09,9.510121781183829e-12,1.6899726318611325e-10,3.0104802410746595e-20,2.6052461817347498e-14,2.3432296618110136e-14,1.473587382135337e-16,2.775271713170387e-19,2.654168621194839e-15,5.489156456208489e-15,1.7329083721841786e-20,3.946250161780592e-22,2.486482204007996e-25
2.5840599851273586e-09,0.1122453720183996,0.0,0.0,0.0,0.0,0.32999999844183125,0.6699999986057295,1.5478190645380134e-09,1.3839112386936717e-09,1.032234552449588e-11,1.7424158651894642e-10,3.26759420815544e-20,3.050024508484864e-14,2.7480988029532632e-14,1.8589630471222973e-16,3.4223497280494763e-19,3.0648479422116706e-15,6.33778632398362e-15,2.1878210497020675e-20,5.36695341227364e-22,3.6399911767388607e-25
2.7585909409173802e-09,0.1122453720188398,0.0,0.0,0.0,0.0,0.3299999983365899,0.6699999985044063,1.6522434841969815e-09,1.4844161933446933e-09,1.1134935706480096e-11,1.7897568179014272e-10,3.524824173874873e-20,3.530802152830169e-14,3.186137896013705e-14,2.3074772970966957e-16,4.1629035010565172e-19,3.506119013197879e-15,7.249480519625002e-15,2.7169135278027426e-20,7.144541233000588e-22,5.190791345309212e-25
2.933121896707402e-09,0.11224537201922842,0.0,0.0,0.0,0.0,0.32999999823134846,0.6699999984026229,1.7566674220236744e-09,1.5853805873271223e-09,1.1947748042124087e-11,1.8325024154190408e-10,3.7821244638378885e-20,4.0475822633659574e-14,3.657359307937267e-14,2.8240417729657427e-16,5.003238889485049e-19,3.978092388656266e-15,8.224446493139814e-15,3.3257477797899306e-20,9.334761761470268e-22,7.234626457302917e-25
3.1076528524974235e-09,0.1122453720195706,0.0,0.0,0.0,0.0,0.32999999812610686,0.6699999983004252,1.861090969043627e-09,1.6867587622792117e-09,1.276069223930123e-11,1.8711092371959948e-10,4.039466495462036e-20,4.600361910137943e-14,4.161770745070801e-14,3.413568093471282e-16,5.949661767793699e-19,4.4808635414529565e-15,9.262860411365898e-15,4.019847587381042e-20,1.199734847854148e-21,9.881613421974991e-25
3.282183808287445e-09,0.1122453720198709,0.0,0.0,0.0,0.0,0.32999999802086527,0.6699999981978544,1.965514175299597e-09,1.788509597069106e-09,1.3573718996236142e-11,1.9059884908012048e-10,4.296834661937363e-20,5.189133348171135e-14,4.6993763755682225e-14,4.080967351812675e-16,7.008478012216005e-19,5.0145143581336264e-15,1.03648702663738e-14,4.804698418354982e-20,1.5195987964038756e-21,1.325722660917921e-24
