Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255)
6.460496235795597e-11,0.11224537200093648,0.0,0.0,0.0,0.0,0.32999999996104384,0.6699999999693869,3.89313322800301e-11,3.058831839271738e-11,2.481530872888158e-14,8.367821795885956e-12,7.855104133166407e-23,3.1285354099195687e-18,1.372419730972565e-18,5.298290268007166e-22,5.838846066355286e-24,2.035695208561031e-18,3.643646470694648e-18,2.8341848289627513e-26,2.078035987659813e-29,1.1783072215846885e-37,4.937465534416407e-34,2.125492086950191e-21,2.7180258897994213e-19,3.133864415432135e-34,2.0524991340877e-37,3.4442983450205856e-44,1.085342728043419e-38,1.993793623342762e-52,4.7073122027257346e-58,3.74962834499014e-49,5.476164791080756e-52,2.6784517116237067e-58,1.0634598141972098e-66,4.526152729889607e-70,1.2063008877168112e-67
8.482921989924607e-11,0.11224537200122124,0.0,0.0,0.0,0.0,0.3299999999488488,0.6699999999597287,5.1109166126158784e-11,4.022927434439169e-11,4.200699011033476e-14,1.0921886782355732e-11,1.3297137586466804e-22,6.0357024445787155e-18,3.0113418766081277e-18,1.2918219510113761e-21,1.2990812526749149e-23,3.639956056027721e-18,6.283602169105775e-18,7.848723396777175e-26,7.07186703004856e-29,4.0101245019326724e-37,2.0100338719899716e-33,4.592563637471336e-21,5.931257866220676e-19,8.785956444438936e-34,7.06175992743085e-37,1.172550160846022e-43,3.6948896378676413e-38,1.0321926491860418e-51,3.4110376233457056e-57,1.5407678769863507e-48,2.6191048791792515e-51,1.3285779554338772e-57,7.387311670628731e-66,2.8862904410524304e-69,8.409789824309161e-67
9.999999999999999e-11,0.112245372001502,0.0,0.0,0.0,0.0,0.32999999993970097,0.669999999952461,6.024140832270496e-11,4.7481316164542416e-11,5.75935880781081e-14,1.2817669870976578e-11,1.8231098379017173e-22,9.049179257346672e-18,4.849788290783548e-18,2.24391241354018e-21,2.1133341441250723e-23,5.193509802220588e-18,8.736272753108614e-18,1.4702962900387653e-25,1.5290789679348185e-28,8.670903756681328e-37,4.9803972217651454e-33,7.30846476363273e-21,9.511469012064738e-19,1.6607155051473376e-33,1.5396693058691954e-36,2.535797952179974e-43,7.990739512543743e-38,2.894767097834851e-51,1.1462531077679795e-56,3.8468005879105186e-48,7.4406609519973e-51,3.884939008474409e-57,2.5246618528707106e-65,8.558904730733204e-69,2.8867984485217594e-66
1.0505347744053618e-10,0.112245372001502,0.0,0.0,0.0,0.0,0.3299999999366538,0.6699999999500358,6.328290056593933e-11,4.9900838690506306e-11,6.329769238591747e-14,1.3445342313848734e-11,2.0036743786189774e-22,1.0211481779550858e-17,5.578106771295644e-18,2.6334805703143006e-21,2.4374341068305913e-23,5.77765325957883e-18,9.643178528429858e-18,1.757479077626824e-25,1.8879901508312962e-28,1.0706225472542603e-36,6.31871342861836e-33,8.377838788568206e-21,1.092672400848939e-18,1.9894100572521565e-33,1.904432625912796e-36,3.1311403657493323e-43,9.866777547720925e-38,3.750806191400734e-51,1.5257193182792222e-56,4.887420296711776e-48,9.668694318823932e-51,5.071591712306114e-57,3.3691985076672306e-65,1.118070387433642e-68,3.854811955599414e-66
1.252777349818263e-10,0.11224537200177902,0.0,0.0,0.0,0.0,0.3299999999244588,0.6699999999403087,7.545274323349656e-11,5.960266011788812e-11,8.847956823709713e-14,1.593853970382153e-11,2.80081272599769e-22,1.583648712227789e-17,9.255553347455638e-18,4.761204244765241e-21,4.093360755209578e-23,8.486018902881025e-18,1.3724398728486e-17,3.410771439225988e-25,4.233478554957803e-28,2.40072847312059e-36,1.6189169166564636e-32,1.3695016040097573e-20,1.8033132899449375e-18,3.900004199413096e-33,4.3082305315375525e-36,7.022212525023072e-43,2.2128333249114194e-37,1.1320091498824183e-50,5.9506729065825735e-56,1.2618439633351771e-47,2.822241166622791e-50,1.5168627333051415e-56,1.2823613445857937e-64,3.987101279980955e-68,1.473040998760358e-65
1.4550199252311641e-10,0.11224537200205228,0.0,0.0,0.0,0.0,0.32999999991226375,0.6699999999305482,8.761889973189897e-11,6.933437672259066e-11,1.173468036041453e-13,1.8401840857121276e-11,3.7146136177275655e-22,2.3089626950348286e-17,1.4225501521094924e-17,7.917192645425752e-21,6.365192845656866e-23,1.1801957984145982e-17,1.8529348605635653e-17,6.000094450909375e-25,8.437559896376546e-28,4.784861353044002e-36,3.6214014712080805e-32,2.0739990222650365e-20,2.7568637488756917e-18,6.926695846431589e-33,8.657491777662115e-36,1.3997458990028082e-42,4.41088160365936e-37,2.9437514256163236e-50,1.9469053574810933e-55,2.8425615472447084e-47,7.070772099953306e-50,3.874266099541406e-56,4.109021714391586e-64,1.1853914649986365e-67,4.739263652027355e-65
1.8595050760569662e-10,0.11224537200258779,0.0,0.0,0.0,0.0,0.3299999998878737,0.6699999999109283,1.1194083752492751e-10,8.888621906437013e-11,1.8545334865194127e-13,2.3240030859509432e-11,5.870550418280823e-22,4.307516104175893e-17,2.8651113549907074e-17,1.831965820478617e-20,1.3108992844541189e-22,2.0379386738954654e-17,3.0317792008262435e-17,1.5090241866283304e-24,2.613015853138506e-27,1.4818497047832776e-35,1.3646440432478832e-31,4.058659726592331e-20,5.4946036299717435e-18,1.773964007947478e-32,2.723224784507123e-35,4.335639305172943e-42,1.3662538916313624e-36,1.4775037799944266e-49,1.4910702797280863e-54,1.08553119790274e-46,3.2476137581167687e-49,1.8333432076261326e-55,3.0736565080524615e-63,7.69234077767415e-67,3.57662932020172e-64
2.2639902268827683e-10,0.11224537200310879,0.0,0.0,0.0,0.0,0.32999999986348366,0.6699999998911801,1.3625018318210118e-10,1.0855354537986967e-10,2.6614658487525563e-13,2.7962732673646672e-11,8.424927428312857e-22,7.144734740774562e-17,5.016668594374386e-17,3.621334020221345e-20,2.3453421618108393e-22,3.177421976243652e-17,4.502474797306529e-17,3.1667943422164353e-24,6.47581919161866e-27,3.67251181291698e-35,3.935747185373078e-31,6.907611080765687e-20,9.521116968041541e-18,3.786219059609685e-32,6.842607471161423e-35,1.074627575426766e-41,3.3863950501571157e-36,5.156942654270663e-49,6.834765258408826e-54,3.165783284292439e-46,1.0853512907817999e-48,6.245273622258506e-55,1.3668977728832509e-62,2.975114545879322e-66,1.6022114071541313e-63
2.6684753777085704e-10,0.11224537200361595,0.0,0.0,0.0,0.0,0.3299999998390936,0.6699999998713082,1.6054833751679667e-10,1.2833344416461637e-10,3.5802426556827786e-13,3.2572857829494985e-11,1.1333355581357395e-21,1.0942652991312023e-16,8.003452252045531e-17,6.448027249271313e-20,3.822582577799739e-22,4.623893740116367e-17,6.26669516049727e-17,5.904068928775414e-24,1.3932704751944523e-26,7.901483214312757e-35,9.650178465416533e-31,1.0709941793881936e-19,1.5030179435137202e-17,7.176724980230372e-32,1.4919102591821231e-34,2.3122627242375403e-41,7.286480914283684e-36,1.481486116200576e-48,2.50261194428098e-53,7.845058964263118e-46,3.0252795315644337e-48,1.766772161321798e-54,4.866379985208645e-62,9.916635478359164e-66,5.742808232270286e-63
3.0729605285343727e-10,0.11224537200410972,0.0,0.0,0.0,0.0,0.32999999981470357,0.6699999998513165,1.8483650256796021e-10,1.4822313689489078e-10,4.598831245507634e-13,3.7073184884605213e-11,1.455774467386449e-21,1.5806068667541484e-16,1.1935233434278788e-16,1.0638888353984277e-19,5.823785693938647e-22,6.399082783450212e-17,8.326033589539932e-17,1.0106374403595357e-23,2.712856435236447e-26,1.5385219215036266e-34,2.1173210693323043e-30,1.5517069624004683e-19,2.2173801612247465e-17,1.249151894908248e-31,2.944332653635872e-34,4.5025521925963737e-41,1.4188621565971125e-35,3.758951188425976e-48,7.921935597448375e-53,1.739898557070426e-45,7.481318387389895e-48,4.423811114964486e-54,1.522983146305769e-61,2.8409722199900547e-65,1.8096102546774005e-62
