Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14)
1.772371765249867e-09,0.11224537201548972,0.0,0.0,0.0,0.0,0.32999999893127707,0.6699999990692649,1.0621580876903965e-09,9.241704833600214e-10,6.552924339089294e-12,1.4455194653526548e-10,2.0743628664307306e-20,1.1417623921872027e-14,1.1463483389115532e-14,4.585946724350698e-17,1.1056785041073272e-19
1.9275595277937435e-09,0.11224537201617522,0.0,0.0,0.0,0.0,0.32999999883770037,0.6699999989817933,1.1550140112216023e-09,1.0109213382309655e-09,7.271173645196406e-12,1.5137775849774193e-10,2.3017286954035588e-20,1.3911554521631344e-14,1.39727517827812e-14,6.119726114985156e-17,1.4218504395500484e-19
2.08274729033762e-09,0.1122453720167935,0.0,0.0,0.0,0.0,0.32999999874412367,0.669999998893722,1.2478680289230103e-09,1.0982700469364648e-09,7.991070825975548e-12,1.5760571657837096e-10,2.529616170234588e-20,1.6663381918902337e-14,1.6743098820365776e-14,7.971690146343755e-17,1.7931732588051144e-19
2.237935052881497e-09,0.11224537201735049,0.0,0.0,0.0,0.0,0.32999999865054697,0.6699999988051046,1.3407207186300425e-09,1.186163488535294e-09,8.712037859561609e-12,1.6328894171809872e-10,2.757842314198912e-20,1.9673291394444085e-14,1.977502274274572e-14,1.0173134830163558e-16,2.224079651888539e-19
2.3931228154253734e-09,0.11224537201785167,0.0,0.0,0.0,0.0,0.32999999855697026,0.6699999987159897,1.4335724399407531e-09,1.2745532679611055e-09,9.433715150213294e-12,1.6847582898303836e-10,2.9862932948361953e-20,2.2941279513870397e-14,2.3068833238826883e-14,1.27553724956479e-16,2.7190023836919577e-19
2.54831057796925e-09,0.11224537201830206,0.0,0.0,0.0,0.0,0.32999999846339356,0.6699999986264221,1.5264234274121799e-09,1.3633952902309318e-09,1.0155868251209688e-11,1.7321047335596192e-10,3.214894896453663e-20,2.646723487992267e-14,2.6624731965491136e-14,1.5749708556846306e-16,3.2823742824444964e-19
2.7034983405131267e-09,0.11224537201870617,0.0,0.0,0.0,0.0,0.32999999836981686,0.6699999985364418,1.6192738453676075e-09,1.4526493750900991e-09,1.0878333010089066e-11,1.7753305509138008e-10,3.4435951554809944e-20,3.0250985621329155e-14,3.044285990008991e-14,1.918742787607504e-16,3.9186282315488017e-19
2.8586861030570033e-09,0.11224537201906808,0.0,0.0,0.0,0.0,0.32999999827624016,0.6699999984460854,1.7121238066403483e-09,1.542278910798437e-09,1.1600996808621766e-11,1.814801859293297e-10,3.672358421857054e-20,3.4292315633499853e-14,3.4523313534748e-14,2.309979012481267e-16,4.632197138721483e-19
3.01387386560088e-09,0.11224537201939161,0.0,0.0,0.0,0.0,0.32999999818266346,0.6699999983553867,1.804973381723679e-09,1.6322505394096134e-09,1.232378940494612e-11,1.8508522381603205e-10,3.901162460046171e-20,3.8590972506398667e-14,3.8866152781748505e-14,2.7518027534982334e-16,5.427513907327639e-19
3.1690616281447566e-09,0.11224537201968011,0.0,0.0,0.0,0.0,0.32999999808908675,0.6699999982643758,1.8978226131108197e-09,1.7225338678105269e-09,1.3046668581157038e-11,1.88378561864501e-10,4.12999390568538e-20,4.3146679949439635e-14,4.3471413363019104e-14,3.247334135794557e-16,6.309011430930651e-19
