Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
1.2086087033266545e-11,0.11224537200017835,0.0,0.0,0.0,0.0,0.3299999999927122,0.6699999999943012,7.28685116440395e-12,5.697884629318162e-12,9.384527566056183e-16,1.5899046731723846e-12,2.970081928382668e-24,7.303229460424209e-20,9.907347050556182e-21,2.51161769772582e-24,3.842364043877042e-26,6.31120798288567e-20,1.307252161772922e-19,3.909005301341327e-29
1.6114855569249346e-11,0.11224537200023747,0.0,0.0,0.0,0.0,0.32999999999028284,0.6699999999923987,9.71545506567949e-12,7.599702111321459e-12,1.6417359382385407e-15,2.1173941427884703e-12,5.1961544229398146e-24,1.3333145482410362e-19,2.2474411447050805e-20,5.8927895419434766e-24,8.938406641376001e-26,1.1082794922553415e-19,2.295593785300918e-19,1.1310453453157416e-28
2.4172392641214947e-11,0.11224537200035524,0.0,0.0,0.0,0.0,0.32999999998542423,0.6699999999885893,1.4572079636486888e-11,1.1407127204762378e-11,3.631591820462493e-15,3.1685828268096085e-12,1.1494741775120585e-23,3.2182521033176205e-19,7.454776138467942e-20,2.1115517543122078e-23,3.0431324288274975e-25,2.4718170309186907e-19,5.119877746632919e-19,5.712740995549991e-28
4.0287466785146145e-11,0.11224537200058883,0.0,0.0,0.0,0.0,0.329999999975707,0.669999999980953,2.4283063573339717e-11,1.9037041272453332e-11,9.876681142438351e-15,5.2558958098900265e-12,3.1263122123694656e-23,1.0298417216646695e-18,3.4550199943003947e-19,1.139927827913928e-22,1.4469668322415933e-24,6.839037238421014e-19,1.4165536307398039e-18,4.662469194750818e-27
5.640254092907735e-11,0.11224537200081984,0.0,0.0,0.0,0.0,0.3299999999659898,0.6699999999732942,3.399111438866798e-11,2.6686912358282895e-11,1.9055047504815038e-14,7.323251101294468e-12,6.031698903422153e-23,2.2555691948881986e-18,9.147031456186343e-19,3.343807988767398e-22,3.884425189154819e-24,1.3397273736405178e-18,2.774915956458984e-18,1.64137506238318e-26
7.251761507300855e-11,0.11224537200104834,0.0,0.0,0.0,0.0,0.32999999995627255,0.6699999999656124,4.36963505381367e-11,3.43565596170851e-11,3.1048133914225916e-14,9.370829544464851e-12,9.828104233779663e-23,4.102237176076623e-18,1.8847332161624228e-18,7.523606736227116e-22,8.095537668383445e-24,2.215188049219761e-18,4.588170053224284e-18,4.173424747682048e-26
8.863268921693975e-11,0.1122453720012743,0.0,0.0,0.0,0.0,0.3299999999465553,0.6699999999579086,5.339888995391667e-11,4.2045796579265254e-11,4.573790750097606e-14,1.1398817607268932e-11,1.4478164101439323e-22,6.672455070134969e-18,3.357561595146917e-18,1.4520584955456782e-21,1.457472679722346e-23,3.3108211941834254e-18,6.857410831239011e-18,8.830354657112958e-26
9.999999999999999e-11,0.11224537200171893,0.0,0.0,0.0,0.0,0.32999999993970097,0.669999999952461,6.02413370246877e-11,4.7481349058767916e-11,5.766593553657895e-14,1.28176369566372e-11,1.825400044428607e-22,8.969199931175649e-18,4.747142273971837e-18,2.166091625242198e-21,2.075749870163395e-23,4.2163539741200424e-18,8.732898036963685e-18,1.3896845144278501e-25
1.2086283750480215e-10,0.11224537200171893,0.0,0.0,0.0,0.0,0.32999999992712087,0.6699999999424349,7.279629038677752e-11,5.7482355772718906e-11,8.2795362688929e-14,1.5396706426560322e-11,2.620877746932068e-22,1.4341632577213173e-17,8.167441746721313e-18,4.072940978650012e-21,3.6168183342484884e-23,6.164542802268762e-18,1.2767813766134786e-17,2.82319777879414e-25
1.5309298579266456e-10,0.11224537200215387,0.0,0.0,0.0,0.0,0.3299999999076864,0.6699999999268754,9.21841818522617e-11,7.299512011879794e-11,1.293605097403626e-13,1.9318387365560762e-11,4.094911490410921e-22,2.6016353135255832e-17,1.609278562961093e-17,9.072748958867633e-21,7.262316666969094e-23,9.905056596338309e-18,2.0514636392248717e-17,6.8706745558320205e-25
