Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249)
1.3637150010862245e-11,0.11224537200020113,0.0,0.0,0.0,0.0,0.329999999991777,0.6699999999935687,8.221860351785812e-12,6.430047165169564e-12,1.2047445387403965e-15,1.7930175309104062e-12,3.812962655260076e-24,9.532553230696573e-20,1.4178498464912352e-20,3.625872157418843e-24,5.379333602712823e-26,8.400476799530815e-20,1.6806422079003102e-19,6.020471026715839e-29,8.630104343500636e-33,4.888970800510312e-41,3.796245246316768e-38,2.3024201283741895e-23,2.8557255578853022e-21,5.760076581521606e-37,7.198031466187172e-41,1.4195919542757567e-47,4.472457007371757e-42,2.1515781835270454e-57,6.435450388923999e-64,2.393859625669306e-53,6.055231828413157e-57,1.2778243074047647e-63,3.0554506647897046e-73
1.9092128395814456e-11,0.11224537200028108,0.0,0.0,0.0,0.0,0.32999999998848767,0.6699999999909916,1.1510057475280968e-11,9.006078394640378e-12,2.3051088821197177e-15,2.5062834316559343e-12,7.295945243293581e-24,1.933797174502435e-19,3.72935646416061e-20,1.0025620826903633e-23,1.4717726245851592e-25,1.636106208587476e-19,3.2327997756988684e-19,2.19806197076949e-28,4.4498549124098294e-32,2.521702492516e-40,2.827667460119531e-37,6.026592833997646e-23,7.498227960254557e-21,2.2153260784936347e-36,3.9488029076556305e-40,7.339890546590881e-47,2.3126074867247253e-41,2.9160998114956145e-56,1.4217015163795441e-62,1.9117097058343057e-52,7.216272033768665e-56,1.9903234658648637e-62,1.04517722580481e-71
3.000208516571888e-11,0.11224537200044006,0.0,0.0,0.0,0.0,0.3299999999819091,0.6699999999858294,1.8085393854841176e-11,1.4165073109124885e-11,5.56378915685927e-15,3.92588274699568e-12,1.7610927618950062e-23,5.239236351282612e-19,1.4295148361255274e-19,4.271970847541176e-23,5.8440770972738525e-25,4.098853551966009e-19,7.892098414609829e-19,1.3821554613065215e-27,4.770011187439969e-31,2.7040481692259152e-39,5.36722548582396e-36,2.2847682183108153e-22,2.8629531214913886e-20,1.4618752661456357e-35,4.492147038036961e-39,7.88976649810812e-46,2.486033433547074e-40,9.757874825987926e-55,8.394559690796038e-61,3.88317330063871e-51,2.700998760275715e-54,1.0246777531796512e-60,1.1888608167823393e-69
4.09120419356233e-11,0.11224537200059782,0.0,0.0,0.0,0.0,0.3299999999753305,0.6699999999806566,2.4659346581368874e-11,1.933327747909064e-11,1.0206205908276579e-14,5.33627209887414e-12,3.230622126096605e-23,1.0582533310963548e-18,3.5228783718274337e-19,1.137864215741039e-22,1.462921281423493e-24,7.773606869244905e-19,1.462888426297981e-18,4.4766978483126264e-27,1.9815727476743176e-30,1.1234429381931695e-38,2.7871490194061895e-35,5.581102445330437e-22,7.033446620019945e-20,4.819162566017009e-35,1.9001861965135713e-38,3.2804273184292476e-45,1.0336722931479309e-39,6.261179447322984e-54,6.91456812510171e-60,2.0513351769761345e-50,1.7367524244725568e-53,7.109418682709797e-60,1.0497796534045744e-68
6.273195547543214e-11,0.11224537200090992,0.0,0.0,0.0,0.0,0.32999999996217333,0.6699999999702796,3.7803304641511435e-11,2.9696999878986893e-11,2.3438474485458068e-14,8.129736217701347e-12,7.419268085944572e-23,2.9139938272201573e-18,1.2581952737935587e-18,4.797329046191123e-22,5.3457503750530475e-24,1.9120093596140216e-18,3.4350816803918655e-18,2.5226798760849076e-26,1.7958828201013087e-29,1.018311223748319e-37,4.1431398464321454e-34,1.9519147803714743e-21,2.493324847666308e-19,2.7860685573417257e-34,1.7718068449765243e-37,2.9764709209109624e-44,9.379229335434463e-39,1.6233374622222058e-52,3.676735338745938e-58,3.143122923794568e-49,4.457299677231287e-52,2.1630707703824788e-58,8.166593580242735e-67
8.23698776612601e-11,0.11224537200118681,0.0,0.0,0.0,0.0,0.32999999995033186,0.6699999999609051,4.9628518600248734e-11,3.905524886337401e-11,3.9695703660972745e-14,1.0612954045111289e-11,1.256549755412891e-22,5.613400898783753e-18,2.7616524571181373e-18,1.1680679543050404e-21,1.1893809564410241e-23,3.4160257467259244e-18,5.92375256959285e-18,6.987984685989403e-26,6.113013679524273e-29,3.4663845532907767e-37,1.6869721484524297e-33,4.220784543643013e-21,5.443632002298349e-19,7.810968469807716e-34,6.0960675107281305e-37,1.0135218144081987e-43,3.193762581665393e-38,8.404490610474982e-52,2.660731724968611e-57,1.2915639400380105e-48,2.1318307491823024e-51,1.073788143837869e-57,5.673260007522706e-66
9.999999999999999e-11,0.11224537200145998,0.0,0.0,0.0,0.0,0.3299999999397011,0.6699999999524612,6.024139693070207e-11,4.748132249756447e-11,5.760499423542309e-14,1.2817663538515676e-11,1.8234709075145593e-22,9.03668790362694e-18,4.837348331756531e-18,2.2308856693245107e-21,2.1072806731619186e-23,5.190790028414526e-18,8.735757634715921e-18,1.4573291406760273e-25,1.5009424743515472e-28,8.511337709035464e-37,4.826802446218063e-33,7.293441097974242e-21,9.488860034003452e-19,1.6454290869161806e-33,1.510629851806524e-36,2.48910516545511e-43,7.843599813418001e-38,2.757435436014401e-51,1.0631346973248178e-56,3.7262586198193295e-48,7.097339430686572e-51,3.69294354506703e-57,2.3107487582878863e-65
1.0200779984708805e-10,0.11224537200145998,0.0,0.0,0.0,0.0,0.3299999999384904,0.6699999999514978,6.144984168148175e-11,4.84424002253592e-11,5.984347333279535e-14,1.3067268494975286e-11,1.8943303890850644e-22,9.486549901602581e-18,5.117302689236007e-18,2.378620259286183e-21,2.2316211619556285e-23,5.4183838565845325e-18,9.09067427769539e-18,1.5651769502866453e-25,1.6323879714930247e-28,9.256739317192822e-37,5.304238314290719e-33,7.705525338720519e-21,1.0033357132649632e-18,1.7686604315851896e-33,1.6440162056629357e-36,2.7071338147684392e-43,8.530649372002686e-38,3.054255993841536e-51,1.1893857022646433e-56,4.0969900555025634e-48,7.869977010419327e-51,4.1022043069616446e-57,2.5877559704497935e-65
1.21645722032916e-10,0.11224537200172963,0.0,0.0,0.0,0.0,0.3299999999266489,0.6699999999420584,7.32674654024391e-11,5.785813178307964e-11,8.369006961004665e-14,1.5493001749335227e-11,2.64919987692306e-22,1.470002855238331e-17,8.49369244598022e-18,4.296783014043796e-21,3.7477476874152033e-23,7.953421293490528e-18,1.293770230998083e-17,3.0383651386977907e-25,3.661141324342558e-28,2.0761581257769313e-36,1.3592561277045736e-32,1.260534288513366e-20,1.6566667628254736e-18,3.467283038036126e-33,3.719142548836677e-36,6.072657911377977e-43,1.913608873874985e-37,9.218386969981304e-51,4.634842101866234e-56,1.0577835892695454e-47,2.297232700273214e-50,1.2276556224336945e-56,9.850101452505618e-65
1.4128364421874397e-10,0.11224537200199564,0.0,0.0,0.0,0.0,0.32999999991480744,0.669999999932587,8.508157968690761e-11,6.730211153632689e-11,1.1104537378313134e-13,1.7890485809130205e-11,3.515139882779793e-22,2.141909446789322e-17,1.3058653333842693e-17,7.140055470547297e-21,5.82779774572976e-23,1.1055223325148353e-17,1.7466750392698487e-17,5.346337330600988e-25,7.298410585867253e-28,4.1388457249205714e-36,3.0411126566121175e-32,1.9103680505902723e-20,2.533865362772163e-18,6.158206798557392e-33,7.473761956851515e-36,1.210731945688384e-42,3.8152576063242575e-37,2.397340192768802e-50,1.5153648859319409e-55,2.382905194115156e-47,5.755495331938865e-50,3.137107438829897e-56,3.156473606600821e-64
1.805594885903999e-10,0.11224537200251727,0.0,0.0,0.0,0.0,0.3299999998911245,0.6699999999135509,1.0869991253723141e-10,8.627364412771336e-11,1.7564886631294956e-13,2.2601877852029324e-11,5.560185824402835e-22,3.9924660679262385e-17,2.6316824132164957e-17,1.65050610392066e-20,1.2002366635281937e-22,1.907281214377304e-17,2.857765826212061e-17,1.3452645756363874e-24,2.261169005883413e-27,1.282312515756285e-35,1.1463869810203014e-31,3.743693795384536e-20,5.054737270708344e-18,1.5771769240896917e-32,2.3509153904728662e-35,3.751749581958502e-42,1.1822568515334178e-36,1.2033872597079268e-49,1.1594354016285206e-54,9.100190085392212e-47,2.6435665211639474e-49,1.4856644580687003e-55,2.3615096964878693e-63
2.198353329620558e-10,0.11224537200302519,0.0,0.0,0.0,0.0,0.32999999986744155,0.6699999998943932,1.323062017715889e-10,1.0535440884876435e-10,2.5229101633579337e-13,2.7204033788805247e-11,7.98632359917511e-22,6.618866760279452e-17,4.610612255174106e-17,3.26044431599337e-20,2.147375168931851e-22,2.9716002664742825e-17,4.243830927488909e-17,2.8244321777658658e-24,5.605922247005814e-27,3.179175404503872e-35,3.3072912307004843e-31,6.380278916375161e-20,8.766658265440377e-18,3.3662642181452033e-32,5.907187317997506e-35,9.302541219571207e-42,2.9314400242476727e-36,4.200597360560432e-49,5.312271487388471e-54,2.6539882594298715e-46,8.834954411802704e-49,5.063495402073942e-55,1.0503459236653216e-62
2.591111773337117e-10,0.11224537200352004,0.0,0.0,0.0,0.0,0.3299999998437586,0.6699999998751186,1.559017494018177e-10,1.2454173111879954e-10,3.3966847947404463e-13,3.1699628222478933e-11,1.0752294960622e-21,1.0134529691582947e-16,7.359818154571575e-17,5.802768107985089e-20,3.499953791595047e-22,4.321939613492598e-17,5.906408112054784e-17,5.2681470401288154e-24,1.2065470448632778e-26,6.842527015138167e-35,8.111649069068262e-31,9.905787973914479e-20,1.3851347124542913e-17,6.380802921035961e-32,1.2879742360237737e-34,2.0023427215104762e-41,6.30984755773813e-36,1.2068589715690264e-48,1.9446149341963687e-53,6.576932343034556e-46,2.4626763185263892e-48,1.4330340989857443e-54,3.7398800739871917e-62
