Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282)
0.0005272634186695273,0.11219598092682796,0.0,0.0,0.0,0.0,0.32675296341142673,0.6676270164066459,0.00013726323871943099,0.00023981047015225152,1.0654070221222282e-06,2.5237777728140644e-07,3.3726067984656766e-15,1.1159248493389987e-06,0.0010985291019304617,0.0025410695133097493,0.0008267449365311146,1.2515073867656946e-07,1.1448959592083514e-07,1.4431229776500354e-07,1.062394376971202e-06,6.025449764756951e-15,0.0003099055072097126,4.762755748240636e-10,2.0860933538801293e-09,4.127324706375784e-09,2.264216246402725e-05,3.3169389587693926e-16,9.468116383212373e-16,6.717908453690196e-12,1.5545424086134333e-12,1.525705948860067e-11,1.395666896672116e-07,9.255546109729649e-14,4.404939016828592e-14,9.071796605023628e-19,1.9581868645913888e-17,2.0881297166905575e-16,1.2122620089541033e-09
0.0005304136660651079,0.11219545427212355,0.0,0.0,0.0,0.0,0.32671981121098287,0.6676023051806437,0.00013763773148698462,0.0002410059675587188,1.0682792232181463e-06,2.5364953027033357e-07,3.381698929362192e-15,1.1220952576427382e-06,0.0011075360084244828,0.002569334277211224,0.0008357087482026693,1.2561596281369047e-07,1.1521420344195549e-07,1.4568625132613093e-07,1.072477770023307e-06,6.0826384889725355e-15,0.0003147626376516369,4.799517789878555e-10,2.099532247070373e-09,4.191489116565445e-09,2.312351271573959e-05,3.387569012801433e-16,9.60216708196375e-16,6.879475304398301e-12,1.5963764902863332e-12,1.5649436554811853e-11,1.4395026202045422e-07,9.546248400953339e-14,4.555708244492105e-14,9.403416681735625e-19,2.0300347926368843e-17,2.164745384133528e-16,1.2639589774116512e-09
0.0005335639134606885,0.11219492525410596,0.0,0.0,0.0,0.0,0.3266865015395293,0.6675774602273759,0.00013801154628131473,0.00024220139920210445,1.0711457821259293e-06,2.5492142357460935e-07,3.3907731997397164e-15,1.1282749171559286e-06,0.001116556390247409,0.002597761105099199,0.0008447144335572043,1.260807359107051e-07,1.1594049256488508e-07,1.4706524936973465e-07,1.082597469607209e-06,6.140033128436604e-15,0.0003196657330739249,4.836384456668876e-10,2.1130032230917463e-09,4.2563037789919495e-09,2.3612212040564977e-05,3.459300484738281e-16,9.73761386318191e-16,7.043980905547102e-12,1.6391000686058737e-12,1.6049692787822993e-11,1.4844499256836324e-07,9.844322292231853e-14,4.710738290980725e-14,9.745175679122091e-19,2.1040905456012392e-17,2.243715385018225e-16,1.3175392507039249e-09
0.0005367141608562692,0.11219439387516,0.0,0.0,0.0,0.0,0.3266530342858346,0.6675524812683825,0.00013838468987863322,0.00024339678129098216,1.0740067499105761e-06,2.561934751680495e-07,3.3998297712477976e-15,1.1344638683114457e-06,0.0011255901294106748,0.002626350309032873,0.0008537619475781768,1.2654506496317474e-07,1.1666847255865722e-07,1.4844928960345155e-07,1.0927534492449282e-06,6.1976335329775e-15,0.0003246149586214734,4.873355952856786e-10,2.1265063761435793e-09,4.321772345318829e-09,2.410833185034084e-05,3.532144795773917e-16,9.87446788472187e-16,7.21146268972412e-12,1.6827274203206627e-12,1.6457945980061213e-11,1.5305306298346243e-07,1.0149912464013566e-13,4.870125446974788e-14,1.0097326177867521e-18,2.1804095175757896e-17,2.3250987893191485e-16,1.3730602140546602e-09
0.0005430146556474303,0.11219332404411166,0.0,0.0,0.0,0.0,0.32658562658254603,0.6675021202170001,0.0001391289897559669,0.0002457874597029036,1.0797121098837908e-06,2.5873812311607996e-07,3.417890443719884e-15,1.1468698014877614e-06,0.00114369721150894,0.002684017099391923,0.0008719822806482208,1.274724180631061e-07,1.181295413978124e-07,1.512324877048276e-07,1.1131741442029519e-06,6.313451044730835e-15,0.00033465246007698617,4.947614222973277e-10,2.15360957794564e-09,4.454685830637835e-09,2.5123120300883123e-05,3.6812179543072483e-16,1.0152442559351435e-15,7.555505992002477e-12,1.772751361680693e-12,1.729892058982999e-11,1.6261810735372397e-07,1.0784230799012e-13,5.2023646245214473e-14,1.0833836921576302e-18,2.340064219584313e-17,2.4953479793409976e-16,1.4901609703647458e-09
0.0005493151504385916,0.11219224479841572,0.0,0.0,0.0,0.0,0.32651758719445484,0.6674512197893765,0.00013987068203149007,0.0002481781247702312,1.085395685924653e-06,2.612836099531145e-07,3.435882158515122e-15,1.1593133575274855e-06,0.0011618563255361653,0.002742337169074663,0.0008903693835953354,1.2839807469025613e-07,1.1959748077481145e-07,1.540358282043462e-07,1.13373964867256e-06,6.430089854614603e-15,0.0003448764608037845,5.022294122905927e-10,2.1808425569823e-09,4.590258920897254e-09,2.6168456275521374e-05,3.834881195933689e-16,1.0436181480884022e-15,7.911910498265339e-12,1.8665657863868744e-12,1.817332753693395e-11,1.7266347907336563e-07,1.1450402666070202e-13,5.5532298033171217e-14,1.1615070084729477e-18,2.509464334197729e-17,2.675989275458935e-16,1.6157493578702345e-09
0.0005556156452297528,0.11219115615781888,0.0,0.0,0.0,0.0,0.32644891520257524,0.6673997777412337,0.00014060981512622854,0.00025056889262576557,1.0910578413734129e-06,2.638300654805915e-07,3.4538060658108188e-15,1.1717948191586583e-06,0.0011800665535349841,0.0028013130573925618,0.0009089228892716493,1.2932208485810122e-07,1.2107235894952665e-07,1.5685929433046167e-07,1.154449760341437e-06,6.547548815200941e-15,0.00035528827772711923,5.097397089207921e-10,2.208205980034867e-09,4.728521068869664e-09,2.7244923507172897e-05,3.993228302036096e-16,1.0725775911831563e-15,8.280986180531962e-12,1.964290810032936e-12,1.9082154090337e-11,1.8320777582205454e-07,1.2149661394482589e-13,5.92355264335409e-14,1.2443229700564618e-18,2.6890936713807218e-17,2.8675385926665584e-16,1.750337608158122e-09
0.0005619161400209141,0.11219005814242106,0.0,0.0,0.0,0.0,0.326379609676726,0.6673477918215257,0.00014134643511178312,0.00025295987387189566,1.0966989212301175e-06,2.663776137888132e-07,3.4716632577273216e-15,1.1843144523959633e-06,0.0011983269882230028,0.0028609473212549237,0.0009276424268150012,1.3024449616163722e-07,1.225542417465587e-07,1.5970286989648248e-07,1.1753042802885471e-06,6.6658267982959e-15,0.0003658892259473204,5.172924476349068e-10,2.2357004780147985e-09,4.869501828990359e-09,2.835311124837938e-05,4.1563541321640006e-16,1.1021318002852252e-15,8.663047720480128e-12,2.0660492279259455e-12,2.0026407897507532e-11,1.9427011905464282e-07,1.2883275048375896e-13,6.31419313373698e-14,1.3320605142050523e-18,2.879454974982084e-17,3.070532036270619e-16,1.8944630481384328e-09
0.0005682166348120754,0.11218895077263287,0.0,0.0,0.0,0.0,0.326309669676577,0.6672952597727997,0.00014208058583904705,0.0002553511738711796,1.1023192531579683e-06,2.6892637355945646e-07,3.4894547715042002e-15,1.1968725073368735e-06,0.0012166367324871609,0.002921242534307168,0.0009465276212944601,1.3116535391065357e-07,1.2404319266263576e-07,1.6256653923275732e-07,1.1963030124805553e-06,6.78492269208336e-15,0.00037668061876913625,5.248877559526786e-10,2.263326647370464e-09,5.01323085370546e-09,2.949361426567154e-05,4.324354626854031e-16,1.1322900791616922e-15,9.058414530222066e-12,2.1719665505308623e-12,2.1007117238496288e-11,2.058701639902384e-07,1.36525470891474e-13,6.726040275427074e-14,1.4249573575898611e-18,3.0810704775995924e-17,3.2855264935760404e-16,2.0486890884609128e-09
0.0005745171296032366,0.11218783406923752,0.0,0.0,0.0,0.0,0.3262390942526082,0.6672421793315317,0.00014281230905469186,0.00025774289301429786,1.1079191483908053e-06,2.7147645834502295e-07,3.507181592372941e-15,1.209469218915667e-06,0.0012349948989229989,0.002982201286135581,0.0009655780933866112,1.320847012513559e-07,1.2553927296879388e-07,1.654502871257388e-07,1.2174457633134116e-06,6.904835398525099e-15,0.00038766376772537964,5.325257537903226e-10,2.2910850515836156e-09,5.159737890587835e-09,3.0667032832707517e-05,4.497326811445671e-16,1.1630618203543448e-15,9.467410775346055e-12,2.282171039594671e-12,2.2025331288414683e-11,2.1802810939271706e-07,1.4458817024072292e-13,7.16001278257518e-14,1.5232602511645632e-18,3.294482475410899e-17,3.513100246861876e-16,2.2136062136121534e-09
