Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114)
5.0042788658944105e-11,0.11224537200072898,0.0,0.0,0.0,0.0,0.32999999996982476,0.6699999999763193,3.016020703601441e-11,2.366555195207619e-11,1.5095125421465868e-14,6.509745427571292e-12,4.778193224843908e-23,1.698322276763643e-18,6.4288543896017715e-19,2.2498122703699957e-22,2.7142793655954544e-24,1.0546317332757614e-18,2.1844201370949307e-18,1.0277331046489895e-26,5.8344182504829384e-30,3.3080678989669585e-38,1.0618174320252718e-34
6.744905813601663e-11,0.11224537200097673,0.0,0.0,0.0,0.0,0.32999999995932894,0.6699999999680307,4.0644129784847254e-11,3.194215604583875e-11,2.697952726885928e-14,8.728944939660921e-12,8.540186739207007e-23,3.447640758539765e-18,1.52968795752818e-18,5.945753551113624e-22,6.547474396209293e-24,1.9160654831484497e-18,3.968630516965435e-18,3.184438215981674e-26,2.3003748474894095e-29,1.304375493243004e-37,5.204990575052559e-34
8.485532761308915e-11,0.11224537200122153,0.0,0.0,0.0,0.0,0.3299999999488331,0.6699999999597162,5.112486426474534e-11,4.024168213198662e-11,4.2052179619898934e-14,1.0925221670133725e-11,1.3311442481448534e-22,6.004614822371978e-18,2.9668214460336447e-18,1.2624625111875622e-21,1.2850377031313974e-23,3.034185164877741e-18,6.284453539765013e-18,7.538816463657709e-26,6.527550157591593e-29,3.7014403844093223e-37,1.7406217450506216e-33
9.999999999999999e-11,0.11224537200146349,0.0,0.0,0.0,0.0,0.329999999939701,0.6699999999524611,6.024136044556668e-11,4.748130753933172e-11,5.764249535187067e-14,1.2817678475942092e-11,1.8246580295520174e-22,8.988672102600985e-18,4.7665568221200325e-18,2.182041181325707e-21,2.085149494055602e-23,4.216391655840475e-18,8.732973392768014e-18,1.4028304523269467e-25,1.3912926400104172e-28,7.889501989041554e-37,4.205393881234567e-33
1.0226159709016167e-10,0.11224537200146349,0.0,0.0,0.0,0.0,0.3299999999383373,0.6699999999513759,6.160255507008724e-11,4.856389530116305e-11,6.016836478559866e-14,1.3098810526209741e-11,1.9046149089810995e-22,9.494924010560177e-18,5.079182610737646e-18,2.3463927283590962e-21,2.2247329684916177e-23,4.409652515427456e-18,9.13324194438739e-18,1.521307429492919e-25,1.531185999232418e-28,8.682806318682571e-37,4.685515078624795e-33
1.3707413604430672e-10,0.11224537200193892,0.0,0.0,0.0,0.0,0.3299999999173457,0.6699999999346196,8.25493063545354e-11,6.527552721252166e-11,1.0503020944955205e-13,1.737878028344273e-11,3.324728068323044e-22,1.9710898213568947e-17,1.1762156204294101e-17,6.283315990567602e-21,5.2630076299151477e-23,7.93504669489881e-18,1.6434653615546603e-17,4.5814513130204875e-25,5.907063478580288e-28,3.349804803936794e-36,2.2850780240543538e-32
1.7188667499845176e-10,0.11224537200240318,0.0,0.0,0.0,0.0,0.3299999998963541,0.6699999999177643,1.0348543457063838e-10,8.207521339120806e-11,1.6051323362839476e-13,2.157069258329082e-11,5.081061837924028e-22,3.5009395649036344e-17,2.2486538145327532e-17,1.3612868761198912e-20,1.0268297085314349e-22,1.2497437206343747e-17,2.5883469744181544e-17,1.0751635192048036e-24,1.6690197659228637e-27,9.464960538311069e-36,7.625314183927265e-32
2.066992139525968e-10,0.11224537200285677,0.0,0.0,0.0,0.0,0.3299999998753625,0.6699999999008133,1.2441195511015656e-10,9.896105512170769e-11,2.2560118174313409e-13,2.567644612393616e-11,7.141445961132303e-22,5.627354666299426e-17,3.812957091622056e-17,2.5833526193991964e-20,1.7764895220728766e-22,1.81021791581025e-17,3.7490629945643056e-17,2.1654183169124946e-24,3.927785043086528e-27,2.2274693138190436e-35,2.0646086339020288e-31
2.4151175290674185e-10,0.11224537200329987,0.0,0.0,0.0,0.0,0.3299999998543709,0.6699999998837691,1.4532976422162484e-10,1.1593121657871947e-10,2.993970442372202e-13,2.969787671391553e-11,9.477484994665937e-22,8.428311220699159e-17,5.946558110004525e-17,4.470749720657961e-20,2.8271812206391744e-22,2.4754443845726862e-17,5.126669352395044e-17,3.926617278815398e-24,8.188538026263176e-27,4.643821932991231e-35,4.893454192923585e-31
2.763242918608869e-10,0.11224537200373283,0.0,0.0,0.0,0.0,0.3299999998333792,0.6699999998666347,1.6623963433863114e-10,1.3298395570608823e-10,3.8112773309446203e-13,3.36367263934745e-11,1.2064706315289783e-21,1.1971036661753203e-16,8.716192820736296e-17,7.220324187325035e-20,4.2293875492276254e-22,3.245913043666242e-17,6.722165918760426e-17,6.584824491706122e-24,1.56027129552237e-26,8.848577285820263e-35,1.0511804926667969e-30
