Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116)
1.2104680250477328e-11,0.11224537200017863,0.0,0.0,0.0,0.0,0.329999999992701,0.6699999999942925,7.298050508149967e-12,5.706717237501697e-12,9.50632522705057e-16,1.5922835863624496e-12,3.008636796673513e-24,7.385487908337596e-20,9.926476696357673e-21,2.500818124411717e-24,3.762085997509657e-26,6.592854690878368e-20,1.3240252105015624e-19,3.7407363945549077e-29,4.759079817690925e-33,2.6956329521671057e-41,1.8377515683909982e-38,1.614256397356083e-23,2.000359010004039e-21,3.575711547629117e-37,3.966211402620196e-41,7.819010795986373e-48
1.6946657428297987e-11,0.11224537200024969,0.0,0.0,0.0,0.0,0.32999999998978136,0.6699999999920058,1.0216845094074953e-11,7.99257344473234e-12,1.819918209600755e-15,2.226090966607993e-12,5.76015744839522e-24,1.4908496641416592e-19,2.6121055559811387e-20,6.884360105676139e-24,1.0293082622480442e-25,1.282319565009868e-19,2.5467456745795726e-19,1.3662980236602215e-28,2.4548559169471645e-32,1.3910057788960748e-40,1.369436840214417e-37,4.229423278968255e-23,5.2555716063188854e-21,1.3752406323381456e-36,2.175876286350344e-40,4.0457770738309504e-47
2.6630611783939307e-11,0.11224537200039106,0.0,0.0,0.0,0.0,0.329999999983942,0.669999999987426,1.6053594910893248e-11,1.2569756205965255e-11,4.397916976455198e-15,3.4882351986900643e-12,1.3920462854574575e-23,4.003494891285246e-19,1.0022462243770025e-19,2.908409854112275e-23,4.087237387645116e-25,3.203817849668021e-19,6.216828389587479e-19,8.59966950967556e-28,2.634018037209561e-31,1.493094606390245e-39,2.601932144241858e-36,1.6069564501262467e-22,2.0094969479144892e-20,9.07541752488723e-36,2.475357898803076e-39,4.354591824401764e-46
3.631456613958062e-11,0.1122453720005315,0.0,0.0,0.0,0.0,0.3299999999781027,0.6699999999828378,2.1889244421789622e-11,1.7154210093012903e-11,8.07629785781608e-15,4.743108062388834e-12,2.556410215756952e-23,8.033441753280688e-19,2.471857000722483e-19,7.702666963507644e-23,1.0231571089994903e-24,6.062065429968044e-19,1.1522848117315476e-18,2.7871784636584517e-27,1.0948287346173215e-30,6.206782773900798e-39,1.3517910735601005e-35,3.932279091227544e-22,4.9423135035119814e-20,2.9918383364137007e-35,1.0471014233081079e-38,1.811748333449308e-45
5.568247485086326e-11,0.11224537200080963,0.0,0.0,0.0,0.0,0.32999999996642404,0.6699999999736369,3.355738692063362e-11,2.634470933887548e-11,1.858966355993941e-14,7.231261589507134e-12,5.884382371223892e-23,2.1890622120640474e-18,8.844479337527661e-19,3.2135981327600017e-22,3.7389215392043665e-24,1.4844534170282516e-18,2.7053692533820576e-18,1.573355117297798e-26,9.939202316191582e-30,5.635613826786711e-38,2.0128629334068356e-34,1.380950528888617e-21,1.7567026222040535e-19,1.7297584781865513e-34,9.764171237548676e-38,1.6469111261888609e-44
7.505038356214589e-11,0.11224537200108403,0.0,0.0,0.0,0.0,0.3299999999547454,0.6699999999644033,4.522146289473485e-11,3.556377605116804e-11,3.316951580891996e-14,9.690846678175458e-12,1.0499628305763288e-22,4.471384958794828e-18,2.1036777852198802e-18,8.54122167885484e-22,9.018924598517822e-24,2.796952188358229e-18,4.915574412533582e-18,4.8734661559840225e-26,3.917709165428018e-29,2.2214999302015187e-37,9.864569238626469e-34,3.2346552291417326e-21,4.1556300679402505e-19,5.427303857736101e-34,3.8948233840753764e-37,6.494571737747897e-44
9.441829227342852e-11,0.11224537200135484,0.0,0.0,0.0,0.0,0.3299999999430667,0.6699999999551376,5.6881670998951894e-11,4.481109314495609e-11,5.1616995663611336e-14,1.2122180412752092e-11,1.633919787858049e-22,7.822975248604326e-18,4.078691297532997e-18,1.8213194090076977e-21,1.770054961207973e-23,4.579259343324271e-18,7.78471386483608e-18,1.15340629675203e-25,1.1114186494495093e-28,6.302409831126795e-37,3.298147971552757e-33,6.1813665583912324e-21,8.015565583944652e-19,1.297962532519484e-33,1.1152208761769388e-36,1.842966694745294e-43
9.999999999999999e-11,0.11224537200162213,0.0,0.0,0.0,0.0,0.329999999939701,0.6699999999524613,6.024138674020387e-11,4.7481295146012705e-11,5.761520379075774e-14,1.281769089204072e-11,1.8237940978835953e-22,9.018785362213803e-18,4.819908357530444e-18,2.212940574782343e-21,2.0993556737982326e-23,5.186591697123492e-18,8.734240052688963e-18,1.4395521722367385e-25,1.4627533515914141e-28,8.294761940751147e-37,4.570713987716973e-33,7.272222097879166e-21,9.457086472716724e-19,1.6252120492197992e-33,1.4721649796398041e-36,2.4257303394464347e-43
1.1378620098471116e-10,0.11224537200162213,0.0,0.0,0.0,0.0,0.32999999993138807,0.6699999999458401,6.85382058603112e-11,5.4086338709450216e-11,7.37372761940524e-14,1.4525584703964426e-11,2.3341417309251324e-22,1.2413103885588281e-17,6.980471919063462e-18,3.3966316125206044e-21,3.064356142892404e-23,6.8662561077593766e-18,1.1314641316080245e-17,2.326897261643137e-25,2.6064852836820444e-28,1.4780689204413774e-36,8.876385761413801e-33,1.0429802686357055e-20,1.3648499474015733e-18,2.6436144583210797e-33,2.6371410288115295e-36,4.322953472318365e-43
1.5252201840727643e-10,0.11224537200214632,0.0,0.0,0.0,0.0,0.32999999990803075,0.6699999999271524,9.184092486192744e-11,7.271944451219191e-11,1.2832654517959912e-13,1.9249775697291734e-11,4.062180955326597e-22,2.5891131596324895e-17,1.6155626768843828e-17,9.141449587994336e-21,7.24899614142238e-23,1.3074395151917874e-17,2.0363614045616653e-17,7.0038714993057175e-25,1.0050868280185008e-27,5.699766951646728e-36,4.3271923190408334e-32,2.347633125671493e-20,3.1272123538734835e-18,8.102535835307208e-33,1.033075312014721e-35,1.6674173993721798e-42
1.912578358298417e-10,0.11224537200265693,0.0,0.0,0.0,0.0,0.32999999988467343,0.669999999908344,1.1513101949320954e-10,9.14605800934346e-11,1.9553629329211138e-13,2.386593303242962e-11,6.189729969626893e-22,4.6123551279766834e-17,3.086954105072156e-17,1.9873312398804376e-20,1.4142514955551154e-22,2.1672720295325163e-17,3.2076982171220755e-17,1.6429063320899297e-24,2.8387834051272003e-27,1.6098828810138617e-35,1.4435405797768945e-31,4.365497607815366e-20,5.916635930920495e-18,1.931589187168266e-32,2.9560992295409765e-35,4.710235574989702e-42
2.2999365325240696e-10,0.11224537200315444,0.0,0.0,0.0,0.0,0.3299999998613161,0.6699999998894189,1.3840982889392509e-10,1.1030715509882243e-10,2.740260086881895e-13,2.8376647079795587e-11,8.674353966121397e-22,7.427641246143472e-17,5.231886478695484e-17,3.7806905637432326e-20,2.4466775688820587e-22,3.290215591893614e-17,4.646965854829438e-17,3.307478719928384e-24,6.678338826570957e-27,3.7873591175907975e-35,3.907364893142103e-31,7.199897049465552e-20,9.928251823912822e-18,3.9499211077288987e-32,7.041087525902219e-35,1.1082252376934122e-41
2.687294706749722e-10,0.11224537200363928,0.0,0.0,0.0,0.0,0.3299999998379588,0.6699999998703808,1.6167851894647845e-10,1.2925667203400128e-10,3.6262861671447174e-13,3.278441535820665e-11,1.147910840848527e-21,1.1136563245166597e-16,8.155814446635509e-17,6.554355056425876e-20,3.8936325234055025e-22,4.697301255056096e-17,6.355599268082915e-17,5.995114261794183e-24,1.39180646958781e-26,7.893171431404863e-35,9.258405321936648e-31,1.0917265311471579e-19,1.5319486312649566e-17,7.274124684361021e-32,1.4861164325036574e-34,2.3098111497056997e-41
3.074652880975375e-10,0.11224537200411176,0.0,0.0,0.0,0.0,0.3299999998146015,0.6699999998512328,1.8493807985059176e-10,1.4830676798302775e-10,4.603529073966628e-13,3.709160081467249e-11,1.4572615875578034e-21,1.582547271313737e-16,1.1949552490895368e-16,1.059820236241288e-19,5.824615908590076e-22,6.406445625850025e-17,8.334952792097931e-17,1.0049701269500893e-23,2.651094533392701e-26,1.5034937260736369e-34,1.9882493016174037e-30,1.5552902290521233e-19,2.221175665184263e-17,1.2393762218221666e-31,2.86818064568834e-34,4.400006321522381e-41
