Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63)
3.228547387489933e-10,0.11224537200429606,0.0,0.0,0.0,0.0,0.3299999998053217,0.6699999998435958,1.9417650054167412e-10,1.559027822806452e-10,5.016321199594036e-13,3.877525674742311e-11,1.5879328893006794e-21,1.7962880333462358e-16,1.3508836967118824e-16,1.2613035757869104e-19,6.736878397543783e-22,4.440874748997314e-17,9.196610589230079e-17,1.197212463683267e-23,3.319290609932837e-26
3.559680683195709e-10,0.11224537200468648,0.0,0.0,0.0,0.0,0.32999999978535466,0.6699999998271068,2.1405068850116354e-10,1.7229875760733722e-10,5.944280986468211e-13,4.234625795463457e-11,1.8816830354926794e-21,2.3172588355534223e-16,1.774903164648049e-16,1.792110858009048e-19,9.02404280486855e-22,5.406891530580616e-17,1.11968952312453e-16,1.740393612870152e-23,5.336381909715431e-26
3.890813978901485e-10,0.11224537200506851,0.0,0.0,0.0,0.0,0.32999999976538763,0.669999999810543,2.339196059876811e-10,1.8876451021572812e-10,6.924891647568352e-13,4.5847478903592876e-11,2.192100171484182e-21,2.92199465138424e-16,2.272991031087886e-16,2.468342593550878e-19,1.1778124443907558e-21,6.469511256180601e-17,1.3397140538434854e-16,2.4437182793584974e-23,8.209972800939503e-26
4.221947274607261e-10,0.1122453720054423,0.0,0.0,0.0,0.0,0.3299999997454206,0.6699999997939059,2.537837057484252e-10,2.0529866405355173e-10,7.953621908552796e-13,4.928029563400267e-11,2.5177498917817283e-21,3.614440459415174e-16,2.849058710699642e-16,3.3122654199289286e-19,1.5042443410723137e-21,7.629118388306758e-17,1.5798129791994376e-16,3.333646280280381e-23,1.2179563345932935e-25
4.5530805703130373e-10,0.112245372005808,0.0,0.0,0.0,0.0,0.3299999997254536,0.6699999997771972,2.7364338383868483e-10,2.2189988964081502e-10,9.026507902206074e-13,5.264603761372061e-11,2.8573774074493474e-21,4.39804889575671e-16,3.506527832953417e-16,4.347253481751152e-19,1.885987902408017e-21,8.886083690824347e-17,1.8400617957480329e-16,4.438111629968823e-23,1.7525415388785017e-25
5.215347161724589e-10,0.11224537200651617,0.0,0.0,0.0,0.0,0.3299999996855195,0.6699999997435723,3.1335098495130543e-10,2.552982915641895e-10,1.1289635035857014e-12,5.918156177248275e-11,3.573782002886591e-21,6.251919013511808e-16,5.078715540503603e-16,7.086846035997223e-19,2.8326946434423968e-21,1.1693555275778078e-16,2.421307593990044e-16,7.406019533429912e-23,3.3651243607875736e-25
5.798896289499233e-10,0.11224537200711539,0.0,0.0,0.0,0.0,0.32999999965033205,0.6699999997137228,3.4832760932815727e-10,2.849367860861582e-10,1.3396574162496124e-12,6.473040928361684e-11,4.2407446557067324e-21,8.216906009610846e-16,6.76286482047703e-16,1.0374474105451666e-18,3.891973360628241e-21,1.4493557035626268e-16,3.0009722852105357e-16,1.1020580693001845e-22,5.589745532892947e-25
6.382445417273877e-10,0.11224537200769226,0.0,0.0,0.0,0.0,0.3299999996151446,0.6699999996836749,3.8329525161500123e-10,3.1476481203525187e-10,1.5593105359390527e-12,7.0089715875503e-11,4.936068283402912e-21,1.050645149877159e-15,8.740853228044501e-16,1.463201505996757e-18,5.186778182857995e-21,1.760113022093527e-16,3.6442753146698313e-16,1.5753847174675063e-22,8.828069679340197e-25
6.965994545048522e-10,0.11224537200824782,0.0,0.0,0.0,0.0,0.329999999579957,0.6699999996534363,4.1825521930770677e-10,3.447758511104398e-10,1.7866142936241737e-12,7.526599978966553e-11,5.6556105223408935e-21,1.3131977729597946e-15,1.102397640886592e-15,2.0010288870131105e-18,6.7406992492828464e-21,2.101807557805054e-16,4.351582356004099e-16,2.178782202713805e-22,1.3374473136328045e-24
8.133092800597809e-10,0.11224537200929788,0.0,0.0,0.0,0.0,0.32999999950958203,0.6699999995924161,4.88156509722367e-10,4.05321980608173e-10,2.2597913495938975e-12,8.509448738762976e-11,7.153478135032661e-21,1.9429256157913346e-15,1.6543455872188882e-15,3.475391492051704e-18,1.0720242124438274e-20,2.8786959891828987e-16,5.959603456892462e-16,3.8512460493753737e-22,2.7798387961279285e-24
9.169896128404597e-10,0.11224537201016668,0.0,0.0,0.0,0.0,0.32999999944706365,0.6699999995376374,5.502377175594633e-10,4.5966312116328574e-10,2.696352697678163e-12,9.327130435163711e-11,8.53543695642785e-21,2.6233435708509303e-15,2.255214154412066e-15,5.317760936296872e-18,1.5356336399765718e-20,3.674286757099238e-16,7.606162431475227e-16,5.962543498382679e-22,4.880983095917112e-24
9.999999999999999e-10,0.11224537201097928,0.0,0.0,0.0,0.0,0.329999999397009,0.6699999994934175,5.99933868058824e-10,5.035245185778426e-10,3.0542257676179086e-12,9.94641207519141e-11,9.668303837375785e-21,3.2524906084432382e-15,2.8135478656892504e-15,7.219850964381146e-18,1.9907706518695713e-20,4.3833774290921326e-16,9.07357029346543e-16,8.156613786208112e-22,7.313955781820535e-24
1.0206699456211384e-09,0.11224537201097928,0.0,0.0,0.0,0.0,0.3299999993845452,0.6699999994823586,6.123074514511909e-10,5.144931362211313e-10,3.1443021615758525e-12,1.009592158498973e-10,9.953445627502429e-21,3.4209858451015094e-15,2.963422494063046e-15,7.758901530633445e-18,2.1165895503795754e-20,4.569969949635307e-16,9.4596901076157e-16,8.780284555188138e-22,8.044508993478536e-24
1.1243502784018171e-09,0.11224537201173944,0.0,0.0,0.0,0.0,0.32999999932202684,0.6699999994266113,6.743684754896042e-10,5.697825687520869e-10,3.6008735460580734e-12,1.0818767864315474e-10,1.1398747570452184e-20,4.33828000425197e-15,3.781358289736876e-15,1.0894913729777256e-17,2.828107402119041e-20,5.566542312152114e-16,1.152179446631097e-15,1.2420257420965555e-21,1.2600817298835202e-23
1.2280306111824958e-09,0.11224537201245036,0.0,0.0,0.0,0.0,0.32999999925950835,0.6699999993704258,7.364228952869844e-10,6.255037327696187e-10,4.06395969543286e-12,1.1498437846524163e-10,1.286467244163362e-20,5.377078144552274e-15,4.710840320869168e-15,1.4823568609541992e-17,3.6834022779573214e-20,6.664747414849288e-16,1.3793973032620838e-15,1.699996466135516e-21,1.893080842004191e-23
1.3317109439631745e-09,0.11224537201311521,0.0,0.0,0.0,0.0,0.3299999991969899,0.6699999993138295,7.984723090297347e-10,6.816306078225417e-10,4.53196130940893e-12,1.213753355298545e-10,1.4346157547970645e-20,6.53878806646345e-15,5.753248968248016e-15,1.9643929717085518e-17,4.6956897933384216e-20,7.865278820122401e-16,1.6277619458469849e-15,2.2638112707096348e-21,2.746642320440619e-23
1.4353912767438532e-09,0.11224537201373685,0.0,0.0,0.0,0.0,0.3299999991344715,0.6699999992568482,8.605179266251049e-10,7.381387389587754e-10,5.003667693738172e-12,1.2738500456588524e-10,1.583937035505999e-20,7.824476790802153e-15,6.909629154462615e-15,2.545605014515256e-17,5.878186096899213e-20,9.16878309159432e-16,1.8974029778557115e-15,2.94542046969053e-21,3.869102192173859e-23
1.539071609524532e-09,0.11224537201431795,0.0,0.0,0.0,0.0,0.32999999907195293,0.6699999991995054,9.225606492600494e-10,7.950051569203126e-10,5.47817713290354e-12,1.3303635462172078e-10,1.7341456421537703e-20,9.234939716778501e-15,8.18075908119478e-15,3.2360769181400666e-17,7.244107825033405e-20,1.0575862194966061e-15,2.188440740204336e-15,3.756826828886125e-21,5.313959463478518e-23
1.6427519423052106e-09,0.11224537201486101,0.0,0.0,0.0,0.0,0.32999999900943444,0.6699999991418237,9.846011662160889e-10,8.522082642073066e-10,5.9547999920581376e-12,1.3835098300011552e-10,1.8850232661723545e-20,1.0770784826555512e-14,9.567233875371939e-15,4.045946473348469e-17,8.80667188792436e-20,1.2087076924989758e-15,2.50098702372932e-15,4.7100525674506976e-21,7.139895350421884e-23
1.7464322750858893e-09,0.1122453720153684,0.0,0.0,0.0,0.0,0.32999999894691584,0.6699999990838241,1.0466400018205274e-09,9.097277625889254e-10,6.433011725566214e-12,1.4334918774667604e-10,2.0364038590983648e-20,1.2432473567989967e-14,1.1069506153821215e-14,4.9853933641471844e-17,1.0579095646471956e-19,1.3702949084502973e-15,2.8351455221584113e-15,5.817123544649705e-21,9.410775920743618e-23
1.850112607866568e-09,0.11224537201584224,0.0,0.0,0.0,0.0,0.3299999988843973,0.6699999990255259,1.108677554370355e-09,9.675445721044985e-10,6.912413919866241e-12,1.480500486479715e-10,2.188161300428329e-20,1.4220354805282475e-14,1.2687919652371344e-14,6.064629187368088e-17,1.2574596769467672e-19,1.5423963919131147e-15,3.191012338223513e-15,7.09005625307011e-21,1.2195646191632916e-22
