Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12)
3.9411515807856315e-09,0.11224537199853969,0.0,0.0,0.0,0.0,0.3299999981439044,0.6699999981308947,1.8430857596920504e-09,1.8560953588398064e-09,1.3009599147756032e-11
4.310310801131342e-09,0.11224537199838876,0.0,0.0,0.0,0.0,0.3299999979700479,0.6699999979556939,2.01559767462845e-09,2.029951831578767e-09,1.4354156950317262e-11
5.048629241822764e-09,0.1122453719980869,0.0,0.0,0.0,0.0,0.32999999762233495,0.6699999976052917,2.3606214827266574e-09,2.3776647766366084e-09,1.704329390995108e-11
6.525266123205607e-09,0.11224537199748323,0.0,0.0,0.0,0.0,0.32999999692690907,0.6699999969044875,3.0506690600310562e-09,3.073090663939749e-09,2.2421603908692854e-11
9.478539885971294e-09,0.11224537199627585,0.0,0.0,0.0,0.0,0.3299999955360573,0.6699999955028791,4.430764214084206e-09,4.463942429436736e-09,3.317821535253003e-11
9.999999999999999e-09,0.1122453719938611,0.0,0.0,0.0,0.0,0.32999999529047436,0.669999995255397,4.674447876737118e-09,4.7095253888201045e-09,3.507751208298711e-11
1.5385087411502668e-08,0.1122453719938611,0.0,0.0,0.0,0.0,0.3299999927543538,0.6699999926996625,7.1909544873823665e-09,7.245645923212798e-09,5.4691435830431395e-11
2.7198182462565412e-08,0.11224537198903158,0.0,0.0,0.0,0.0,0.329999987190947,0.6699999870932292,1.2711334880833601e-08,1.280905275564737e-08,9.771787481377271e-11
3.9011277513628156e-08,0.11224537198420205,0.0,0.0,0.0,0.0,0.3299999816275403,0.669999981486796,1.823171511281423e-08,1.837245942463653e-08,1.4074431182229728e-10
5.0824372564690904e-08,0.11224537197937255,0.0,0.0,0.0,0.0,0.3299999760641338,0.6699999758803632,2.3752095175058927e-08,2.3935865921852403e-08,1.837707467934802e-10
7.44505626668164e-08,0.1122453719697135,0.0,0.0,0.0,0.0,0.32999996493732126,0.6699999646674977,3.479285486926133e-08,3.506267848051114e-08,2.6982361124982395e-10
9.80767527689419e-08,0.11224537196005445,0.0,0.0,0.0,0.0,0.3299999538105093,0.6699999534546329,4.583361385742142e-08,4.618949032475378e-08,3.558764673323615e-10
