Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17)
1.1384935274341881e-11,0.11224537200016807,0.0,0.0,0.0,0.0,0.3299999999931351,0.6699999999946321,6.864160568166439e-12,5.3670615099059224e-12,8.415434429973335e-16,1.4979403208403936e-12,2.6633468777443632e-24,6.481286294101663e-20,8.263215648724593e-21,2.067061005134785e-24,3.130153873120885e-26,5.821443098063392e-20,1.1712043837456433e-19,2.9285727462206987e-29,3.5040929814052794e-33,1.9846211434527522e-41,1.2725047384827988e-38,1.3446851261553246e-23,1.6655961372816075e-21
1.593900821378652e-11,0.11224537200023493,0.0,0.0,0.0,0.0,0.32999999999038904,0.6699999999924817,9.609451100009483e-12,7.5166935411673e-12,1.6114986068344762e-15,2.0943685242465334e-12,5.100445622910716e-24,1.3051891252057716e-19,2.1748802719520405e-20,5.678176677383182e-24,8.564155602724933e-26,1.1315550859318961e-19,2.2527620748521695e-19,1.0698649820285297e-28,1.8078429322354177e-32,1.0243262134612319e-40,9.484381018284817e-38,3.524742723386235e-23,4.377323116747589e-21
2.50471540926758e-11,0.11224537200036802,0.0,0.0,0.0,0.0,0.32999999998489693,0.6699999999881754,1.5099287198324575e-11,1.182080032174996e-11,3.896440848302685e-15,3.282382052343043e-12,1.23330919514366e-23,3.4896660146643146e-19,8.348749906607958e-20,2.388800460475936e-23,3.400738978717524e-25,2.823475790054504e-19,5.49900775206402e-19,6.736949001913682e-28,1.9406686789403603e-31,1.100031496364143e-39,1.8029164311343514e-36,1.3405992753444589e-22,1.674803857893013e-20
3.4155299971565074e-11,0.11224537200050026,0.0,0.0,0.0,0.0,0.3299999999794048,0.6699999999838614,2.05881456972593e-11,1.6131345508907383e-11,7.159054246421143e-15,4.463956959321095e-12,2.2660622352506522e-23,6.979409045181415e-19,2.0598268900349635e-19,6.308680542438953e-23,8.513130524456453e-25,5.336454881572791e-19,1.0192065892543063e-18,2.1841345330622877e-27,8.068458834385811e-31,4.574033629870183e-39,9.368871943652992e-36,3.283206880617316e-22,4.121327147858553e-20
5.237159172934363e-11,0.11224537200076234,0.0,0.0,0.0,0.0,0.32999999996842055,0.669999999975212,3.156305084801573e-11,2.477156586851428e-11,1.649621989602725e-14,6.807976143649495e-12,5.2217065496831564e-23,1.891737672397215e-18,7.376613054441041e-19,2.618115981525229e-22,3.1110077578917414e-24,1.3039650718191395e-18,2.3927705064546924e-18,1.2339550406631483e-26,7.330680748414074e-30,4.156490535664375e-38,1.3961841070912836e-34,1.1552566480818586e-21,1.46673244595721e-19
7.058788348712219e-11,0.1122453720010211,0.0,0.0,0.0,0.0,0.3299999999574363,0.6699999999665335,4.2534326227607066e-11,3.343710849267626e-11,2.9463156293455696e-14,9.126672203687523e-12,9.326379307680982e-23,3.850455091456296e-18,1.7557748833089884e-18,6.935889593176536e-22,7.50439776020745e-24,2.4526173181376146e-18,4.347338156352373e-18,3.824401456301938e-26,2.8909337559041445e-29,1.6392552525691265e-37,6.845270814999928e-34,2.710312881582055e-21,3.47323683287433e-19
8.880417524490075e-11,0.11224537200127668,0.0,0.0,0.0,0.0,0.329999999946452,0.6699999999578264,5.350213891968436e-11,4.212770888231939e-11,4.589260812261347e-14,1.1420309637926348e-11,1.4527134709392168e-22,6.719303647988896e-18,3.4063918186087148e-18,1.4753992904847493e-21,1.472833713864608e-23,4.009501510439606e-18,6.884421598905076e-18,9.056044426565747e-26,8.20493699246519e-29,4.652640307384482e-37,2.2895307909609725e-33,5.187097480318765e-21,6.705777697434998e-19
9.999999999999999e-11,0.11224537200152913,0.0,0.0,0.0,0.0,0.329999999939701,0.6699999999524611,6.024137525379888e-11,4.7481295358671057e-11,5.76267056701372e-14,1.2817690680223257e-11,1.8241581976430332e-22,9.004924676954134e-18,4.806175948726837e-18,2.198522195433288e-21,2.0927660573050404e-23,5.183517213288054e-18,8.733521662410543e-18,1.4251891668146536e-25,1.4314680541294955e-28,8.117338858081493e-37,4.402067976839149e-33,7.255654313429857e-21,9.432137507656085e-19
1.070204670026793e-10,0.11224537200152913,0.0,0.0,0.0,0.0,0.32999999993546775,0.6699999999490913,6.446665307413145e-11,5.084309837066212e-11,6.562025687407935e-14,1.3689157112969125e-11,2.0771956620950155e-22,1.0641037156259221e-17,5.833567054041199e-18,2.7461897257997162e-21,2.549833144211639e-23,6.004029789157347e-18,1.0005567971323959e-17,1.8279150638575805e-25,1.925027779921324e-28,1.0916221373160313e-36,6.164096993686462e-33,8.764936374611347e-21,1.142897825272796e-18
1.434530505182364e-10,0.11224537200202483,0.0,0.0,0.0,0.0,0.32999999991349926,0.6699999999315385,8.638635245486748e-11,6.834726663858783e-11,1.1440287866870418e-13,1.8153460191951036e-11,3.621422793989238e-22,2.213623286145337e-17,1.351772024490462e-17,7.36999174711965e-21,6.031989290194505e-23,1.1407698368319922e-17,1.8005693130978882e-17,5.507487865222258e-25,7.429430235703242e-28,4.213139520991191e-36,3.0071992946202185e-32,1.978461711925244e-20,2.6234368490213407e-18
