Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10)
1.3535113695378511e-07,0.11224537196462415,0.0,0.0,0.0,0.0,0.32999991835142023,0.6699999179605138,8.092081404489893e-08,8.130204879844768e-08,6.284263503356035e-10,3.035409881462988e-10,1.989318735942731e-18,8.098222872135266e-11,9.924194485972705e-11,3.0625099385323454e-11,4.896357133398208e-14,7.172261929698013e-12
1.4906390699971643e-07,0.1122453719586533,0.0,0.0,0.0,0.0,0.32999991007250645,0.6699999096154097,8.91147034398849e-08,8.956007617769547e-08,6.922349084954488e-10,3.1208610444800596e-10,2.191308295205363e-18,9.559298772094387e-11,1.2042485200415412e-10,4.008179020776607e-11,6.539784999225985e-14,8.458389269619496e-12
1.6277667704564774e-07,0.11224537195270502,0.0,0.0,0.0,0.0,0.32999990179185,0.6699999012682616,9.730828457804313e-08,9.781790156419073e-08,7.560410458031089e-10,3.2063098064908023e-10,2.3932901911245973e-18,1.1097886158353638e-10,1.4365464804512362e-10,5.1146907908316016e-11,8.514995510800604e-14,9.811008454070751e-12
1.7648944709157905e-07,0.11224537194677901,0.0,0.0,0.0,0.0,0.329999893509365,0.6699998929190688,1.055016418813514e-07,1.0607552486246136e-07,8.19845421466827e-10,3.2917568981833633e-10,2.595266510461962e-18,1.270670721119209e-10,1.689312659204351e-10,6.389963125362082e-11,1.0852482223940625e-13,1.1223641988601039e-11
1.9020221713751036e-07,0.11224537194087547,0.0,0.0,0.0,0.0,0.329999885224974,0.6699998845678308,1.1369485169894098e-07,1.1433294615520613e-07,8.836486316419851e-10,3.3772012685216114e-10,2.7972391403775672e-18,1.4379170740344955e-10,1.9625465883471598e-10,7.841165818979282e-11,1.3582739582383514e-13,1.2690447169402557e-11
2.0391498718344168e-07,0.11224537193499394,0.0,0.0,0.0,0.0,0.32999987693860683,0.6699998762145473,1.218879830275163e-07,1.2259016532015506e-07,9.474512151050631e-10,3.4626439161428956e-10,2.9992097864029853e-18,1.6109311299783433e-10,2.2562479843123232e-10,9.474787149431806e-11,1.6736263636914622e-13,1.4206157457689972e-11
2.17627757229373e-07,0.11224537192913464,0.0,0.0,0.0,0.0,0.3299998686502,0.6699998678592176,1.3008109832123634e-07,1.3084718239918318e-07,1.0112536595065406e-09,3.5480841982166563e-10,3.2011799922156428e-18,1.7891720779624603e-10,2.570416727367404e-10,1.1296708683725513e-10,2.03435529033469e-13,1.576601644206243e-11
2.313405272753043e-07,0.11224537192329717,0.0,0.0,0.0,0.0,0.32999986035969586,0.6699998595018419,1.3827425423315448e-07,1.3910399721697627e-07,1.0750564073093648e-09,3.6335236437863297e-10,3.403151158486697e-18,1.9721485688974798e-10,2.905052842802077e-10,1.331227381829836e-10,2.443510916388958e-13,1.736571772930736e-11
2.450532973212356e-07,0.11224537191748193,0.0,0.0,0.0,0.0,0.32999985206704213,0.6699998511424188,1.4646750206951597e-07,1.47360610060102e-07,1.1388598588935683e-09,3.7189591630497924e-10,3.60512455254156e-18,2.1594148596872701e-10,3.260156489441016e-10,1.552632981423282e-10,2.9041437878583807e-13,1.9001369030102554e-11
2.5876606736716687e-07,0.11224537191168833,0.0,0.0,0.0,0.0,0.3299998437721915,0.6699998427809488,1.5466088801255372e-07,1.556170206595581e-07,1.202664375200744e-09,3.8043932218856434e-10,3.80710131710089e-18,2.3505688980575495e-10,3.6357279539914205e-10,1.794324858855565e-10,3.419304818854748e-13,2.0669475203951593e-11
2.71107560408505e-07,0.11224537190649277,0.0,0.0,0.0,0.0,0.3299998363049123,0.6699998352538752,1.6203508796992526e-07,1.6304761720304553e-07,1.2600896198050504e-09,3.881283217764596e-10,3.9888841403812044e-18,2.525630357809459e-10,3.9912425840888027e-10,2.029519842913062e-10,3.9320932430888147e-13,2.219591150233405e-11
2.834490534498432e-07,0.11224537190131481,0.0,0.0,0.0,0.0,0.32999982883579054,0.669999827725143,1.694094613261673e-07,1.7047805000965392e-07,1.3175162071551458e-09,3.9581708807849743e-10,4.170671214167966e-18,2.703303644913914e-10,4.3633368253918427e-10,2.2817309475585437e-10,4.4937458201408855e-13,2.374399018973692e-11
2.9579054649118133e-07,0.1122453718961544,0.0,0.0,0.0,0.0,0.32999982136480027,0.6699998201947513,1.7678403353388165e-07,1.7790831905082004e-07,1.374944335875282e-09,4.0350563331434434e-10,4.352463167182635e-18,2.8833658799710397e-10,4.752011090981478e-10,2.551200588538972e-10,5.106487668421677e-13,2.5311791742223988e-11
3.081320395325195e-07,0.11224537189101162,0.0,0.0,0.0,0.0,0.32999981389191746,0.6699998126627008,1.8415882775584028e-07,1.8533842430064888e-07,1.432374187146568e-09,4.1119396703156896e-10,4.534260573052721e-18,3.0656137494044615e-10,5.15726585068746e-10,2.838149919431842e-10,5.772544243631018e-13,2.689757194460274e-11
3.2047353257385763e-07,0.11224537188588617,0.0,0.0,0.0,0.0,0.3299998064171207,0.669999805128991,1.9153386493280198e-07,1.9276836560484746e-07,1.4898059241011107e-09,4.188822271751769e-10,4.7160639481182065e-18,3.249862930214088e-10,5.579101629420682e-10,3.1427794536209864e-10,6.494141324665359e-13,2.8499757051575413e-11
3.328150256151958e-07,0.11224537188077828,0.0,0.0,0.0,0.0,0.32999979894039,0.6699997975936215,1.9890916416710031e-07,2.0019814309331266e-07,1.547239697011433e-09,4.265702675023749e-10,4.897873768353179e-18,3.435944835355449e-10,6.017518997359082e-10,3.4652726257003164e-10,7.27350504614619e-13,3.0116912125571635e-11
3.4515651865653394e-07,0.11224537187568755,0.0,0.0,0.0,0.0,0.32999979146170727,0.6699997900565926,2.0628474314084098e-07,2.0762775662601754e-07,1.6046756411241632e-09,4.342582116960165e-10,5.07969046102371e-18,3.6237031242309356e-10,6.472518559520367e-10,3.805799606015668e-10,8.112861954616425e-13,3.17477074940043e-11
