Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11)
1.1745565347981795e-11,0.11224537200017337,0.0,0.0,0.0,0.0,0.32999999999291757,0.6699999999944621,7.081571824183148e-12,5.537187100082598e-12,8.866190060897595e-16,1.5452710456637647e-12,2.8060171090786928e-24,6.871226843842562e-20,9.095800276687987e-21,2.2977934179298573e-24,3.526677344489194e-26,5.960465052565676e-20,1.234602438604658e-19
1.5660824602778802e-11,0.11224537200023085,0.0,0.0,0.0,0.0,0.3299999999905567,0.6699999999926133,9.441769450146413e-12,7.385299931790054e-12,1.5512127375630447e-15,2.058020213427487e-12,4.909621675950661e-24,1.2532991443176942e-19,2.063508110671249e-20,5.387080585341628e-24,8.20404549119907e-26,1.0466810894689578e-19,2.1680049085960372e-19
2.3491343112372813e-11,0.11224537200034534,0.0,0.0,0.0,0.0,0.32999999998583496,0.6699999999889117,1.4161613065626938e-11,1.1085106327195501e-11,3.432091901218749e-15,3.079937698185925e-12,1.0863248145224788e-23,3.019877571150224e-19,6.845948126313221e-20,1.9272483499066695e-23,2.793125557962728e-25,2.3344029283053474e-19,4.835254077074047e-19
3.915238013156083e-11,0.1122453720005725,0.0,0.0,0.0,0.0,0.3299999999763915,0.6699999999814918,2.3599156033671988e-11,1.8498953406595073e-11,9.338280528281337e-15,5.109537903036422e-12,2.9558840015662314e-23,9.636804469740341e-19,3.174128300165673e-19,1.0375645698178734e-22,1.328102216617512e-24,6.458666047405549e-19,1.3377693430396364e-18
5.4813417150748856e-11,0.11224537200079722,0.0,0.0,0.0,0.0,0.32999999996694807,0.6699999999740506,3.3033920205573726e-11,2.5931661931825998e-11,1.8023419539843633e-14,7.120276026057032e-12,5.705138699678306e-23,2.1068244477221934e-18,8.405914144183706e-19,3.0386957243646603e-22,3.5653509373765586e-24,1.265184994924001e-18,2.620522683140467e-18
7.047445416993688e-11,0.11224537200101953,0.0,0.0,0.0,0.0,0.3299999999575046,0.6699999999665878,4.2466014716359254e-11,3.3383065818308006e-11,2.937828054435487e-14,9.112318150242794e-12,9.299511923871061e-23,3.8265319843220345e-18,1.7325111969721744e-18,6.828823707059628e-22,7.430596003118213e-24,2.0918877958260295e-18,4.3327926560774054e-18
8.613549118912491e-11,0.11224537200123949,0.0,0.0,0.0,0.0,0.3299999999480612,0.669999999959104,5.1895548341024406e-11,4.0852993743070596e-11,4.3293995658771233e-14,1.1085835596976896e-11,1.370454081055932e-22,6.217445982419352e-18,3.087225647956653e-18,1.3166666032382016e-21,1.3377676858535937e-23,3.126467191172178e-18,6.475585734589243e-18
9.999999999999999e-11,0.11224537200167242,0.0,0.0,0.0,0.0,0.329999999939701,0.6699999999524611,6.024132892443968e-11,4.748135444164898e-11,5.767404388307785e-14,1.2817631574238678e-11,1.8256567196127645e-22,8.960603566981471e-18,4.738709173520778e-18,2.1583993749699728e-21,2.071707488625797e-23,4.216199148817473e-18,8.732578543221875e-18
1.1745756522750097e-10,0.11224537200167242,0.0,0.0,0.0,0.0,0.3299999999291743,0.6699999999440739,7.074731340908321e-11,5.584779312976275e-11,7.842718665893172e-14,1.4977925030011945e-11,2.4826020266481904e-22,1.3343741896056269e-17,7.513800629353233e-18,3.687660993702887e-21,3.3197953420456304e-23,5.821037344911896e-18,1.2056383081528858e-17
1.4877963926587703e-10,0.11224537200209622,0.0,0.0,0.0,0.0,0.3299999999102874,0.6699999999289626,8.959001630095396e-11,7.091470881476636e-11,1.226214185868881e-13,1.8797895589928662e-11,3.8815833419288487e-22,2.4182189600705202e-17,1.4812358433704243e-17,8.205826361362806e-21,6.66597579138766e-23,9.352724652222856e-18,1.9370741468568206e-17
1.8010171330425309e-10,0.1122453720025112,0.0,0.0,0.0,0.0,0.3299999998914005,0.6699999999137727,1.0842443789513169e-10,8.605234159962151e-11,1.7509514803677137e-13,2.254714646239681e-11,5.542657742592461e-22,3.941192656117586e-17,2.5657593836552046e-17,1.585822044082219e-20,1.175840769153139e-22,1.3725484068381044e-17,2.842674213127474e-17
2.1142378734262914e-10,0.1122453720029175,0.0,0.0,0.0,0.0,0.3299999998725136,0.6699999998985054,1.2725127616928669e-10,1.0125933433156156e-10,2.35149804022899e-13,2.622703478779459e-11,7.4437114923275965e-22,5.96400895445957e-17,4.065251882906455e-17,2.781518818633133e-20,1.8975443916968554e-22,1.8943140630136478e-17,3.9232197538326706e-17
2.427458613810052e-10,0.1122453720033154,0.0,0.0,0.0,0.0,0.3299999998536267,0.6699999998831634,1.460711405662704e-10,1.1653439551844353e-10,3.0217542662267306e-13,2.9838852046481243e-11,9.565435897865684e-22,8.53969376436986e-17,6.032363691461318e-17,4.539339827989085e-20,2.8685131407486685e-22,2.5009327004031467e-17,5.1794523971010733e-17
2.7406793541938126e-10,0.11224537200370503,0.0,0.0,0.0,0.0,0.3299999998347398,0.6699999998677478,1.6488456951406954e-10,1.318762868995254e-10,3.7563313191576263e-13,3.338383648789615e-11,1.1890772224789019e-21,1.1715109372811157e-16,8.513611391894388e-17,7.003512076238411e-20,4.124829618473936e-22,3.1927522182267656e-17,6.612082083273661e-17
3.1938770000264254e-10,0.11224537200425469,0.0,0.0,0.0,0.0,0.32999999980741246,0.6699999998453173,1.9209529809800485e-10,1.5419018443204873e-10,4.922469554775387e-13,3.839726787938617e-11,1.5582237048604493e-21,1.7463256967070192e-16,1.3105160190998106e-16,1.212929163363463e-19,6.521984319781083e-22,4.34527234395727e-17,8.99864792156951e-17
3.647074645859038e-10,0.11224537200478811,0.0,0.0,0.0,0.0,0.3299999997800851,0.6699999998227418,2.1929506640396957e-10,1.766377333739435e-10,6.198118862380995e-13,4.327704231294e-11,1.9620366566326594e-21,2.4685682984884317e-16,1.899011550191253e-16,1.9551817250875819e-19,9.70344243940824e-22,5.677916981698768e-17,1.1758083538719882e-16
4.100272291691651e-10,0.11224537200530582,0.0,0.0,0.0,0.0,0.3299999997527576,0.6699999998000271,2.4648517031810485e-10,1.9921532318981991e-10,7.570309466025942e-13,4.802677029097495e-11,2.396410407631409e-21,3.3495264472577466e-16,2.6280437394670217e-16,2.980919937544681e-19,1.3780495519571082e-21,7.191696920197415e-17,1.4892449212627734e-16
4.553469937524264e-10,0.1122453720058084,0.0,0.0,0.0,0.0,0.3299999997254302,0.6699999997771771,2.736667179100419e-10,2.219194740975961e-10,9.027951374005489e-13,5.2649931563803365e-11,2.8578343460895213e-21,4.398856753299961e-16,3.5071856304669803e-16,4.348211304202727e-19,1.886373030563343e-21,8.887583802104285e-17,1.8403724101700104e-16
5.006667583356877e-10,0.11224537200629628,0.0,0.0,0.0,0.0,0.3299999996981028,0.6699999997541962,3.0084070577811004e-10,2.447467792731699e-10,1.0561070269338519e-12,5.7149932924421274e-11,3.343151034607973e-21,5.625247883586109e-16,4.545047276811199e-16,6.118247098078384e-19,2.5064094636671585e-21,1.0766527178822078e-16,2.2293841317755674e-16
5.459865229189491e-10,0.11224537200677,0.0,0.0,0.0,0.0,0.32999999967077537,0.669999999731089,3.2800799280876624e-10,2.6769394987884823e-10,1.2161070139489446e-12,6.153006318049759e-11,3.8496393473679404e-21,7.036192038532651e-16,5.749048799413638e-16,8.355267490683079e-19,3.2491930191825213e-21,1.282944138520539e-16,2.6564660996237997e-16
5.913062875022104e-10,0.11224537200722991,0.0,0.0,0.0,0.0,0.32999999964344795,0.669999999707859,3.551693554873716e-10,2.9075776598997064e-10,1.3820179692881392e-12,6.579354222729428e-11,4.374839229539594e-21,8.638465527491597e-16,7.125898525915613e-16,1.1125879537566756e-18,4.125792410546784e-21,1.5077219940398714e-16,3.1217999890622683e-16
6.366260520854717e-10,0.11224537200767654,0.0,0.0,0.0,0.0,0.32999999961612053,0.6699999996845103,3.823254698066123e-10,3.139351098414588e-10,1.5531633429003316e-12,6.994348780142697e-11,4.916609016247326e-21,1.0437971110372665e-15,8.681436467314973e-16,1.4498960285387374e-18,5.147238217925819e-21,1.751072581948954e-16,3.6255611416062954e-16
6.81945816668733e-10,0.11224537200811019,0.0,0.0,0.0,0.0,0.3299999995887931,0.6699999996610463,4.0947694532200813e-10,3.3722293144178777e-10,1.7289330790742863e-12,7.398294986657406e-11,5.47301753493888e-21,1.2440033987674761e-15,1.042092872835932e-15,1.854531553809635e-18,6.3245916812652156e-21,2.013080151991345e-16,4.167920632722392e-16
7.272655812519944e-10,0.11224537200853134,0.0,0.0,0.0,0.0,0.3299999995614657,0.6699999996374708,4.3662431310402157e-10,3.606182746012624e-10,1.9087956745754354e-12,7.79148845854438e-11,6.042382276231685e-21,1.4649296710727838e-15,1.2348963244127801e-15,2.333753038266978e-18,7.668885361288061e-21,2.2938261459793087e-16,4.7490437134524e-16
7.725853458352557e-10,0.1122453720089403,0.0,0.0,0.0,0.0,0.3299999995341383,0.6699999996137869,4.6376804929285605e-10,3.841182515360718e-10,2.0922746036224054e-12,8.174217971548253e-11,6.6231947655840165e-21,1.7069923958215281e-15,1.4469653430359714e-15,2.8949760360610316e-18,9.191174115215641e-21,2.593389942003897e-16,5.369091339003287e-16
8.17905110418517e-10,0.11224537200933758,0.0,0.0,0.0,0.0,0.32999999950681086,0.6699999995899983,4.909085692111534e-10,4.077200614165741e-10,2.2789542101503936e-12,8.546763606076449e-11,7.214139215652642e-21,1.9705551035328563e-15,1.6786587192937652e-15,3.545753311035774e-18,1.0902489941550694e-20,2.9118483145238453e-16,6.028219063086013e-16
