Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247)
3.756261811035116e-07,0.11224537187355625,0.0,0.0,0.0,0.0,0.3299997726198151,0.6699997711290101,2.2470673104607828e-07,2.2596769775945852e-07,1.7478190623570013e-09,4.5461967236217027e-10,5.532818966160467e-18,5.469311914031317e-10,9.225096129799692e-10,6.028492001463448e-10,1.04681945347098e-12,1.0944530544975345e-10,6.3999595137505e-11,2.7517518447861798e-14,8.34154593338028e-14,4.730970434229793e-22,1.0988890850429328e-14,3.0161033034977876e-15,9.064793894156365e-13,6.628647511847648e-20,2.1748827859741653e-19,1.4427734364927111e-28,4.365012406391497e-23,1.036098074628806e-28,7.172767495771187e-30,3.64520033565871e-28,2.171345969430982e-27,1.4398317518032388e-33
3.8403394330138003e-07,0.11224537187069855,0.0,0.0,0.0,0.0,0.32999976749934407,0.6699997659763088,2.2974595402365876e-07,2.3102878396584282e-07,1.7870539203504353e-09,4.5988807222822846e-10,5.657019103288873e-18,5.659265559422736e-10,9.643500787386236e-10,6.394195785116193e-10,1.1187444115675847e-12,1.1291917913319202e-10,6.591887328254775e-11,2.902789838159634e-14,8.924273070620085e-14,5.061468511186808e-22,1.2037061265199845e-14,3.1006009238201743e-15,9.269403307036267e-13,7.124659152791371e-20,2.3916349688550266e-19,1.5472254287377978e-28,4.6699453595272483e-23,1.16540014781982e-28,8.165355920187251e-30,4.055873372580747e-28,2.470392398739327e-27,1.638134248449569e-33
3.9244170549924845e-07,0.11224537186786546,0.0,0.0,0.0,0.0,0.32999976237724427,0.6699997608225147,2.3478586390126458e-07,2.3608979484477292e-07,1.8262941230563762e-09,4.651564017591659e-10,5.781236159403516e-18,5.850430411127669e-10,1.007120091559872e-09,6.772424448523309e-10,1.193894975895221e-12,1.1640647306606953e-10,6.784229997746874e-11,3.0586207779353036e-14,9.532587802954253e-14,5.406478785247799e-22,1.3157548872374027e-14,3.1858418847387827e-15,9.47406396931748e-13,7.645494157421838e-20,2.624415274799309e-19,1.6567295764640201e-28,4.9882679541644064e-23,1.307411136063467e-28,9.26687989131728e-30,4.502452692062849e-28,2.8027347422081555e-27,1.8585161351743594e-33
4.0084946769711687e-07,0.11224537186505704,0.0,0.0,0.0,0.0,0.32999975725350733,0.6699997556676274,2.39826468944918e-07,2.411507304221979e-07,1.8655397353435615e-09,4.704246610338213e-10,5.9054703398500825e-18,6.042744317540071e-10,1.0508197884845476e-09,7.163256034709334e-10,1.2723423518523465e-12,1.1990638462835197e-10,6.976955316389012e-11,3.2192933609765286e-14,1.0166955395951683e-13,5.766265135284902e-22,1.4353482626061192e-14,3.2718244413364435e-15,9.678776251430337e-13,8.191815083462505e-20,2.874014290488801e-19,1.771423557023702e-28,5.320223658942587e-23,1.463057940872906e-28,1.0486265956452437e-29,4.987220569483979e-28,3.1712305248281865e-27,2.102872340145473e-33
4.092572298949853e-07,0.11224537186227332,0.0,0.0,0.0,0.0,0.32999975212812516,0.6699997505116465,2.448677769084142e-07,2.4621159072436053e-07,1.9047908170029682e-09,4.756928501321655e-10,6.029721833900298e-18,6.236148596592442e-10,1.0954493082772959e-09,7.566763995907048e-10,1.3541577842876765e-12,1.2341816791732777e-10,7.170033937765721e-11,3.384855688963969e-14,1.0827835419280414e-13,6.14108820969717e-22,1.562805598981629e-14,3.358554152936044e-15,9.883540399385283e-13,8.764288863935407e-20,3.141246611043924e-19,1.8914469638249998e-28,5.666052961875101e-23,1.633314809128516e-28,1.1832944080800729e-29,5.512567446199118e-28,3.57894403353937e-27,2.373234904531386e-33
4.176649920928537e-07,0.1122453718595143,0.0,0.0,0.0,0.0,0.3299997470010898,0.6699997453545721,2.4990979511298995e-07,2.5127237577775024e-07,1.944047425625637e-09,4.809609691267075e-10,6.153990823861719e-18,6.430587513791197e-10,1.1410087911356848e-09,7.983017918938171e-10,1.4394125533183133e-12,1.269411239833753e-10,7.363438832232966e-11,3.555355369489508e-14,1.1515682404051618e-13,6.531205799228174e-22,1.6984519192223947e-14,3.4460275854477675e-15,1.008835676934263e-12,9.363586280980933e-20,3.426948350332192e-19,2.0169431921001382e-28,6.025993713061001e-23,1.819203935025627e-28,1.3316865501953293e-29,6.080983237687145e-28,4.029132204069922e-27,2.6717636203142697e-33
4.2607275429072213e-07,0.11224537185678002,0.0,0.0,0.0,0.0,0.3299997418723942,0.6699997401964037,2.549525304851383e-07,2.563330856090801e-07,1.983309615423799e-09,4.862290180892945e-10,6.2782774813462554e-18,6.626008062838054e-10,1.1874983785685974e-09,8.412083844330977e-10,1.5281779736615768e-12,1.3047459621205174e-10,7.557145012096281e-11,3.730839534358076e-14,1.2230946029354424e-13,6.936872942760634e-22,1.8426177159348064e-14,3.5342441618860813e-15,1.02932256605417e-12,9.99038179860743e-20,3.7319767753645786e-19,2.1480563698009345e-28,6.400281225001618e-23,2.021793889532198e-28,1.4948483723594644e-29,6.6950551131635475e-28,4.525249151992378e-27,3.000749041805118e-33
4.42888278686459e-07,0.11224537185138561,0.0,0.0,0.0,0.0,0.32999973160999485,0.6699997298767845,2.650401786853035e-07,2.6645427971339896e-07,2.061850939736479e-09,4.967649062034539e-10,6.5269044357625785e-18,7.019594300652287e-10,1.283268438981474e-09,9.308900077112408e-10,1.716526196118791e-12,1.3757064731682167e-10,7.945369937634681e-11,4.0969474853029105e-14,1.3745498914475473e-13,7.795863000788833e-22,2.1578557694937273e-14,3.712917951100066e-15,1.070312194057966e-12,1.1329183286188026e-19,4.403546369150179e-19,2.427722063389903e-28,7.19282574324467e-23,2.4816000880894063e-28,1.8699342349448986e-29,8.0710211645591875e-28,5.670107849042819e-27,3.759929957175214e-33
4.597038030821959e-07,0.11224537184609017,0.0,0.0,0.0,0.0,0.32999972134087574,0.6699997195527868,2.7513076985624436e-07,2.765751732549965e-07,2.1404151675416276e-09,5.073005150114515e-10,6.77560389246506e-18,7.416532695278367e-10,1.3827606448533266e-09,1.0257677444306105e-09,1.9197736567461148e-12,1.4470181089741714e-10,8.334543594921101e-11,4.483547036543605e-14,1.5374998184366308e-13,8.720045766006565e-22,2.5112694243608714e-14,3.894575345296762e-15,1.1113231282833443e-12,1.278616337606043e-19,5.163235398861247e-19,2.731648166361826e-28,8.04552017866819e-23,3.022292464574189e-28,2.318016207187555e-29,9.66322373710173e-28,7.04534749558893e-27,4.6718836059385174e-33
4.765193274779328e-07,0.11224537184089377,0.0,0.0,0.0,0.0,0.3299997110649914,0.6699997092244091,2.8522434716016567e-07,2.866957664544464e-07,2.2190026357872987e-09,5.178358450213278e-10,7.024376918081637e-18,7.81648535765821e-10,1.4859761684771849e-09,1.1258833937870616e-09,2.138492120247119e-12,1.5186411137887388e-10,8.724525180374769e-11,4.890998013435878e-14,1.7122874039099758e-13,9.711366702223924e-22,2.9056922546836717e-14,4.079217802745773e-15,1.1523555495498538e-12,1.4366852792424058e-19,6.01866915228314e-19,3.0610769510856357e-28,8.960159519285363e-23,3.6542800156803637e-28,2.8494875713172276e-29,1.1496166944317611e-27,8.686444930589613e-27,5.760136078390818e-33
