Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70)
1.277958646057196e-10,0.11224537200181328,0.0,0.0,0.0,0.0,0.3299999999229403,0.6699999999390955,7.69677041649189e-11,6.08127726302117e-11,9.192556207167892e-14,1.6246833324621208e-11,2.909896626028119e-22,1.659481608637154e-17,9.747763789081644e-18,5.0251985673972484e-21,4.313771633250163e-23,8.8536369202456e-18,1.4281063007374788e-17,3.6056797260330018e-25,4.448675647501912e-28,2.5227607938786403e-36,1.6757393042758387e-32,1.441658268890394e-20,1.8989289092507334e-18,4.1235469135829044e-33,4.5265586542619624e-36,7.379118603683597e-43,2.3253008443535223e-37
1.633222025434945e-10,0.11224537200229003,0.0,0.0,0.0,0.0,0.3299999999015183,0.6699999999219203,9.833583455815116e-11,7.793397730722736e-11,1.4581857357771783e-13,2.0547641407818736e-11,4.615897085673091e-22,3.083556326202173e-17,1.968262881310568e-17,1.1575152151880586e-20,8.884540005817329e-23,1.522785952544511e-17,2.3361530125419378e-17,9.08711857740965e-25,1.38011175167203e-27,7.826553132328115e-36,6.324235961032174e-32,2.837965365681701e-20,3.799191381832878e-18,1.0561394983698062e-32,1.4239226984425395e-35,2.289695035496005e-42,7.215304350951349e-37
1.988485404812694e-10,0.11224537200275539,0.0,0.0,0.0,0.0,0.32999999988009626,0.6699999999046444,1.1969364983959055e-10,9.514546832710441e-11,2.100231123234544e-13,2.4758159888190243e-11,6.648315903894503e-22,5.10224269298101e-17,3.454779811875037e-17,2.2809677819848985e-20,1.5896071318973605e-22,2.366726650326248e-17,3.4686523409580314e-17,1.910709501737469e-24,3.425696767111122e-27,1.9427300299518912e-35,1.8263307275561746e-31,4.858038959102468e-20,6.607888992120147e-18,2.2542981658093027e-32,3.578066090181827e-35,5.684230181004568e-42,1.791225359948685e-36
2.343748784190443e-10,0.11224537200320987,0.0,0.0,0.0,0.0,0.32999999985867423,0.6699999998872712,1.4104216135724663e-10,1.1244524476920084e-10,2.8352679449883395e-13,2.888038970044013e-11,8.975105387481395e-22,7.803617223232708e-17,5.524935750102495e-17,4.0525189646339394e-20,2.590935848537226e-22,3.43539129252446e-17,4.8267557741516134e-17,3.569047800659106e-24,7.381615926387288e-27,4.186203424418249e-35,4.483644038004225e-31,7.575550353884031e-20,1.0470092150592097e-17,4.273265540839546e-32,7.801753481368904e-35,1.22494886539711e-41,3.8600922630031975e-36
2.699012163568192e-10,0.11224537200365373,0.0,0.0,0.0,0.0,0.3299999998372522,0.6699999998698031,1.6238225194261196e-10,1.298313903298963e-10,3.6544588606279986e-13,3.2916247167771576e-11,1.1568290338542782e-21,1.126461391912662e-16,8.258711741229492e-17,6.676431645561547e-20,3.9474775857253196e-22,4.7447106023196736e-17,6.411563899294694e-17,6.121008074151011e-24,1.4395007046718203e-26,8.163661040914844e-35,9.850003537307218e-31,1.1038774064432948e-19,1.5503739362792804e-17,7.438343608313899e-32,1.539781535257724e-34,2.388981371523316e-41,7.528238927761304e-36
3.054275542945941e-10,0.11224537200408718,0.0,0.0,0.0,0.0,0.32999999981583017,0.6699999998522427,1.837146821825756e-10,1.4730209009248014e-10,4.550190241465372e-13,3.6867547230721996e-11,1.440376930128727e-21,1.555155946292231e-16,1.1725859277304728e-16,1.0375691915954653e-19,5.712656291375961e-22,6.30844629701271e-17,8.224116758389264e-17,9.831230422578729e-24,2.600088815730922e-26,1.4745675037850865e-34,1.9875132939763705e-30,1.5275265995932364e-19,2.1802125593825835e-17,1.2128266388673513e-31,2.8155633684335795e-34,4.3153580930565235e-41,1.359872535681849e-35
3.7648023017014383e-10,0.11224537200492415,0.0,0.0,0.0,0.0,0.3299999997729861,0.6699999998168553,2.2635930040419823e-10,1.824900799560045e-10,6.543858731373215e-13,4.4523547518486e-11,2.0714823115306322e-21,2.6842264153537324e-16,2.111411262464859e-16,2.1967057242751043e-19,1.0682233936236182e-21,1.024883860809419e-16,1.253649986629357e-16,2.189133832057052e-23,7.131316280684001e-26,4.044373889922513e-34,6.709652670921744e-30,2.6132030175832835e-19,3.850260859824329e-17,2.784692969162153e-31,7.928420800419456e-34,1.1836963302606742e-40,3.7301197179685293e-35
4.353882069734257e-10,0.11224537200558898,0.0,0.0,0.0,0.0,0.3299999997374651,0.6699999997872573,2.616971613361408e-10,2.1190484206802318e-10,8.373648185924926e-13,5.0629644752500173e-11,2.6507113344407312e-21,3.918991136822954e-16,3.1637992860173176e-16,3.705750093309694e-19,1.6506187794918291e-21,1.4387631487543108e-16,1.6811159635990843e-16,3.8099552328902077e-23,1.4385855673358225e-25,8.158688155209532e-34,1.5649294017814154e-29,3.7542171240343874e-19,5.676332262119052e-17,4.969825551524083e-31,1.63387076481956e-33,2.3879825433253565e-40,7.525134609075002e-35
4.942961837767076e-10,0.11224537200622862,0.0,0.0,0.0,0.0,0.3299999997019441,0.6699999997574353,2.970214754939766e-10,2.4153025275314873e-10,1.0338655914521637e-12,5.6525085002477364e-11,3.2727446151869332e-21,5.446479269083182e-16,4.488685710087165e-16,5.85010164734698e-19,2.4134032080511587e-21,1.9362760166610252e-16,2.1724435100190387e-16,6.165094559580379e-23,2.6501799124452657e-25,1.50301153223625e-33,3.2744589250248525e-29,5.109235047500177e-19,7.923141929063322e-17,8.24289147053855e-31,3.073641029501508e-33,4.399363033953401e-40,1.3863517281240913e-34
5.532041605799895e-10,0.11224537200684423,0.0,0.0,0.0,0.0,0.3299999996664231,0.669999999727398,3.3233424036352545e-10,2.713589959105552e-10,1.2418886937315332e-12,6.221718453389495e-11,3.931252607864151e-21,7.284171458064392e-16,6.105641951548516e-16,8.768637750713438e-19,3.3808735613575075e-21,2.5210919967455905e-16,2.728046907563117e-16,9.428359978516836e-23,4.549008762604706e-25,2.5799159392405845e-33,6.293372997840104e-29,6.670245560646739e-19,1.0602808052782347e-16,1.291464981923697e-30,5.3851246173455484e-33,7.551725167272892e-40,2.379743767384685e-34
6.121121373832714e-10,0.11224537200743666,0.0,0.0,0.0,0.0,0.32999999963090215,0.669999999697155,3.6763717141905646e-10,3.0138399069135356e-10,1.459716931386098e-12,6.771302436744667e-11,4.620799418755461e-21,9.447097808269587e-16,8.031852936413152e-16,1.2607767809256954e-18,4.577366527323175e-21,3.1963793559154375e-16,3.3483256656260136e-16,1.3784595774120074e-22,7.380667955494737e-25,4.1858718294504646e-33,1.1307212565794295e-28,8.426869928049794e-19,1.3722004660229165e-16,1.9335090855399815e-30,8.914966492660217e-33,1.225285112652871e-39,3.861192892077565e-34
6.710201141865533e-10,0.11224537200800691,0.0,0.0,0.0,0.0,0.3299999995953812,0.669999999666714,4.0293172025985076e-10,3.3159841668499466e-10,1.6858972586150832e-12,7.30194250901556e-11,5.336785333248459e-21,1.1947994114894375e-15,1.028224668088616e-15,1.7520303419611725e-18,6.0271735729162045e-21,3.9648362991303703e-16,4.033663104053192e-16,1.942822261443127e-22,1.143751146075724e-24,6.486688132914674e-33,1.922965697850634e-28,1.0366967249230348e-18,1.7282546376146488e-16,2.7893197875543103e-30,1.4091483016283337e-32,1.898816509373751e-39,5.98366958003182e-34
