Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15)
3.3166352725433993e-09,0.11224537201992565,0.0,0.0,0.0,0.0,0.32999999800009083,0.6699999981775674,1.9861267293182338e-09,1.8086351682648452e-09,1.3734196161449667e-11,1.912468268129525e-10,4.3476346058912054e-20,5.309600723696194e-14,4.8094143082378604e-14,4.222333137863146e-16,7.23131387645804e-19,5.123510242631676e-15,1.0589928912243442e-14,4.9708165373219826e-20,1.5896499573077663e-21,9.015773239405297e-30,1.4032562370533663e-24,7.918539296291573e-17
3.509602146360753e-09,0.11224537202020635,0.0,0.0,0.0,0.0,0.32999999788373235,0.6699999980637035,2.1015798925296186e-09,1.921591714858251e-09,1.4633141977232842e-11,1.9464540453399071e-10,4.6322009309989587e-20,6.010300183867443e-14,5.449696784273775e-14,5.075556398480459e-16,8.567203792139544e-19,5.756322853154833e-15,1.1896441103666249e-14,5.972533543341936e-20,2.028036988276075e-21,1.1502109029161126e-29,1.9001076320515777e-24,8.973644912916207e-17
3.7025690201781066e-09,0.11224537202044674,0.0,0.0,0.0,0.0,0.3299999977673737,0.669999997949481,2.2170327181830062e-09,2.0349062432340323e-09,1.553211174113432e-11,1.9768588102992482e-10,4.9167748369012916e-20,6.754964445475957e-14,6.13056286058744e-14,6.037792227157118e-16,1.0058238645403573e-18,6.427059459377303e-15,1.3280997994542154e-14,7.100448016516908e-20,2.5517069272102817e-21,1.4472132096511606e-29,2.5293490108201646e-24,1.0095800272326753e-16
3.89553589399546e-09,0.1122453720206513,0.0,0.0,0.0,0.0,0.32999999765101506,0.6699999978349389,2.3324851151522984e-09,2.148539753186436e-09,1.6431197615648957e-11,2.0040725615080139e-10,5.201385498806894e-20,7.543564659522627e-14,6.85200446388672e-14,7.115673630350078e-16,1.171294067334526e-18,7.135781144345608e-15,1.4743696824273088e-14,8.36180216658597e-20,3.171028368028083e-21,1.7984648638180333e-29,3.31590208679499e-24,1.128501342968469e-16
4.088502767812814e-09,0.11224537202082402,0.0,0.0,0.0,0.0,0.32999999753465625,0.669999997720112,2.4479371514547824e-09,2.2624574291823133e-09,1.73303324559985e-11,2.0284434511224395e-10,5.486011660082767e-20,8.376084595847641e-14,7.614027273136864e-14,8.3158263948454e-16,1.3539831797755215e-18,7.882536490960048e-15,1.6284608948341883e-14,9.763775514411175e-20,3.896940308564125e-21,2.2101699940471607e-29,4.2876310548094186e-24,1.254131505731567e-16
4.281469641630168e-09,0.11224537202096846,0.0,0.0,0.0,0.0,0.32999999741829733,0.6699999976050318,2.5633889820393747e-09,2.3766280823204278e-09,1.822936208784642e-11,2.0502833653104893e-10,5.770604519902599e-20,9.252514540632798e-14,8.416644480295322e-14,9.644870672488527e-16,1.5547434790948646e-18,8.667363259681907e-15,1.7903783325964955e-14,1.131348786041169e-19,4.7409464401079454e-21,2.6888529991846074e-29,5.475502999871402e-24,1.3864748183149502e-16
4.474436515447521e-09,0.1122453720210875,0.0,0.0,0.0,0.0,0.3299999973019383,0.669999997489726,2.6788405847280026e-09,2.491023943774475e-09,1.91283095959681e-11,2.069869989802836e-10,6.055171374695321e-20,1.0172828473654865e-13,9.259853976038813e-14,1.1109427467229014e-15,1.7744273065021737e-18,9.490289009732725e-15,1.9601247811462214e-14,1.3018008739648996e-19,5.715108994235768e-21,3.2413550584888374e-29,6.913731978697137e-24,1.525533070225771e-16
4.667403389264875e-09,0.11224537202118387,0.0,0.0,0.0,0.0,0.32999999718557926,0.6699999973742188,2.79429177102353e-09,2.6056204995824683e-09,2.002736450796343e-11,2.0874484619838858e-10,6.339772251358847e-20,1.1136985050571978e-13,1.0143639283463722e-13,1.2716118305572251e-15,2.013886883754082e-18,1.0351331595659307e-14,2.1377010185957858e-14,1.4884357519120943e-19,6.832044010219204e-21,3.874831447446712e-29,8.639922264876198e-24,1.671305691453288e-16
4.8603702630822286e-09,0.11224537202126027,0.0,0.0,0.0,0.0,0.32999999706922006,0.6699999972585322,2.909742515097977e-09,2.7203959988303544e-09,2.0926553523976635e-11,2.1032362890108535e-10,6.624415518187264e-20,1.214495624501638e-13,1.1067997981775848e-13,1.4471556878950138e-15,2.273974281507001e-18,1.1250500645414327e-14,2.3231061229186538e-14,1.6919492717334232e-19,8.104917661008184e-21,4.5967494541981167e-29,1.0695228510140001e-23,1.8237944226121732e-16
5.053337136899582e-09,0.1122453720213188,0.0,0.0,0.0,0.0,0.32999999695286075,0.6699999971426855,3.025193043474215e-09,2.8353308367616855e-09,2.182565076103242e-11,2.1174295166605823e-10,6.909029899561703e-20,1.3196735289951458e-13,1.2032949454276216e-13,1.6382346596678031e-15,2.5555416783904103e-18,1.2187799414666372e-14,2.5163378574028892e-14,1.9130309501643465e-19,9.547441130120588e-21,5.414885473486948e-29,1.312452288277135e-23,1.9830045869498304e-16
5.246304010716936e-09,0.11224537202136149,0.0,0.0,0.0,0.0,0.32999999683650133,0.669999997026697,3.140643460569208e-09,2.9504073432596467e-09,2.2724552535531037e-11,2.130204844489941e-10,7.19358194718893e-20,1.4292304290552892e-13,1.3038502535890507e-13,1.8455089822535867e-15,2.8594414982621592e-18,1.316322542297219e-14,2.717392802938852e-14,2.1523652922275762e-19,1.1173863772914255e-20,6.337321129216776e-29,1.5976542750810244e-23,2.1489397736929184e-16
5.4392708845342895e-09,0.11224537202138989,0.0,0.0,0.0,0.0,0.3299999967201419,0.6699999969105818,3.2560935235533607e-09,3.06560996471907e-09,2.3623502697872373e-11,2.141717807132375e-10,7.478150566599707e-20,1.5431614666256323e-13,1.4084636061547617e-13,2.069639352106679e-15,3.1865260846801633e-18,1.4176769907293119e-14,2.926266244398196e-14,2.410632597115029e-19,1.299896772200566e-20,7.372440211572871e-29,1.9304017904274377e-23,2.321598642521631e-16
5.632237758351643e-09,0.11224537202140564,0.0,0.0,0.0,0.0,0.3299999966037823,0.6699999967943533,3.371543112807465e-09,3.180925138195781e-09,2.452262176865745e-11,2.152104032793009e-10,7.762771399244439e-20,1.6614627949644009e-13,1.5171339512712247e-13,2.3112857496962062e-15,3.537647432137566e-18,1.5228418199853268e-14,3.142952249040877e-14,2.6885073999048167e-19,1.5038065586626547e-20,8.528927378972251e-29,2.3163811037217308e-23,2.500981603371543e-16
