Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25)
9.692451890955198e-10,0.11224537201058289,0.0,0.0,0.0,0.0,0.32999999941555475,0.6699999995098359,5.815213668589803e-10,4.872404280702044e-10,2.9211806437433907e-12,9.720471781226591e-11,9.247142176477378e-21,2.5983704994410786e-15,2.5983704994410786e-15
9.999999999999999e-10,0.11224537201116234,0.0,0.0,0.0,0.0,0.3299999993970099,0.6699999994934164,5.999326402449023e-10,5.035264386817573e-10,3.0545353617295816e-12,9.946355026194896e-11,9.66928387852617e-21,2.8133274051125353e-15,2.8133274051125353e-15
1.04502462906496e-09,0.11224537201116234,0.0,0.0,0.0,0.0,0.3299999993698605,0.6699999994693033,6.268850659390223e-10,5.27442532316741e-10,3.251178138844173e-12,1.0269685716780702e-10,1.0291767433899814e-20,3.145396389782398e-15,3.145396389782398e-15
1.1208040690344e-09,0.11224537201171411,0.0,0.0,0.0,0.0,0.3299999993241663,0.6699999994285245,6.722444288080416e-10,5.678864827874927e-10,3.5854529336404148e-12,1.079471502885271e-10,1.1349932772368769e-20,3.751322987855511e-15,3.751322987855511e-15
1.2723629489732803e-09,0.11224537201273997,0.0,0.0,0.0,0.0,0.3299999992327778,0.6699999993462739,7.629531645775851e-10,6.494574281120496e-10,4.263813149705778e-12,1.177646921147679e-10,1.3497319649955779e-20,5.142486029465177e-15,5.142486029465177e-15
1.4087659409182724e-09,0.11224537201358104,0.0,0.0,0.0,0.0,0.32999999915052813,0.6699999992715157,8.445826884305123e-10,7.235955281246263e-10,4.882468598663888e-12,1.2587623050085938e-10,1.5455707875041426e-20,6.601580853741704e-15,6.601580853741704e-15
1.5315286336687653e-09,0.11224537201427674,0.0,0.0,0.0,0.0,0.32999999907650346,0.6699999992036881,9.180445579231592e-10,7.908601710944201e-10,5.443790965885009e-12,1.32636262059529e-10,1.7232605095849985e-20,8.084247672421954e-15,8.084247672421954e-15
1.6542913264192582e-09,0.11224537201491905,0.0,0.0,0.0,0.0,0.3299999990024788,0.6699999991353834,9.915032443448858e-10,8.585990780001299e-10,6.008134715511141e-12,1.3892202965328936e-10,1.9019066706716845e-20,9.728574003318038e-15,9.728574003318038e-15
1.777054019169751e-09,0.11224537201551153,0.0,0.0,0.0,0.0,0.3299999989284541,0.6699999990666355,1.0649596190331094e-09,9.267785884890164e-10,6.574627757460246e-12,1.447671936346653e-10,2.0812332047592908e-20,1.1535312299642703e-14,1.1535312299642703e-14
1.899816711920244e-09,0.1122453720160579,0.0,0.0,0.0,0.0,0.32999999885442943,0.6699999989974768,1.1384142888427655e-09,9.953674356084462e-10,7.142662712665622e-12,1.5020302095610203e-10,2.2610478419024734e-20,1.3504986507049308e-14,1.3504986507049308e-14
2.022579404670737e-09,0.11224537201656143,0.0,0.0,0.0,0.0,0.32999999878040476,0.6699999989279362,1.2118676825956703e-09,1.0643365748461852e-09,7.711810389017536e-12,1.5525855612966856e-10,2.4412147184405548e-20,1.5637966754132055e-14,1.5637966754132055e-14
2.2681047901717228e-09,0.11224537201745223,0.0,0.0,0.0,0.0,0.3299999986323554,0.6699999987878179,1.3587717537487488e-09,1.2033097318610748e-09,8.85233112795527e-12,1.6433474784814744e-10,2.802252932562033e-20,2.0394804495931663e-14,2.0394804495931663e-14
2.4745045373530233e-09,0.11224537201809398,0.0,0.0,0.0,0.0,0.3299999985078984,0.6699999986690739,1.4822640968747192e-09,1.3210890201112736e-09,9.812462555754682e-12,1.7101244014125404e-10,3.106187903657727e-20,2.4900790992537767e-14,2.4900790992537767e-14
2.680904284534324e-09,0.11224537201865022,0.0,0.0,0.0,0.0,0.3299999983834414,0.6699999985495667,1.60575539876479e-09,1.4396305604305336e-09,1.0773171299041621e-11,1.7692788028023563e-10,3.410305627874107e-20,2.98706128346368e-14,2.98706128346368e-14
2.8873040317156244e-09,0.11224537201913071,0.0,0.0,0.0,0.0,0.3299999982589844,0.6699999984293852,1.7292459040591158e-09,1.558845601116093e-09,1.1734212507695772e-11,1.8216981996751548e-10,3.7145285962513767e-20,3.5304479652263556e-14,3.5304479652263556e-14
3.093703778896925e-09,0.1122453720195443,0.0,0.0,0.0,0.0,0.3299999981345274,0.6699999983086077,1.8527356318852606e-09,1.6786558092735102e-09,1.2695567039103836e-11,1.8681659209727898e-10,4.018850749067974e-20,4.120240623707909e-14,4.120240623707909e-14
3.3001035260782255e-09,0.11224537201989886,0.0,0.0,0.0,0.0,0.3299999980100704,0.6699999981873035,1.9762246771689506e-09,1.7989919739987514e-09,1.3657139887067517e-11,1.90937407573368e-10,4.323242011465208e-20,4.756447286874256e-14,4.756447286874256e-14
3.506503273259526e-09,0.11224537202020138,0.0,0.0,0.0,0.0,0.3299999978856134,0.6699999980655342,2.0997132555104326e-09,1.919792844190843e-09,1.461871526665747e-11,1.9459351749661022e-10,4.627634075278709e-20,5.439086408718986e-14,5.439086408718986e-14
3.7129030204408266e-09,0.1122453720204578,0.0,0.0,0.0,0.0,0.3299999977611564,0.6699999979433542,2.2232014427296436e-09,2.0410042522762406e-09,1.5580217294057934e-11,1.978390894404461e-10,4.932002918943472e-20,6.168164366498258e-14,6.168164366498258e-14
3.9193027676221275e-09,0.1122453720206734,0.0,0.0,0.0,0.0,0.3299999976366994,0.6699999978208109,2.3466890944373572e-09,2.1625784202087057e-09,1.6541790484908162e-11,2.0072190145104182e-10,5.2363942899379255e-20,6.943668511843132e-14,6.943668511843132e-14
4.125702514803428e-09,0.112245372020853,0.0,0.0,0.0,0.0,0.3299999975122424,0.6699999976979459,2.470176134709849e-09,2.2844732121413995e-09,1.7503510830215824e-11,2.0328408937518992e-10,5.54083224353662e-20,7.765592111664486e-14,7.765592111664486e-14
4.3321022619847286e-09,0.11224537202100088,0.0,0.0,0.0,0.0,0.3299999973877854,0.6699999975747974,2.593662729681645e-09,2.406651333321668e-09,1.846521205362747e-11,2.0556294796551813e-10,5.845264144317222e-20,8.633949346211048e-14,8.633949346211048e-14
4.538502009166029e-09,0.11224537202112071,0.0,0.0,0.0,0.0,0.3299999972633284,0.6699999974513984,2.7171490186961008e-09,2.529079715614219e-09,1.9426754693113584e-11,2.075915453573019e-10,6.149645843431577e-20,9.548752081026269e-14,9.548752081026269e-14
4.74490175634733e-09,0.1122453720212156,0.0,0.0,0.0,0.0,0.3299999971388714,0.6699999973277778,2.840634859677317e-09,2.6517291659643737e-09,2.038828094905215e-11,2.0939907460521108e-10,6.454022358372343e-20,1.0509987867602194e-13,1.0509987867602194e-13
4.95130150352863e-09,0.11224537202128856,0.0,0.0,0.0,0.0,0.3299999970144144,0.6699999972039613,2.964120066587878e-09,2.7745740262193477e-09,2.1349977021326324e-11,2.1101119386203303e-10,6.758452624462192e-20,1.151764045924919e-13,1.151764045924919e-13
5.157701250709931e-09,0.11224537202134216,0.0,0.0,0.0,0.0,0.3299999968899574,0.6699999970799713,3.087604752628168e-09,2.897591649130124e-09,2.231172961348916e-11,2.1245055037679064e-10,7.062900795717971e-20,1.2571719462816656e-13,1.2571719462816656e-13
5.364100997891231e-09,0.11224537202137878,0.0,0.0,0.0,0.0,0.3299999967655004,0.6699999969558285,3.2110891534750305e-09,3.0207618815522664e-09,2.3273302846820795e-11,2.1373729729392613e-10,7.367292156200437e-20,1.367224506686685e-13,1.367224506686685e-13
5.570500745072532e-09,0.11224537202140013,0.0,0.0,0.0,0.0,0.3299999966410434,0.6699999968315506,3.334573203101367e-09,3.144066834256645e-09,2.423476280720049e-11,2.148893238425712e-10,7.671647743202005e-20,1.4819211393352236e-13,1.4819211393352236e-13
5.776900492253832e-09,0.11224537202140805,0.0,0.0,0.0,0.0,0.3299999965165864,0.6699999967071529,3.4580566241152535e-09,3.2674908257569957e-09,2.5196387127949363e-11,2.1592231150899443e-10,7.976055149979694e-20,1.6012594302739362e-13,1.6012594302739362e-13
5.983300239435133e-09,0.11224537202140417,0.0,0.0,0.0,0.0,0.3299999963921294,0.6699999965826493,3.581539420710296e-09,3.391020139058401e-09,2.6158171613576552e-11,2.168499772881163e-10,8.280513782144561e-20,1.7252393983918189e-13,1.7252393983918189e-13
6.1896999866164334e-09,0.11224537202139002,0.0,0.0,0.0,0.0,0.3299999962676724,0.6699999964580526,3.7050219015941188e-09,3.514642568835912e-09,2.711980729147968e-11,2.1768452650488652e-10,8.584923997758278e-20,1.8538636935171238e-13,1.8538636935171238e-13
6.396099733797734e-09,0.1122453720213666,0.0,0.0,0.0,0.0,0.3299999961432154,0.6699999963333731,3.8285041392197495e-09,3.6383471435135374e-09,2.808122164775847e-11,2.1843693073529141e-10,8.889267429165896e-20,1.9871329242850168e-13,1.9871329242850168e-13
6.6024994809790345e-09,0.11224537202133493,0.0,0.0,0.0,0.0,0.3299999960187584,0.6699999962086209,3.951985809438289e-09,3.7621241902678e-09,2.904273911309015e-11,2.191168628027921e-10,9.193635307630093e-20,2.1250442727723253e-13,2.1250442727723253e-13
6.808899228160335e-09,0.1122453720212961,0.0,0.0,0.0,0.0,0.3299999958943014,0.6699999960838039,4.075466827707921e-09,3.885965374266227e-09,3.000444430405254e-11,2.1973265753984787e-10,9.498071042994117e-20,2.2675969912107427e-13,2.2675969912107427e-13
7.0152989753416356e-09,0.11224537202125093,0.0,0.0,0.0,0.0,0.3299999957698444,0.6699999959589292,4.198947452671082e-09,4.009863394189787e-09,3.0966078356472705e-11,2.2029161626547976e-10,9.802468226194579e-20,2.414793296878685e-13,2.414793296878685e-13
7.221698722522936e-09,0.11224537202120016,0.0,0.0,0.0,0.0,0.3299999956453874,0.6699999958340047,4.322427795972393e-09,4.133811588251399e-09,3.1927529530982734e-11,2.208004007667443e-10,1.0106863491590143e-19,2.566634137012757e-13,2.566634137012757e-13
7.428098469704237e-09,0.11224537202114432,0.0,0.0,0.0,0.0,0.3299999955209304,0.6699999957090351,4.445907602597067e-09,4.257803917298754e-09,3.288905306439613e-11,2.212650501959199e-10,1.0411145500593067e-19,2.723117291012532e-13,2.723117291012532e-13
7.634498216885538e-09,0.11224537202108409,0.0,0.0,0.0,0.0,0.3299999953964734,0.669999995584026,4.569386709929646e-09,4.381835217909677e-09,3.3850811714366116e-11,2.2169072797514345e-10,1.0715832244796256e-19,2.8842413365241635e-13,2.8842413365241635e-13
7.840897964066839e-09,0.11224537202102007,0.0,0.0,0.0,0.0,0.3299999952720164,0.6699999954589817,4.692865381809974e-09,4.505901163391675e-09,3.481254141479946e-11,2.220817607968784e-10,1.1019675983604696e-19,3.050008535845324e-13,3.050008535845324e-13
8.047297711248139e-09,0.11224537202095258,0.0,0.0,0.0,0.0,0.3299999951475594,0.6699999953339065,4.816343793022762e-09,4.629997775031897e-09,3.577406723167903e-11,2.2244212737394274e-10,1.1324316107955485e-19,3.220420381568676e-13,3.220420381568676e-13
8.25369745842944e-09,0.1122453720208821,0.0,0.0,0.0,0.0,0.3299999950231024,0.6699999952088039,4.939821800586255e-09,4.754121366428384e-09,3.673553227197658e-11,2.227755141082472e-10,1.162905156733443e-19,3.395475621092597e-13,3.395475621092597e-13
8.46009720561074e-09,0.1122453720208089,0.0,0.0,0.0,0.0,0.3299999948986454,0.669999995083677,5.0632992361541635e-09,4.878268701547935e-09,3.7697105029113525e-11,2.2308515703294093e-10,1.193371733882648e-19,3.575172782618431e-13,3.575172782618431e-13
8.66649695279204e-09,0.11224537202073336,0.0,0.0,0.0,0.0,0.3299999947741884,0.6699999949585287,5.186776137048511e-09,5.002437056376017e-09,3.865874815050295e-11,2.2337378016250585e-10,1.2237449191871567e-19,3.7595121713442486e-13,3.7595121713442486e-13
8.872896699973341e-09,0.11224537202065572,0.0,0.0,0.0,0.0,0.3299999946497314,0.669999994833361,5.310252644658522e-09,5.126624080698494e-09,3.96203201264441e-11,2.2364373371102436e-10,1.2542687182326987e-19,3.948494991254257e-13,3.948494991254257e-13
9.079296447154642e-09,0.11224537202057622,0.0,0.0,0.0,0.0,0.3299999945252744,0.6699999947081766,5.433728782253445e-09,5.250827621285951e-09,4.058179766926766e-11,2.2389717090786035e-10,1.2844643573606865e-19,4.1421214265261606e-13,4.1421214265261606e-13
9.285696194335942e-09,0.11224537202049516,0.0,0.0,0.0,0.0,0.3299999944008174,0.6699999945829772,5.557204440753415e-09,5.375045686938825e-09,4.154328995474894e-11,2.2413608295251085e-10,1.3154602511005278e-19,4.3403905162649173e-13,4.3403905162649173e-13
9.492095941517243e-09,0.11224537202041256,0.0,0.0,0.0,0.0,0.3299999942763604,0.6699999944577645,5.68067955201518e-09,5.4992765303396595e-09,4.250486518668626e-11,2.2436221716236932e-10,1.344631489450938e-19,4.543301657011665e-13,4.543301657011665e-13
9.698495688698543e-09,0.11224537202032876,0.0,0.0,0.0,0.0,0.3299999941519034,0.6699999943325399,5.804154175488084e-09,5.623518686814733e-09,4.3466463866038346e-11,2.245770382110911e-10,1.3780018269546305e-19,4.750855339029522e-13,4.750855339029522e-13
9.904895435879844e-09,0.11224537202024382,0.0,0.0,0.0,0.0,0.3299999940274464,0.6699999942073052,5.927628394191351e-09,5.747770898237282e-09,4.4428002903519895e-11,2.2478180422537133e-10,1.401679368274401e-19,4.963052276135707e-13,4.963052276135707e-13
9.999999999999999e-09,0.11224537202015789,0.0,0.0,0.0,0.0,0.32999999397009927,0.6699999941495962,5.98452252271324e-09,5.805026706071042e-09,4.4871038806162645e-11,2.2487309466300375e-10,1.4164600157098492e-19,5.062390729970949e-13,5.062390729970949e-13
1.0111295183061144e-08,0.11224537202015789,0.0,0.0,0.0,0.0,0.3299999939029894,0.6699999940820608,6.051102197417586e-09,5.872032009699959e-09,4.538949301744804e-11,2.2497767011248836e-10,1.447691931928646e-19,5.179892326451478e-13,5.179892326451478e-13
1.0317694930242445e-08,0.11224537202007108,0.0,0.0,0.0,0.0,0.3299999937785324,0.6699999939568082,6.174575514219778e-09,5.9963009424864385e-09,4.635100521778774e-11,2.2516571458869809e-10,1.47178645226498e-19,5.401374903922736e-13,5.401374903922736e-13
1.0524094677423746e-08,0.11224537201998346,0.0,0.0,0.0,0.0,0.3299999936540754,0.6699999938315482,6.298048335926733e-09,6.120576764784747e-09,4.731254818488469e-11,2.2534686946589436e-10,1.4920706785058457e-19,5.627499898183197e-13,5.627499898183197e-13
1.0730494424605046e-08,0.11224537201989514,0.0,0.0,0.0,0.0,0.3299999935296184,0.6699999937062815,6.421520695233704e-09,6.244858686537606e-09,4.827408919689638e-11,2.2552192480128403e-10,1.5161141852172607e-19,5.858267566801374e-13,5.858267566801374e-13
1.1022449514036106e-08,0.1122453720197693,0.0,0.0,0.0,0.0,0.3299999933535724,0.6699999935290806,6.596173150028777e-09,6.4206661204724665e-09,4.963418927351865e-11,2.2576048094903346e-10,1.5705349439424248e-19,6.192619621514096e-13,6.192619621514096e-13
1.1314404603467165e-08,0.11224537201964238,0.0,0.0,0.0,0.0,0.3299999931775264,0.6699999933518698,6.770824703214611e-09,6.596482641689856e-09,5.0994261843776525e-11,2.2598994963928478e-10,1.62316180124181e-19,6.536261084396716e-13,6.536261084396716e-13
1.1606359692898225e-08,0.11224537201951464,0.0,0.0,0.0,0.0,0.32999999300148036,0.6699999931746502,6.945475335906857e-09,6.772306788578088e-09,5.235432581301126e-11,2.2621179248349866e-10,1.646183727969794e-19,6.88919177102496e-13,6.88919177102496e-13
1.1898314782329284e-08,0.11224537201938616,0.0,0.0,0.0,0.0,0.32999999282543435,0.6699999929974235,7.120125042852697e-09,6.9481373407753186e-09,5.371438644325431e-11,2.2642722984328464e-10,1.6852974541069342e-19,7.251411541240278e-13,7.251411541240278e-13
1.2190269871760344e-08,0.11224537201925706,0.0,0.0,0.0,0.0,0.32999999264938834,0.6699999928201904,7.2947738228360356e-09,7.12397326536954e-09,5.507444495632499e-11,2.2663729463041446e-10,1.7633530579113934e-19,7.622920312607382e-13,7.622920312607382e-13
1.2482224961191403e-08,0.11224537201912749,0.0,0.0,0.0,0.0,0.32999999247334233,0.6699999926429517,7.469421680257407e-09,7.2998137026726654e-09,5.6434496952550785e-11,2.2684284653273044e-10,1.802564644695108e-19,8.003718151853644e-13,8.003718151853644e-13
1.306613514005352e-08,0.11224537201886711,0.0,0.0,0.0,0.0,0.32999999212125036,0.6699999922884612,7.818714628901115e-09,7.651505286387407e-09,5.915457992497092e-11,2.2724324070017436e-10,1.8453858730959955e-19,8.793180769588598e-13,8.793180769588598e-13
1.3588264620117346e-08,0.11224537201863323,0.0,0.0,0.0,0.0,0.32999999180641154,0.6699999919714651,8.13104747145574e-09,7.965995294810755e-09,6.158683327675856e-11,2.2759206820042787e-10,1.9580002551087464e-19,9.530580828887038e-13,9.530580828887038e-13
1.4110394100181171e-08,0.11224537201839867,0.0,0.0,0.0,0.0,0.3299999914915727,0.66999999165446,8.443377368852454e-09,8.280491637313207e-09,6.40190603451934e-11,2.279345610551661e-10,1.9977264293833591e-19,1.0297689709573496e-12,1.0297689709573496e-12
1.4632523580244996e-08,0.11224537201816359,0.0,0.0,0.0,0.0,0.3299999911767339,0.6699999913374469,8.755704314884907e-09,8.594992613931715e-09,6.645126736860291e-11,2.2827241922598084e-10,2.1697878978663136e-19,1.1094506872091756e-12,1.1094506872091756e-12
