Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492)
1.501400802155189e-11,0.11224537200022136,0.0,0.0,0.0,0.0,0.3299999999909467,0.6699999999929186,9.05183841329323e-12,7.08009057290006e-12,1.4583107663186046e-15,1.9732056680340917e-12,4.6155692004745165e-24,1.1727005729573395e-19,1.8902517397589188e-20,4.8984555855514155e-24,7.178564064606283e-26,1.0217842916001383e-19,2.037303889920766e-19,8.837984516012019e-29,1.3949403496462964e-32,7.903202815461829e-41,6.757006907573073e-38,3.0656111757149183e-23,3.805439934678285e-21,8.462653103462235e-37,1.1643047428370193e-40,2.2965664391649887e-47,7.235539267243906e-42,4.217681990805962e-57,1.4077199260150448e-63,4.262998793925543e-53,1.1871944175775028e-56,2.674842475020208e-63,7.258873362034015e-73,1.8161791469603318e-75,5.762863041327829e-75,6.143717850604765e-74,1.1801006482229307e-74,3.0025358442759923e-81,2.9767206878384007e-89,3.13018642147608e-84
2.101974156293179e-11,0.11224537200030925,0.0,0.0,0.0,0.0,0.3299999999873253,0.6699999999900804,1.2671905207328794e-11,9.916980629924469e-12,2.7888744150812135e-15,2.7577125384805308e-12,8.827233446337934e-24,2.389118815690988e-19,4.969948916438267e-20,1.3596290439466723e-23,1.9640195498996365e-25,1.9924375733483066e-19,3.9189715462682735e-19,3.2255457780983804e-28,7.19003856653226e-32,4.074852237391487e-40,5.031037003480758e-37,8.017269675601886e-23,9.98630872331602e-21,3.2546915624393185e-36,6.387228472934435e-40,1.1867014431801403e-46,3.7390434174320007e-41,5.715610509409388e-56,3.125953224163609e-62,3.404297126185799e-52,1.4147926437840626e-55,4.1250973249746656e-62,2.4823998343235342e-71,3.752459172201604e-74,1.8072814752423903e-73,1.9269179758646824e-72,6.266756029106829e-73,1.8868119044672025e-79,3.56568517946936e-87,3.450669547275387e-82
3.303120864569159e-11,0.112245372000484,0.0,0.0,0.0,0.0,0.3299999999800825,0.6699999999843943,1.9910764602805407e-11,1.5599151652725547e-11,6.72428801117047e-15,4.318335091024725e-12,2.1284401273981442e-23,6.521638158516286e-19,1.9033707987693384e-19,5.836028812032992e-23,7.798531751360821e-25,5.003487366967848e-19,9.567820693690408e-19,2.026495253996434e-27,7.7007054145129165e-31,4.365607550331549e-39,9.540768277503654e-36,3.033498304229776e-22,3.808135808119945e-20,2.1476764502196625e-35,7.265864278089241e-39,1.27418297110103e-45,4.014935983791835e-40,1.9119786361634738e-54,1.8593879110630435e-60,6.914567952328462e-51,5.295130240596056e-54,2.0911981090479922e-60,2.821987021197e-69,2.2227417663136692e-72,1.705298213381703e-71,1.8183175424456402e-70,1.1609483117566493e-70,4.005688097103224e-77,1.588165599875823e-84,1.4518029011532606e-79
4.504267572845139e-11,0.11224537200065726,0.0,0.0,0.0,0.0,0.3299999999728397,0.6699999999786954,2.7147960740596025e-11,2.1292465160419e-11,1.2323046139820478e-14,5.8678147852619455e-12,3.900699855196948e-23,1.3245111908736669e-18,4.687363229161853e-19,1.5619211902314787e-22,1.9521413506066942e-24,9.50849772219434e-19,1.773603732972554e-18,6.559857144893856e-27,3.197492723451089e-30,1.8128652031335492e-38,4.952330320351474e-35,7.398421098707131e-22,9.346056282218146e-20,7.079799622869572e-35,3.0734194866923243e-38,5.2948321479952353e-45,1.6684293119629723e-39,1.226678984623494e-53,1.5356938668609104e-59,3.6526001259793744e-50,3.4047029515285935e-53,1.4449174284976014e-59,2.491410380535049e-68,1.6910541167334054e-71,1.4301535476954928e-70,1.5249551223895185e-69,1.1217475359332356e-69,3.947773064042614e-76,1.806354717010597e-83,1.6200997313591102e-78
6.906560989397099e-11,0.11224537200099963,0.0,0.0,0.0,0.0,0.3299999999583541,0.6699999999672598,4.1617631505943894e-11,3.271210099863169e-11,2.8242058746674852e-14,8.93376422945688e-12,8.939840866462506e-23,3.678210684893217e-18,1.671348943870475e-18,6.642143667539842e-22,7.133203450698831e-24,2.3476522295104424e-18,4.165195024446746e-18,3.6908227397465213e-26,2.8934769961942907e-29,1.6407101664773582e-37,7.350542980749299e-34,2.577981198878457e-21,3.3052549281121228e-19,4.092767461278747e-34,2.8656196843433993e-37,4.796448209428275e-44,1.5114272704910789e-38,3.1787208259361053e-52,8.252072236426382e-58,5.596026300404448e-49,8.73707016977291e-52,4.3474685453340346e-58,1.9361523849625544e-66,7.717309336613889e-70,8.678507973525909e-69,9.254044543161075e-68,1.188749399404526e-67,4.437809196010411e-74,4.22713331964284e-81,3.229060422712116e-76
9.014234006057053e-11,0.11224537200129543,0.0,0.0,0.0,0.0,0.32999999994564505,0.669999999957186,5.430772463628017e-11,4.276716742460436e-11,4.7206863823671985e-14,1.15877507693873e-11,1.494316398930539e-22,7.013226581625898e-18,3.598707614648557e-18,1.5897466560049797e-21,1.5578949478636316e-23,4.1509463301020874e-18,7.097483739734019e-18,9.95951104758783e-26,9.51886634589493e-29,5.3977600783140654e-37,2.8666601474014396e-33,5.4635509008211606e-21,7.076652502799116e-19,1.1182164300444317e-33,9.530502298610442e-37,1.5784107429532897e-43,4.973831268210783e-38,1.5659854977513447e-51,5.654533966380377e-57,2.2024368999256202e-48,3.960834891842094e-51,2.0355204549232057e-57,1.2554902504356171e-65,4.649484013103276e-69,5.436020599693903e-68,5.7965423837261434e-67,7.980164207787069e-67,2.995072277568401e-73,3.3131468655207713e-80,2.291665026249925e-75
9.999999999999999e-11,0.1122453720015869,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524613,6.024141977007784e-11,4.748132866757999e-11,5.758212280818805e-14,1.2817657366534265e-11,1.8227468970394443e-22,9.065597851649357e-18,4.865921063413909e-18,2.2609023619801363e-21,2.1208956868631176e-23,5.197257421693707e-18,8.737398185414894e-18,1.4872372188053784e-25,1.566909384561283e-28,8.885445881982013e-37,5.1944576404968274e-33,7.327924274876979e-21,9.540769920229396e-19,1.680358877861565e-33,1.578348917910583e-36,2.598579012332229e-43,8.188577150399627e-38,3.104532478722473e-51,1.2829995543404477e-56,4.013800242243109e-48,7.936111007173492e-51,4.163800912918147e-57,2.891847636033559e-65,9.60279907371344e-69,1.1804332425516934e-67,1.2587256498203713e-66,1.933646339318815e-66,7.314815203819937e-73,8.964434629621643e-80,6.210091662236082e-75
1.1121907022717006e-10,0.1122453720015869,0.0,0.0,0.0,0.0,0.329999999932936,0.6699999999470743,6.699343137103868e-11,5.285536586157355e-11,7.05575781861149e-14,1.4208604146569206e-11,2.233487631631881e-22,1.1783373179945355e-17,6.591784379258523e-18,3.2095204275587293e-21,2.8919160031206986e-23,6.545409983713747e-18,1.0811978931712142e-17,2.199984708220266e-25,2.503495366172734e-28,1.4196693493602404e-36,8.875716649351694e-33,9.848960024980295e-21,1.2888174341776587e-18,2.4989279515056482e-33,2.533166010039158e-36,4.152219619662649e-43,1.3084403275080963e-37,5.595947490726358e-51,2.4809065945682943e-56,6.884105817916173e-48,1.4423345165352544e-50,7.655794533111152e-57,5.637970483285708e-65,1.7674812006453119e-68,2.233360358592303e-67,2.381493321301035e-66,3.8604139860877047e-66,1.465553406974313e-72,1.873012088928646e-79,1.2994144311763212e-74
1.322958003937696e-10,0.11224537200187429,0.0,0.0,0.0,0.0,0.32999999992022694,0.6699999999369258,7.967498018122381e-11,6.29763050029524e-11,9.806549628386349e-14,1.6796715668110646e-11,3.1042579561064917e-22,1.8187406619669e-17,1.0852022271272119e-17,5.763385912068291e-21,4.820901742539675e-23,9.572023219180501e-18,1.531093400339801e-17,4.227867906762448e-25,5.549714377127458e-28,3.147164688099809e-36,2.245300665783953e-32,1.5964082774974812e-20,2.1099041141287633e-18,4.852945102820875e-33,5.6673008930923744e-36,9.206044805048719e-43,2.901005130253379e-37,1.6659806940032544e-50,9.536113261952436e-56,1.7554408233409304e-47,4.154622785580773e-50,2.2567841243020564e-56,2.115966484117211e-64,6.213739675662292e-68,8.031256036596948e-67,8.563962721312496e-66,1.4999103686400969e-65,5.722502637004971e-72,8.390494332450183e-79,5.52122165526729e-74
1.5337253056036912e-10,0.11224537200215766,0.0,0.0,0.0,0.0,0.3299999999075179,0.6699999999267412,9.235260004108049e-11,7.312957624221707e-11,1.2950140895056896e-13,1.935249394178278e-11,4.099371601399391e-22,2.642458848828865e-17,1.658220328783483e-17,9.536149101514991e-21,7.456286478027153e-23,1.3271898668734575e-17,2.0596703150636642e-17,7.383094234294473e-25,1.0964976469680757e-27,6.218174633959859e-36,4.973044142183197e-32,2.40211566610736e-20,3.206068009917426e-18,8.559340542863894e-33,1.1293478236608489e-35,1.8191240356791104e-42,5.7324344105825706e-37,4.280833843799626e-50,3.0757678564272122e-55,3.916586363955028e-47,1.0298486483782297e-49,5.696991654408061e-56,6.684225224104314e-64,1.8230359659577742e-67,2.429033621901028e-66,2.5901551628812584e-65,4.89678589505049e-65,1.876609372072148e-71,3.166719512334407e-78,1.9484968757224683e-73
