Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35)
5.655558789232098e-11,0.112245372000822,0.0,0.0,0.0,0.0,0.3299999999658976,0.6699999999732208,3.408320570275209e-11,2.6760121668404e-11,1.9246757248889077e-14,7.342331693333798e-12,6.092385089778962e-23,9.0167589040114e-19,9.017882716444774e-19,1.1238124333739492e-22
6.918940142170674e-11,0.1122453720010013,0.0,0.0,0.0,0.0,0.3299999999582795,0.6699999999672002,4.1692068925616894e-11,3.2771430613635716e-11,2.84459068383063e-14,8.949085837636675e-12,9.004369681429158e-23,1.6187271473242852e-18,1.61896940028373e-18,2.4225295944514723e-22
8.182321495109249e-11,0.1122453720011791,0.0,0.0,0.0,0.0,0.3299999999506614,0.6699999999611659,4.929925994243923e-11,3.879480427957325e-11,3.931696577351978e-14,1.054377526098952e-11,1.2445608467261248e-22,2.6322255636983006e-18,2.6326844139500415e-18,4.588502517411281e-22
9.999999999999999e-11,0.11224537200153009,0.0,0.0,0.0,0.0,0.32999999993970097,0.6699999999524603,6.024120519444904e-11,4.748187815897179e-11,5.778907580030465e-14,1.2817120809622861e-11,1.8292981326439366e-22,4.698162386147093e-18,4.699147124383835e-18,9.847382367426478e-22
1.07090842009864e-10,0.11224537200153009,0.0,0.0,0.0,0.0,0.3299999999354253,0.6699999999490567,6.450882739016616e-11,5.0877414793616534e-11,6.587260502066758e-14,1.369729092479074e-11,2.0851838737492668e-22,5.723011924017457e-18,5.7242876962233635e-18,1.2757722059075777e-21
1.323584690686355e-10,0.11224537200187505,0.0,0.0,0.0,0.0,0.32999999992018914,0.6699999999368942,7.971233553443581e-11,6.300724081992909e-11,9.848581738429986e-14,1.6803591075334555e-11,3.117563468587148e-22,1.0543131770063232e-17,1.054598591984665e-17,2.8541497834204527e-21
1.57626096127407e-10,0.11224537200221421,0.0,0.0,0.0,0.0,0.329999999904953,0.6699999999246795,9.491020730880098e-11,7.518354251239279e-11,1.3673330425399509e-13,1.9863415558731184e-11,4.328299827864436e-22,1.7457636152690308e-17,1.7463203739086258e-17,5.567586395955247e-21
2.0816135024495002e-10,0.11224537200287545,0.0,0.0,0.0,0.0,0.32999999987448075,0.6699999999000984,1.2529045561445282e-10,9.967278750891909e-11,2.2871601541285385e-13,2.5846422910908127e-11,7.240047333644938e-22,3.878923753795287e-17,3.8805667946466275e-17,1.6430408513415464e-20
2.507952552232567e-10,0.11224537200341617,0.0,0.0,0.0,0.0,0.32999999984877293,0.6699999998792078,1.5090626373193807e-10,1.2047139748647714e-10,3.2069858694149277e-13,3.0755630844543945e-11,1.0151794693084423e-21,6.601112638332721e-17,6.604489845345437e-17,3.3772070127155255e-20
2.9342916020156336e-10,0.11224537200394177,0.0,0.0,0.0,0.0,0.3299999998230651,0.6699999998581824,1.7651042094148852e-10,1.41393229533374e-10,4.2432231064888997e-13,3.5541616705910497e-11,1.343205058627449e-21,1.0298580386768051e-16,1.0304760760930174e-16,6.180374162124132e-20
3.3606306517987004e-10,0.11224537200445271,0.0,0.0,0.0,0.0,0.3299999997973573,0.6699999998370263,2.0210420448999533e-10,1.6243517320129206e-10,5.383088395278262e-13,4.0207490943293675e-11,1.704034807540708e-21,1.508133585427619e-16,1.5091729157817613e-16,1.0393303541425396e-19
3.786969701581767e-10,0.11224537200494945,0.0,0.0,0.0,0.0,0.32999999977164945,0.6699999998157441,2.2768874508448136e-10,1.8359419937396123e-10,6.615264934127862e-13,4.475628267293308e-11,2.094086306059544e-21,2.1046690610706514e-16,2.1063083855559662e-16,1.639324485314695e-19
4.213308751364834e-10,0.11224537200543244,0.0,0.0,0.0,0.0,0.32999999974594163,0.6699999997943392,2.5326504895570636e-10,2.0486735380119101e-10,7.929681762607407e-13,4.919094614499e-11,2.51017152364844e-21,2.8281170375794846e-16,2.830575919757294e-16,2.4588821778098053e-19
4.639647801147901e-10,0.11224537200590215,0.0,0.0,0.0,0.0,0.3299999997202338,0.6699999997728161,2.788340303860759e-10,2.2625174312481455e-10,9.3171882005413e-13,5.351437471760286e-11,2.949393750701346e-21,3.686333379367472e-16,3.68987453975129e-16,3.541160383817383e-19
5.065986850930967e-10,0.11224537200635895,0.0,0.0,0.0,0.0,0.329999999694526,0.6699999997511779,3.0439647851484616e-10,2.4774456503877387e-10,1.0769886083582994e-12,5.772937069680264e-11,3.409252769956405e-21,4.686089628156393e-16,4.691022056842548e-16,4.932428686154535e-19
5.492325900714034e-10,0.11224537200680325,0.0,0.0,0.0,0.0,0.32999999966881816,0.669999999729428,3.299530990948759e-10,2.6934308421256977e-10,1.2280711833870505e-12,6.183866941306241e-11,3.887512558139581e-21,5.833434817484843e-16,5.84011583987755e-16,6.681022392705427e-19
